,BST,LLRBT,BF
0,3.298627721416006e-07,3.0069765379768104e-07,1.400481499738565e-06
1000,1.1276530072349745e-06,1.4033506512144944e-06,1.1944150596011004e-06
2000,1.2365909675630538e-06,1.6007298759108478e-06,1.2045150074046806e-06
3000,1.321508848187637e-06,1.776729175418635e-06,1.1931388252186916e-06
4000,1.3905523917215874e-06,1.8501985025333745e-06,1.2011424559703675e-06
5000,1.7545760256330738e-06,1.9503473557522704e-06,1.2040636831905228e-06
6000,1.7944481608616698e-06,2.023577009654072e-06,1.2010622197252701e-06
7000,1.6479363668365104e-06,2.0825023237778084e-06,1.20134095084391e-06
8000,1.5200276188643695e-06,2.0919468550755554e-06,1.214567315692288e-06
9000,1.5543920724508974e-06,2.1798613398381795e-06,1.201694771326798e-06
10000,1.5920862210044368e-06,2.230570254920459e-06,1.2148512831407144e-06
11000,1.5597521787126677e-06,2.226185999243315e-06,1.2034993026541843e-06
12000,1.592000453193185e-06,2.267015739119725e-06,1.2012452382864428e-06
13000,1.6286541706760108e-06,2.2908279943706907e-06,1.1970979954023239e-06
14000,1.6143769273406049e-06,2.3082471930738767e-06,1.2029067819213341e-06
15000,1.6525753999752863e-06,2.3457878675561866e-06,1.2009441976151792e-06
16000,1.68858965469149e-06,2.3726359972235248e-06,1.217888764894117e-06
17000,1.706834563115694e-06,2.4006675824214257e-06,1.2209366902224687e-06
18000,1.7043335807198986e-06,2.4091608813477668e-06,1.21403856162483e-06
19000,1.6979205951685013e-06,2.411560509317877e-06,1.2040590845273905e-06
20000,1.7172176069265246e-06,2.4142978811079723e-06,1.215511788906916e-06
21000,1.7476758221493605e-06,2.4370093766448524e-06,1.2130505355582325e-06
22000,1.7363196781715195e-06,2.4723471367345884e-06,1.2228482375993511e-06
23000,1.7459078079388578e-06,2.4917229755053795e-06,1.221635312211087e-06
24000,1.7690431054044444e-06,2.4776065136156985e-06,1.2066520215277737e-06
25000,1.7721373186369196e-06,2.498770944242594e-06,1.2104420821855261e-06
26000,1.7888210703766069e-06,2.5132350985398403e-06,1.2061535335781846e-06
27000,1.7917169780599764e-06,2.507269325295339e-06,1.209568851482096e-06
28000,1.779800474357822e-06,2.534791157465276e-06,1.2083881161869923e-06
29000,1.8122567488961437e-06,2.5375816558874132e-06,1.231436715133371e-06
30000,1.812185295658616e-06,2.519555836994114e-06,1.2152720213061432e-06
31000,1.7987846047101654e-06,2.519676846588942e-06,1.2275523110905275e-06
32000,1.8389738353222687e-06,2.5434256095577573e-06,1.2085329455398062e-06
33000,1.8303389047054139e-06,2.582338351159803e-06,1.2166053734992292e-06
34000,1.8447509503324455e-06,2.596037349922429e-06,1.2127182404406631e-06
35000,1.8064545069662167e-06,2.5638098440582497e-06,1.2208186126869632e-06
36000,1.8517674906643786e-06,2.5674292317544108e-06,1.216915382661134e-06
37000,1.860967519055366e-06,2.5703030592695466e-06,1.2207675236248747e-06
38000,1.8601503635062943e-06,2.5819568497979504e-06,1.2163331277028922e-06
39000,1.8697993981218129e-06,2.636911073432498e-06,1.2152367147681225e-06
40000,1.8685741611574896e-06,2.5768424811675277e-06,1.2300535437238394e-06
41000,1.8944893515841517e-06,2.5809403926886053e-06,1.2319043794183438e-06
42000,1.859383528746234e-06,2.6655364881713124e-06,1.2429278638976702e-06
