,BST,LLRBT,BF
0,2.3743585625286624e-07,3.050442884670375e-07,1.3454225020073365e-06
1000,1.218521844253026e-06,1.4327305778328211e-06,1.2074204125593022e-06
2000,1.1695415932284278e-06,1.5905050180263072e-06,1.214125697477965e-06
3000,1.2540538436387602e-06,1.8388383344303508e-06,1.232125267928183e-06
4000,1.2744833146113188e-06,1.8193485755678166e-06,1.2178879922761593e-06
5000,1.3511587120346087e-06,1.937633407409621e-06,1.2198299990645888e-06
6000,1.403580559303833e-06,1.9935490831588258e-06,1.220916264945404e-06
7000,1.4521149881176516e-06,2.113391150958676e-06,1.2264723328394343e-06
8000,1.484168489865339e-06,2.1107064557780283e-06,1.2221705289321498e-06
9000,1.5025092835433703e-06,2.180701008626485e-06,1.2233233297899612e-06
10000,1.5141866155411313e-06,2.202751058386378e-06,1.223697878873926e-06
11000,1.4866343970079352e-06,2.241290060912895e-06,1.228033316178602e-06
12000,1.5766809243266275e-06,2.2726553179563352e-06,1.2297563921208128e-06
13000,1.5691667330610307e-06,2.25917644315033e-06,1.232175710617208e-06
14000,1.5896474994236633e-06,2.3196127149928255e-06,1.2251341960160702e-06
15000,1.6223700781752255e-06,2.330250558191646e-06,1.2258755138054205e-06
16000,1.6819175262056094e-06,2.3557770381302664e-06,1.228641985920247e-06
17000,1.6727346943898627e-06,2.372539456686092e-06,1.239673479536123e-06
18000,1.5999431564765295e-06,2.329694206607282e-06,1.2343289129082184e-06
19000,1.650201629483785e-06,2.3545610982855297e-06,1.2457114195184344e-06
20000,1.6697368789695573e-06,2.3848398660511464e-06,1.2311321923762004e-06
21000,1.679776956215478e-06,2.3919375119654034e-06,1.2439815752986817e-06
22000,1.6736225232853235e-06,2.3997663137716576e-06,1.2378686764351944e-06
23000,1.7178494631231536e-06,2.4316505582127683e-06,1.2332650708725043e-06
24000,1.7172363657357554e-06,2.4709836102962936e-06,1.241472209438266e-06
25000,1.7251952165995823e-06,2.452566612165436e-06,1.2363738500165467e-06
26000,1.7018063017539282e-06,2.4918039140392863e-06,1.2433365730260253e-06
27000,1.7163788423925914e-06,2.489562496595266e-06,1.2353462522196576e-06
28000,1.747205380808665e-06,2.504228308744168e-06,1.2324301781796301e-06
29000,1.730266300846465e-06,2.527227587800708e-06,1.2411530349619029e-06
30000,1.777359967095436e-06,2.5287589677771156e-06,1.2341509608952528e-06
31000,1.7332942120510538e-06,2.544625228343703e-06,1.2352564217344308e-06
32000,1.7362368626317713e-06,2.5459852853319096e-06,1.2386566042030863e-06
33000,1.723119349968002e-06,2.537439143286862e-06,1.235410920024308e-06
34000,1.7335440949379948e-06,2.5670358260615085e-06,1.2446167297334398e-06
35000,1.7554306678629819e-06,2.5698132227048553e-06,1.2440583361700522e-06
36000,1.7647486003530094e-06,2.5759806452525903e-06,1.2360755024225834e-06
37000,1.822839844166955e-06,2.577004657438605e-06,1.228110101345138e-06
38000,1.7980393191772406e-06,2.5757932767890537e-06,1.2411625989611612e-06
39000,1.798852701760259e-06,2.5911039478098796e-06,1.2433861837537765e-06
40000,1.8184439415286778e-06,2.591669247125892e-06,1.2385215171578004e-06
41000,1.7742800654220167e-06,2.5955889366717313e-06,1.2410011824747945e-06
42000,1.8137272028617502e-06,2.5955241657607693e-06,1.2427349725849476e-06
43000,1.8132134164071709e-06,2.605188198881206e-06,1.2455768278574967e-06
44000,1.8086742516967325e-06,2.6125517737503044e-06,1.246674955112113e-06
45000,1.9306035598209614e-06,2.6164859716578442e-06,1.240018149714598e-06
46000,1.834512582008195e-06,2.6224492603002203e-06,1.35991350451552e-06
47000,1.8399983598407618e-06,2.635801931795567e-06,1.3087781022535945e-06
48000,1.8505242224742886e-06,2.6359634573138953e-06,1.243989755066077e-06
49000,1.8774276552072407e-06,2.634710237426697e-06,2.385489479072144e-06
50000,1.8783935782453438e-06,2.644481548516509e-06,1.2919384375156553e-06
51000,1.881899028110297e-06,2.644332034290929e-06,1.2533224767936194e-06
52000,1.8674475911678182e-06,2.6566565272756773e-06,1.2648352937825775e-06
53000,1.8802928628742612e-06,2.649277032555025e-06,1.2873908945285432e-06
54000,1.8910031323314054e-06,2.6679702483469898e-06,1.2574465657139423e-06
55000,1.8956979318714098e-06,2.6674781574751145e-06,1.2584469357411958e-06
56000,1.9105162655133166e-06,2.6792427772616453e-06,1.2523143269803523e-06
57000,1.9007341513708105e-06,2.6945244534839763e-06,1.251811238101895e-06
58000,1.891769782274925e-06,2.6751799210466107e-06,1.2549351507637229e-06
59000,1.8920444728960018e-06,2.6803653122690157e-06,1.2801422743085223e-06
60000,1.8995572171178446e-06,2.681269125605616e-06,1.281339364067732e-06
61000,1.9182929861882934e-06,2.6808192532129946e-06,1.259471885365056e-06
62000,1.9135115666802854e-06,2.6955782545055992e-06,1.2617342019844073e-06
63000,1.9138772669909586e-06,2.691823045599792e-06,1.2639993966920115e-06
64000,1.9108195065091306e-06,2.705438408274767e-06,1.2561413304701828e-06
65000,1.9289327937401214e-06,2.701645148991985e-06,1.2493709753952282e-06
66000,1.93323936957343e-06,2.7153877335968704e-06,1.2586925296425958e-06
67000,1.9368729900648744e-06,2.7173397950283865e-06,1.3104402162927263e-06
68000,1.9416892061753888e-06,2.716867512419659e-06,1.2450913340118757e-06
69000,1.9470445734857268e-06,2.7247427464349516e-06,1.2759302682953892e-06
70000,1.9411969375340106e-06,2.725572244415977e-06,1.2573387994709986e-06
71000,1.9485389661467876e-06,2.7319056995315048e-06,1.254898365513044e-06
72000,1.9448745109424926e-06,2.731230525033679e-06,1.2666372893104896e-06
73000,1.944322113544439e-06,2.742631100136174e-06,1.2589080793128687e-06
74000,1.9496319404560787e-06,2.7113703460801685e-06,1.2619618915340362e-06
75000,1.944197959916149e-06,2.7274776176503703e-06,1.2711933030144167e-06
76000,1.9483611646453345e-06,2.740748028085925e-06,1.2647832055405202e-06
77000,1.968655837151767e-06,2.741071367701742e-06,1.2570003672243817e-06
78000,1.9638073653575086e-06,2.7545655170560054e-06,1.2546005364134642e-06
79000,1.961728674561092e-06,2.7477999042788245e-06,1.250449246981496e-06
80000,1.9605170906617424e-06,2.755342952275269e-06,1.2586782037909189e-06
81000,1.9608993513867447e-06,2.765839532716271e-06,1.2693200136199145e-06
82000,1.965295108254029e-06,2.7499862540639186e-06,1.2636240867545742e-06
83000,1.971728616786333e-06,2.7571658286089965e-06,1.269980855155283e-06
84000,1.9832607905039016e-06,2.7575657193281706e-06,1.2551935280700796e-06
85000,1.977889953098852e-06,2.7707477747653733e-06,1.2535265461093923e-06
86000,1.979687091963944e-06,2.7636692900332737e-06,1.2595574215316567e-06
87000,1.9978943683014e-06,2.762414400297877e-06,1.2549009526518769e-06
88000,1.98455959938013e-06,2.7628693924521832e-06,1.270592249510843e-06
89000,1.9836804728944033e-06,2.7767217935749467e-06,1.2711953805473412e-06
90000,1.991480979721439e-06,2.7740271782634698e-06,1.2855646257601345e-06
91000,1.988371851556606e-06,2.7707321399375895e-06,1.2640446396230752e-06
92000,1.9709999917394927e-06,2.77894768226032e-06,1.2524996718343802e-06
93000,1.98582015166676e-06,2.7703571582811675e-06,1.2566554274288273e-06
94000,1.9979860333678976e-06,2.7910317947306243e-06,1.2522953044584074e-06
95000,1.9968089219379934e-06,2.7880584309128836e-06,1.267060172737174e-06
96000,1.9915759169319205e-06,2.803315190961682e-06,1.25900089810344e-06
97000,2.005648336850261e-06,2.7800372179148594e-06,1.257487085309313e-06
98000,1.9879465635011116e-06,2.801542445035219e-06,1.26047501141217e-06
99000,2.0028838047932765e-06,2.791066635775506e-06,1.25196106046128e-06
