,BST,LLRBT,BF
0,3.0619022786322106e-07,4.344620804564488e-07,6.462745560120659e-06
1000,1.6922057924195463e-06,2.393385464111801e-06,7.49100684123101e-06
2000,1.986391326368664e-06,2.8817625197071757e-06,3.3656616209843323e-06
3000,2.5011826725803884e-06,3.625005784605457e-06,2.5780374300189043e-06
4000,2.9460752358700817e-06,4.01049609799536e-06,2.6931605238818608e-06
5000,3.177375413647273e-06,3.7366140840092896e-06,2.677926547266161e-06
6000,3.1863092757345438e-06,4.330981862979376e-06,2.860522935869264e-06
7000,3.758895044250648e-06,4.2165503926229115e-06,2.64007291060623e-06
8000,3.855826763043058e-06,4.594580702454391e-06,2.76442779316516e-06
9000,3.4879691961801567e-06,4.570889856448127e-06,2.687601115754322e-06
10000,3.670525050145075e-06,4.578434050390421e-06,2.6492943221167535e-06
11000,4.1177748348449405e-06,4.7316133248864015e-06,2.5033126197134456e-06
12000,4.200548792539083e-06,4.748720691610596e-06,2.506156823352295e-06
13000,4.2526672721161035e-06,5.03449593422568e-06,2.5759919615248677e-06
14000,4.265133949579376e-06,5.052994211573953e-06,2.6800618221496023e-06
15000,4.26255633225639e-06,5.196542613086789e-06,2.63001141424642e-06
16000,4.3729431852456586e-06,5.2845410860615625e-06,2.8580835418612823e-06
17000,4.361512894389764e-06,4.910979844337772e-06,2.7046800048575264e-06
18000,4.36525860110481e-06,5.174140486283523e-06,2.591859175069156e-06
19000,4.541473328791142e-06,5.478565946531156e-06,2.7571707112934755e-06
20000,4.2858646537369385e-06,5.402506574513798e-06,2.9921280716347402e-06
21000,4.770222806312587e-06,5.5846283361004015e-06,2.7503793006489317e-06
22000,4.9047752913619426e-06,5.149038422574758e-06,2.883319365900122e-06
23000,4.555467937473727e-06,5.273366636562268e-06,2.7156309174568406e-06
24000,4.8480950050371515e-06,5.2397444165474604e-06,2.6204964894129603e-06
25000,4.779857386853368e-06,5.474201962335895e-06,2.6347830111054e-06
26000,4.668452903721227e-06,5.484900562219255e-06,2.5231413834421676e-06
27000,4.661289097240597e-06,5.504092003748106e-06,2.6561590489680763e-06
28000,5.054763730429622e-06,5.6646815428791485e-06,2.61477329272044e-06
29000,4.965530730220311e-06,5.896118105102274e-06,2.601969406429215e-06
30000,5.098581674306455e-06,5.951119086493947e-06,3.146742409492125e-06
31000,5.261733722214618e-06,5.754441354227191e-06,2.7625836361049486e-06
32000,5.086901287317322e-06,5.72522387172215e-06,2.768012892061722e-06
33000,5.106065384366122e-06,5.898042059140255e-06,2.7860569488702476e-06
34000,5.057617148293482e-06,5.908353025423836e-06,2.9047376480522243e-06
35000,5.2431426267075995e-06,5.966376481355738e-06,3.0408422777536096e-06
