,BST,LLRBT,BF
0,2.54762641626198e-07,3.2895196558810464e-07,2.15274268857819e-06
1000,1.0339036058790385e-06,1.4294820100311837e-06,1.9001465147033692e-06
2000,1.2258392462922283e-06,1.9654217713488875e-06,1.91000689870673e-06
3000,1.2414257685430684e-06,1.7603158752726328e-06,1.9125267159192755e-06
4000,1.3014345393431572e-06,1.8813524654254256e-06,1.9079587305911597e-06
5000,1.3490906906317566e-06,1.982482936332197e-06,1.920477235301344e-06
6000,1.399880130567327e-06,2.0284851431243137e-06,1.9208274905534758e-06
7000,1.401507356678059e-06,2.1146097001231845e-06,1.919192285379986e-06
8000,1.4486296491881521e-06,2.1774020241826985e-06,1.9162224980481585e-06
9000,1.4697209230889036e-06,2.3356854530138524e-06,1.954398081834375e-06
10000,1.5325487087822555e-06,2.2328661567263882e-06,1.917918108988679e-06
11000,1.5549141255094831e-06,2.2247745112819597e-06,1.907236886124439e-06
12000,1.5827426719354994e-06,2.2446933851636166e-06,1.9255111488742577e-06
13000,1.5811200793325478e-06,2.299322747099988e-06,1.929745214094669e-06
14000,1.5910682408320204e-06,2.317269530286694e-06,1.9206727356087295e-06
15000,1.5816377262978651e-06,2.3526702868888687e-06,1.9274330983957282e-06
16000,1.6255228743304317e-06,2.3676810528662374e-06,1.9059341039110923e-06
17000,1.6402071669090285e-06,2.3915567214889118e-06,1.9223757916970276e-06
18000,1.6625552181295867e-06,2.402001680729845e-06,1.947989461299562e-06
19000,1.651710451799021e-06,2.4491874193561604e-06,1.9006303767152246e-06
20000,1.6767834739409116e-06,2.4306166394286092e-06,1.8849603841946766e-06
21000,1.6879217092942436e-06,2.4571088052458287e-06,1.8816262529682095e-06
22000,1.6911911696784595e-06,2.465718516045091e-06,1.893529846859139e-06
23000,1.6970446833358289e-06,2.4671134930423743e-06,1.938732883620563e-06
24000,1.7252666134795902e-06,2.5056293274194655e-06,1.9408299955037963e-06
25000,1.7280335092160986e-06,2.504304945066749e-06,1.93955750672095e-06
26000,1.713230765569669e-06,2.4836181710872975e-06,1.943564802481655e-06
27000,1.7345159278853586e-06,2.513228078790292e-06,1.9466009217245604e-06
28000,1.734005826762311e-06,2.512932108016778e-06,1.941479018338467e-06
29000,1.744666913850489e-06,2.5373490181195405e-06,1.9526882511143336e-06
30000,1.7619400805486092e-06,2.5268486425626774e-06,1.9491709004056003e-06
31000,1.7554947494560286e-06,2.5421187031011996e-06,1.9601786997048362e-06
32000,1.7593841530423597e-06,2.546327629824632e-06,1.949886798433259e-06
33000,1.7635129097775693e-06,2.575281453589286e-06,1.9555575430015545e-06
34000,1.7810074700984544e-06,2.5707157483279197e-06,1.9627768103973995e-06
35000,1.7874901299661484e-06,2.5804787217287815e-06,1.9527336401322604e-06
36000,1.7660173863013668e-06,2.5841179229201695e-06,1.9690203590952264e-06
37000,1.7738950091159498e-06,2.59760165224505e-06,1.959908448177929e-06
38000,1.7479206869695663e-06,2.601378082075559e-06,1.9691351000784096e-06
39000,1.7774797845442e-06,2.6056105611625793e-06,1.9706741982137524e-06
40000,1.818302078555984e-06,2.62515507087679e-06,1.9614268984783986e-06
41000,2.032895939667175e-06,2.6529843666571643e-06,1.988618746607201e-06
42000,1.7851421537582893e-06,2.6472929258581936e-06,1.968027972726785e-06
43000,2.7128999794407353e-06,2.64226574164353e-06,2.038126348783731e-06
44000,2.248676845991695e-06,2.620221043898067e-06,1.9755413070677275e-06
45000,1.7726033282751862e-06,2.632570476311802e-06,1.988889240893697e-06
46000,1.7405905377654819e-06,2.6398176563769057e-06,1.9763027314949454e-06
47000,2.2288724539415062e-06,2.6196945030332127e-06,1.985110438888298e-06
48000,2.339914839452991e-06,2.651938127469438e-06,1.980728523711319e-06
49000,1.8425963802353813e-06,2.686876752555562e-06,1.9742523918128917e-06
50000,2.0155316514791205e-06,2.7103774981173317e-06,1.992791285151355e-06
51000,1.9302024576346882e-06,2.7069094549253556e-06,1.9906582667051336e-06
52000,1.8785964899675303e-06,2.6958087630059375e-06,1.977627586097023e-06
53000,1.9510392234752483e-06,2.690281019447052e-06,1.977838991450657e-06
54000,1.941394824473457e-06,2.687983136016871e-06,1.986042536576328e-06
55000,1.7854969332373576e-06,2.702525212846979e-06,1.9882002189284345e-06
56000,1.8475715022754442e-06,2.7108287678980783e-06,1.9821208209861947e-06
57000,1.8843875004462444e-06,2.7183883904821774e-06,1.991439551364571e-06
58000,1.8452674554056688e-06,2.7149462491919326e-06,1.996200634382662e-06
59000,1.8913523698433188e-06,2.719347544545996e-06,1.9804265315633077e-06
60000,2.0264751304153826e-06,2.7303464936580327e-06,1.984278519730428e-06
61000,1.8629264186086593e-06,2.7337628392050806e-06,1.9837179191488475e-06
62000,1.9771315650301312e-06,2.741325590343624e-06,1.983493148748007e-06
63000,1.904942660480218e-06,2.73615270197982e-06,1.983135598218969e-06
64000,1.892579863799854e-06,2.7383493905679935e-06,1.9855943352455616e-06
65000,1.8984017703148643e-06,2.744817832997899e-06,1.9930262553578162e-06
66000,1.9392951109255623e-06,2.7488208511941444e-06,1.991074178668844e-06
67000,1.909020660946912e-06,2.7452382824583627e-06,1.984056311184799e-06
68000,1.91590822741676e-06,2.751284526934303e-06,1.9928549716854337e-06
69000,1.918403115327085e-06,2.760686788467429e-06,1.9909542343563373e-06
70000,1.9259980161093196e-06,2.765971974606978e-06,1.9809878471538384e-06
71000,1.9294149603592764e-06,2.7710991008368314e-06,1.9894377034958324e-06
72000,1.9092159614264684e-06,2.763933822080749e-06,1.995727541997971e-06
73000,1.9338374499524325e-06,2.7750274427489905e-06,1.9836838040111214e-06
74000,1.9307347708698314e-06,2.761054380344864e-06,1.9923431642200666e-06
75000,1.943898114519521e-06,2.7715932016831804e-06,1.9997654168805253e-06
76000,1.941109794273571e-06,2.7750121371862282e-06,1.999352336851826e-06
77000,2.0706869290378038e-06,2.7716360795834303e-06,1.987946400898714e-06
78000,1.942679491045199e-06,2.7779371865017274e-06,1.9982526850905e-06
79000,3.5602601614852036e-06,2.789716108903075e-06,2.0117527198978643e-06
80000,2.115157883278591e-06,2.7900218774848197e-06,1.9855958417600526e-06
81000,1.9452304431507422e-06,2.7855742681285435e-06,1.9784508033774105e-06
82000,1.941359894412867e-06,2.7945181839462816e-06,1.9871040009273386e-06
83000,1.9441053281722154e-06,2.7945371301223e-06,1.9953996292143694e-06
84000,1.9099679713089865e-06,2.7981970173968568e-06,1.999359384685679e-06
85000,1.9454749496719867e-06,2.802754489907792e-06,1.994243480037337e-06
86000,1.965169586287206e-06,2.806489332132586e-06,2.0010529825169397e-06
87000,1.969681391114062e-06,2.7719180405527588e-06,1.9921104139758907e-06
88000,1.9918375365864207e-06,2.7816624393324712e-06,1.995587307355066e-06
89000,1.96189641581834e-06,2.776749519948743e-06,1.992843680632529e-06
90000,1.902493226375749e-06,2.8055560042544855e-06,2.0137496946215434e-06
91000,1.9410836613209127e-06,2.7881984024929213e-06,2.0034691007949977e-06
92000,3.1877432649349925e-06,2.796733772656404e-06,2.00696893300388e-06
93000,1.9598170472412654e-06,2.79009053161383e-06,1.9982730917269392e-06
94000,1.92849525902183e-06,2.7836532279798096e-06,2.0000237263529288e-06
95000,1.9145794137258247e-06,2.7774208766655928e-06,2.0080322395176877e-06
96000,1.9690901840904215e-06,2.785795422114029e-06,2.0036808456998257e-06
97000,1.9699130352799824e-06,2.7719379538642455e-06,2.0057644450067136e-06
98000,1.956393760018899e-06,2.7643425511707066e-06,1.99971531083303e-06
99000,1.9913763495690924e-06,2.812415335676586e-06,1.999799916842937e-06
