,BST,LLRBT,BF
0,2.594586814560397e-07,4.1097110712530913e-07,2.3926724732223173e-06
1000,1.8037862846469487e-06,2.4184403525171346e-06,2.522045110620068e-06
2000,2.2743281593043264e-06,2.418896598116427e-06,2.5282626469852054e-06
3000,2.131064453342139e-06,2.536593493872615e-06,2.615854563247485e-06
4000,3.0472365215104035e-06,2.359073311798263e-06,2.652093797914301e-06
5000,2.611537037538149e-06,2.8068533682841533e-06,2.7053758038163686e-06
6000,3.5275078180547356e-06,4.468110982610092e-06,2.5083357552175553e-06
7000,3.548308401742039e-06,4.34243308916547e-06,2.614448364775378e-06
8000,3.746134236278155e-06,3.7702101680175136e-06,2.5442727174487923e-06
9000,3.7354136580479917e-06,4.577432567050603e-06,2.509711381116785e-06
10000,3.820004041809404e-06,4.791138199843146e-06,2.630942123590978e-06
11000,3.983074491163764e-06,4.564805220201002e-06,2.758818803121218e-06
12000,4.209183164113799e-06,4.8315894031003635e-06,2.5985473921490606e-06
13000,4.133724494014449e-06,5.029876396528868e-06,2.4891091213687765e-06
14000,4.212240412658974e-06,4.605508120447961e-06,2.558029273686582e-06
15000,4.262741258620799e-06,4.9142117769289265e-06,2.845736872600646e-06
16000,4.421252985035882e-06,4.759479150988473e-06,2.697712622754126e-06
17000,4.3021319249404844e-06,5.15671675588648e-06,2.724730917656854e-06
18000,4.6056953851065325e-06,5.120004935860947e-06,2.5529739147314582e-06
19000,4.814682988862298e-06,5.532209087218043e-06,2.658017883040895e-06
20000,4.622036219860147e-06,5.292531463646851e-06,2.701850253744535e-06
21000,4.745967883477365e-06,5.3314566260444876e-06,2.9064854316734567e-06
22000,4.864448414512312e-06,4.826977053577722e-06,2.8232728069847897e-06
23000,4.736269619911752e-06,5.141937194325502e-06,2.7051851120921506e-06
24000,4.71007827070415e-06,5.510716096389805e-06,2.8359405967060305e-06
25000,4.873632854278756e-06,4.996161615351799e-06,2.6697876416823776e-06
26000,4.589578472374393e-06,5.478089242447901e-06,2.744091513053872e-06
27000,4.866132388894633e-06,5.584750086341594e-06,2.7109503195044486e-06
28000,5.017235533751998e-06,5.742395735567071e-06,2.777751837108708e-06
29000,4.89565758231818e-06,5.570526968337513e-06,2.8398847558526403e-06
30000,4.871042324865131e-06,5.557271130869798e-06,2.837096601900874e-06
31000,4.962258765204832e-06,5.37173304021119e-06,2.8176845568065783e-06
32000,5.132679230012906e-06,5.851282607221271e-06,2.9669369288492747e-06
33000,4.941774660539018e-06,5.7383432828945175e-06,2.710806566340075e-06
34000,5.10798934645689e-06,6.051308084609416e-06,2.8247271679687577e-06
35000,5.108133912675103e-06,5.998385439761997e-06,2.744956252638773e-06
36000,5.142523554766695e-06,5.918936231477115e-06,3.115056209827385e-06
