,LS,BST,LLRBT,BF
0,2.4350174011651144e-07,2.3570184424552067e-07,4.033449209973698e-07,2.4006105397553833e-06
1000,1.583386990553133e-05,1.2078351048428486e-06,1.81388590046088e-06,2.372790142593639e-06
2000,3.0012427358184837e-05,1.5517151764830408e-06,2.3872648827113564e-06,2.4312173731079483e-06
3000,4.6815678696210016e-05,1.8531380558179814e-06,2.101894715177289e-06,2.234071467920478e-06
4000,5.9324057073570604e-05,1.5000555135522612e-06,2.1741179237225377e-06,2.101321995227281e-06
5000,8.213780176723984e-05,1.4630831024156875e-06,2.216569421172296e-06,2.102833072573396e-06
6000,8.627453326918724e-05,1.4744386904748939e-06,2.2355352883622876e-06,2.0988111299748906e-06
7000,9.445757766624446e-05,2.454287995105433e-06,2.325434057701081e-06,2.0972548287763297e-06
8000,0.00010739782157485836,1.536458554653823e-06,2.3151519441266315e-06,2.1242638880774705e-06
9000,0.00012038108178814177,2.5988560487645786e-06,2.343295781356956e-06,2.172063859809862e-06
10000,0.00013275124612664477,1.5728827233227218e-06,2.348589086005034e-06,2.0973806007572834e-06
11000,0.0001453416113054894,1.5653887555508842e-06,2.38922997750231e-06,2.1014408710039154e-06
12000,0.00015804696540080423,1.5813990967027734e-06,2.392363141446649e-06,2.20027235039961e-06
13000,0.0001699556364739947,1.5929867645626174e-06,2.4407826279761133e-06,2.1233205982203175e-06
14000,0.0001820762872225179,1.609629107608513e-06,2.4165954331047336e-06,2.1064963201358457e-06
15000,0.00019407113534414088,1.6342871388082976e-06,2.436614259437989e-06,2.1041504555241555e-06
16000,0.00020604247856771714,1.6207753952890547e-06,2.440603569243861e-06,2.1254766266146134e-06
17000,0.00021772387420749734,1.8837500411087817e-06,2.4510054480551336e-06,2.1682413642193607e-06
18000,0.00022966867581198015,1.7077140757744925e-06,2.4639699425297696e-06,2.1078740593136883e-06
19000,0.0002414836927571584,1.6636674412150816e-06,2.4880115200617017e-06,2.282059912801404e-06
20000,0.0002527367576728862,1.6636639064771891e-06,2.7152180491859216e-06,2.6973656590863112e-06
21000,0.00026429595982642575,1.6615256557352346e-06,2.6652144571634292e-06,2.1276124169017605e-06
22000,0.0002762384839276657,1.6775395778307404e-06,2.5887738442553737e-06,2.4484523276680696e-06
23000,0.0002880204353636043,1.6774604967339724e-06,2.524903845127009e-06,2.523614012339234e-06
24000,0.0002997177527912662,1.698408739655725e-06,2.5328384999922874e-06,2.474165512783012e-06
25000,0.00031004860446381575,2.059090668052778e-06,2.5656084081120706e-06,2.4612788865048866e-06
26000,0.0003227076362695572,1.7883321712997478e-06,2.560925585042007e-06,2.114870483848601e-06
27000,0.0003330079747562055,1.738480411286592e-06,2.5801379597699816e-06,2.1156657074629303e-06
28000,0.00034423485993607093,1.74746050531354e-06,2.6261262050610815e-06,2.121733847449586e-06
29000,0.0003552411184667444,1.7475790923043988e-06,2.785967306684356e-06,2.294577632578451e-06
30000,0.00036678550461623953,1.7494937997532401e-06,2.6267448303979657e-06,2.185072007142325e-06
31000,0.00037717927255556666,1.7451099970265794e-06,2.7417320950135314e-06,2.1407652574591892e-06
32000,0.0003888150885588253,1.7504609779697441e-06,3.8113096929638602e-06,2.227249516199703e-06
33000,0.00039842086880417744,2.177185383127231e-06,2.624920281868241e-06,2.253232173097497e-06
34000,0.0004092872388814126,1.832109726824962e-06,2.69298275737127e-06,2.138240634452453e-06
35000,0.0004199162414904605,1.7819763660263828e-06,2.6737621118186853e-06,2.128122585852791e-06
36000,0.000430903274916729,1.798003918810493e-06,2.699804258586236e-06,2.142557577496366e-06
37000,0.00044134958991146934,1.7898737328723264e-06,3.408941792002224e-06,2.1219006732163875e-06
38000,0.000452955437182425,1.8355579676018228e-06,4.071239993792367e-06,2.1293583232890957e-06
39000,0.0004634942831479879,1.995217330560848e-06,5.053113917737909e-06,2.1309706142738143e-06
40000,0.0004733509553347236,1.9008759155057742e-06,3.1328687359680374e-06,2.173979560681771e-06
