,LS,BST,LLRBT,BF
0,1.2982399584923197e-07,1.746198870145464e-07,3.173811149067976e-07,1.2183062497385345e-06
1000,1.574629524413323e-05,9.480036713120945e-07,1.3860391819720305e-06,1.2176034765556345e-06
2000,3.208089356387608e-05,1.084229067193448e-06,1.618003566726418e-06,2.667622665975647e-06
3000,4.1741357525309406e-05,1.2696489064707899e-06,1.7742968468413363e-06,1.2517036115125514e-06
4000,5.43815386428151e-05,1.244915406044938e-06,1.8771394011385554e-06,1.2203782788310596e-06
5000,6.720479235479986e-05,1.3362975164337432e-06,1.9087763635438453e-06,1.2246961885720183e-06
6000,8.023094870224894e-05,1.332177425912628e-06,1.9705837291392336e-06,1.2278056431538199e-06
7000,0.00012087630812234737,1.4262328742417157e-06,2.0297801688984594e-06,1.2386649017763493e-06
8000,0.0001051199214430916,1.392878699012216e-06,2.147417357357083e-06,1.2295666970665248e-06
9000,0.00011541529019134535,1.5100158192110485e-06,2.1566121674148657e-06,1.230267226098643e-06
10000,0.00012687372681040933,1.3473823021913542e-06,2.1254579345329666e-06,1.219690610252308e-06
11000,0.0001384423760654767,1.5446547507263007e-06,2.1844477187286435e-06,1.2613458624905765e-06
12000,0.00014972176875815445,1.5613628340039746e-06,2.225845778597133e-06,1.2223806757986443e-06
13000,0.00016301386508830448,1.3691137800750824e-06,2.2485102154154223e-06,1.2261834761263547e-06
14000,0.0001737310833429113,1.5654130686529737e-06,2.2684230228188183e-06,1.2445715901228678e-06
15000,0.00018457397348028396,1.5240677964205176e-06,2.3006220214331775e-06,1.2370093663640394e-06
16000,0.0001987930841966224,1.6377153122456712e-06,2.3033621929889426e-06,1.2179827246797868e-06
17000,0.00020750122700779946,1.6327519019198996e-06,2.359718947131155e-06,1.2757736347707623e-06
18000,0.00022160841351574287,1.6194896353595707e-06,2.410186431811491e-06,1.237552230445667e-06
19000,0.00023321368675387763,1.6356531948191009e-06,2.380170945155077e-06,1.2289824597943602e-06
20000,0.0002409279264915228,1.6621322471518081e-06,2.3681956356176513e-06,1.229803111004508e-06
