,LS
0,1.4170072972774506e-06
1,5.00003807246685e-07
2,3.33995558321476e-07
3,2.500019036233425e-07
4,3.33995558321476e-07
5,2.500019036233425e-07
6,3.3300602808594704e-07
7,2.500019036233425e-07
8,3.3294782042503357e-07
9,3.3294782042503357e-07
10,2.92027834802866e-07
11,2.919696271419525e-07
12,2.92027834802866e-07
13,4.5803608372807503e-07
14,2.500019036233425e-07
15,4.589674063026905e-07
16,4.169996827840805e-07
17,3.33995558321476e-07
18,3.33995558321476e-07
19,2.92027834802866e-07
20,2.919696271419525e-07
21,3.3300602808594704e-07
22,3.7497375160455704e-07
23,3.7497375160455704e-07
24,4.5803608372807503e-07
25,3.750319592654705e-07
26,3.7497375160455704e-07
27,4.169996827840805e-07
28,4.169996827840805e-07
29,4.169996827840805e-07
30,4.169996827840805e-07
31,3.750319592654705e-07
32,4.5902561396360397e-07
33,4.5797787606716156e-07
34,4.1601015254855156e-07
35,4.5902561396360397e-07
36,4.5803608372807503e-07
37,4.169996827840805e-07
38,4.5902561396360397e-07
39,4.589674063026905e-07
40,5.00003807246685e-07
41,7.919734343886375e-07
42,4.5902561396360397e-07
43,5.00003807246685e-07
44,4.169996827840805e-07
45,5.00003807246685e-07
46,5.420297384262085e-07
47,5.00003807246685e-07
48,5.41971530765295e-07
49,5.00003807246685e-07
50,5.409820005297661e-07
51,5.409820005297661e-07
52,5.420297384262085e-07
53,5.830079317092896e-07
54,5.409820005297661e-07
55,5.420297384262085e-07
56,5.839974619448185e-07
57,5.830079317092896e-07
58,5.829497240483761e-07
59,5.830079317092896e-07
60,5.409820005297661e-07
61,5.839974619448185e-07
62,4.169996827840805e-07
63,5.830079317092896e-07
64,6.67001586407423e-07
65,6.67001586407423e-07
66,7.090275175869465e-07
67,6.249756552278996e-07
68,6.67001586407423e-07
69,6.249756552278996e-07
70,6.249756552278996e-07
71,6.249756552278996e-07
72,5.830079317092896e-07
73,5.839974619448185e-07
74,6.67001586407423e-07
75,6.25033862888813e-07
76,6.67001586407423e-07
77,6.67001586407423e-07
78,6.67001586407423e-07
79,6.660120561718941e-07
80,8.750357665121555e-07
81,7.079797796905041e-07
82,7.500057108700275e-07
83,7.500057108700275e-07
84,7.92031642049551e-07
85,7.080379873514175e-07
86,7.500057108700275e-07
87,7.500057108700275e-07
88,7.500057108700275e-07
89,7.500057108700275e-07
90,7.500057108700275e-07
91,7.079797796905041e-07
92,3.7497375160455704e-07
93,7.92031642049551e-07
94,7.910421118140221e-07
95,7.919734343886375e-07
96,7.919734343886375e-07
97,9.5803989097476e-07
98,7.92031642049551e-07
99,7.92031642049551e-07
100,7.909839041531086e-07
101,5.839974619448185e-07
102,7.499475032091141e-07
103,8.329516276717186e-07
104,8.33999365568161e-07
105,8.33999365568161e-07
106,8.330098353326321e-07
107,8.749775588512421e-07
108,8.750357665121555e-07
109,1.00000761449337e-06
110,8.749775588512421e-07
111,8.330098353326321e-07
112,8.330098353326321e-07
113,9.170034900307655e-07
114,1.00000761449337e-06
115,9.589712135493755e-07
116,8.750357665121555e-07
117,1.0840012691915035e-06
118,9.579816833138466e-07
119,1.0830117389559746e-06
120,9.170034900307655e-07
121,1.00000761449337e-06
122,9.579816833138466e-07
123,9.579816833138466e-07
124,1.00000761449337e-06
125,9.579816833138466e-07
126,1.00000761449337e-06
127,8.750357665121555e-07
128,9.579816833138466e-07
129,1.00000761449337e-06
130,9.5803989097476e-07
131,9.170034900307655e-07
132,1.0420335456728935e-06
133,3.7497375160455704e-07
134,1.0420335456728935e-06
135,1.2500095181167126e-06
136,9.5803989097476e-07
137,1.00000761449337e-06
138,1.00000761449337e-06
