,BST,BSTRec
1,2.300000051036477e-05,3.7375022657215595e-05
2,1.2500007869675756e-05,2.1167012164369226e-05
3,1.1957978131249547e-05,2.1374988136813045e-05
4,1.529202563688159e-05,3.033402026630938e-05
5,1.866600359790027e-05,7.120799273252487e-05
6,2.0415987819433212e-05,9.50000248849392e-05
7,1.5874975360929966e-05,2.8541020583361387e-05
8,2.0459003280848265e-05,3.7500023609027267e-05
9,2.4334003683179617e-05,5.183398025110364e-05
10,1.883300137706101e-05,4.800001624971628e-05
11,1.95419997908175e-05,3.666698466986418e-05
12,2.5709014153108e-05,4.51250234618783e-05
13,2.2833002731204033e-05,4.216600791551173e-05
14,4.0583021473139524e-05,4.2750005377456546e-05
15,3.716698847711086e-05,5.066700396127999e-05
16,3.6874989746138453e-05,5.862500984221697e-05
17,2.795798354782164e-05,5.091700586490333e-05
18,2.62079993262887e-05,4.5249995309859514e-05
19,3.341701813042164e-05,5.966599564999342e-05
20,3.008398925885558e-05,5.199998850002885e-05
21,2.5208020815625787e-05,3.545900108292699e-05
22,3.7290999898687005e-05,6.675001350231469e-05
23,3.674998879432678e-05,5.887501174584031e-05
24,2.4457986000925303e-05,4.291697405278683e-05
25,2.970799687318504e-05,5.0125003326684237e-05
26,4.962499951943755e-05,7.458400796167552e-05
27,3.429199568927288e-05,5.958302062936127e-05
28,2.9207993065938354e-05,4.874999285675585e-05
29,3.629201091825962e-05,4.962499951943755e-05
30,2.9416987672448158e-05,5.075000808574259e-05
31,4.874999285675585e-05,6.591700366698205e-05
32,1.7709011444821954e-05,3.358299727551639e-05
33,2.4250010028481483e-05,4.033400909975171e-05
34,4.2166997445747256e-05,7.37080117687583e-05
35,3.495902637951076e-05,5.5791024351492524e-05
36,3.358299727551639e-05,5.820798105560243e-05
37,3.8124999264255166e-05,6.600000779144466e-05
38,4.941600491292775e-05,8.062500273808837e-05
39,3.704099799506366e-05,6.566598312929273e-05
40,2.9000017093494534e-05,4.8416986828669906e-05
41,5.958302062936127e-05,5.87090034969151e-05
42,4.533299943432212e-05,7.374997949227691e-05
43,2.5707995519042015e-05,4.704200546257198e-05
44,3.141697379760444e-05,5.3625000873580575e-05
45,5.974998930469155e-05,8.866700227372348e-05
46,3.533298149704933e-05,6.237500929273665e-05
47,4.2041996493935585e-05,7.262500002980232e-05
48,4.195800283923745e-05,5.9999991208314896e-05
49,5.2584015065804124e-05,8.012499893084168e-05
50,3.462497261352837e-05,6.162500358186662e-05
51,4.149999585933983e-05,6.720901001244783e-05
52,3.9457983803004026e-05,6.954200216569006e-05
53,4.495901521295309e-05,7.687500328756869e-05
54,4.712500958703458e-05,6.474999827332795e-05
55,4.2333995224907994e-05,6.749999010935426e-05
56,3.7874997360631824e-05,6.829199264757335e-05
57,5.3625000873580575e-05,8.70829971972853e-05
58,5.024997517466545e-05,6.916699931025505e-05
59,3.6416982766240835e-05,6.487499922513962e-05
60,3.8708007195964456e-05,6.69579894747585e-05
61,3.0125025659799576e-05,4.1624996811151505e-05
62,4.108299617655575e-05,7.433301652781665e-05
63,3.691698657348752e-05,6.42079976387322e-05
64,3.6290992284193635e-05,4.979199729859829e-05
65,4.070898285135627e-05,7.254199590533972e-05
66,4.591699689626694e-05,7.966699195094407e-05
67,4.620800609700382e-05,7.674997323192656e-05
68,5.270898691378534e-05,8.2874990766868e-05
69,2.679199678823352e-05,4.824998904950917e-05
70,4.975000047124922e-05,8.275001891888678e-05
71,3.629201091825962e-05,5.504098953679204e-05
72,5.829200381413102e-05,0.00010149998706765473
73,4.008397809229791e-05,7.01249809935689e-05
74,2.9082992114126682e-05,4.099999205209315e-05
75,4.504199023358524e-05,0.0011074590147472918
76,4.449998959898949e-05,8.441600948572159e-05
77,4.9416994443163276e-05,8.591701043769717e-05
78,6.0999998822808266e-05,8.699999307282269e-05
79,4.516699118539691e-05,8.537498069927096e-05
80,4.062501830048859e-05,8.224998600780964e-05
81,3.320799442008138e-05,6.254200707189739e-05
82,3.63329891115427e-05,6.78329961374402e-05
83,5.137501284480095e-05,0.00010858301538974047
84,4.1749997762963176e-05,8.38330015540123e-05
85,4.729200736619532e-05,8.92080133780837e-05
86,4.016701132059097e-05,7.71670020185411e-05
87,5.1332986913621426e-05,0.00011070800246670842
88,3.145798109471798e-05,6.170797860249877e-05
89,3.179101622663438e-05,6.1166996601969e-05
90,4.283399903215468e-05,8.037500083446503e-05
91,4.729200736619532e-05,9.212500299327075e-05
