,BST,BSTRec
185,7.263915762817914e-07,1.3672403260689535e-06
370,8.137057954018269e-07,1.602949697413234e-06
555,8.604084013388791e-07,1.6724421384257324e-06
740,9.065304248414319e-07,1.7457106770144416e-06
925,1.860147768229998e-06,1.7834890285643551e-06
1110,9.383475803129307e-07,1.8240504347027168e-06
1295,9.322645860390926e-07,1.7744923040373336e-06
1480,9.786883569877903e-07,1.8041038612296822e-06
1665,9.651623063917281e-07,1.8570675245494744e-06
1850,9.86316151609388e-07,1.8509871832633374e-06
2035,9.918773991115596e-07,1.8812214887333572e-06
2220,1.009903593979981e-06,1.928625398725613e-06
2405,9.94138672751366e-07,1.9482049691584815e-06
2590,1.001572049513391e-06,1.917828727778423e-06
2775,1.0011450989906668e-06,1.9384725019335746e-06
2960,1.0036479985050926e-06,1.914550820493712e-06
3145,1.0019191252409454e-06,1.964493897111249e-06
3330,1.0046680573237326e-06,1.973344123102041e-06
3515,1.0409478136603166e-06,1.966788557383719e-06
3700,1.0180687275501566e-06,1.959422039329459e-06
3885,1.012793852127405e-06,2.0124647262241316e-06
4070,1.042183116932801e-06,2.0166776333123855e-06
4255,1.055452233573439e-06,1.9650255829745204e-06
4440,9.86675378319662e-07,1.999721724599805e-06
4625,1.0501555831453532e-06,2.0002019837276513e-06
4810,1.0402031582481133e-06,2.0130292849974075e-06
4995,2.261574967516535e-06,2.0054658402799875e-06
5180,1.094266779746416e-06,1.977269507842053e-06
5365,1.0188301019114228e-06,1.994245505139847e-06
5550,9.992156186303414e-07,2.0116738752897724e-06
5735,9.846116561408436e-07,2.011001352519822e-06
5920,1.0212591108054332e-06,2.020351921951552e-06
6105,1.0254191664056083e-06,2.027292396240962e-06
6290,1.0306668999698868e-06,2.0171711232017623e-06
6475,1.0331924598869108e-06,1.9986254628747704e-06
6660,1.0169467433791506e-06,2.0332344211723417e-06
6845,1.0381381298680235e-06,2.0510449518509416e-06
7030,1.016530304412366e-06,2.0455337073995706e-06
7215,1.0421575279906393e-06,2.0479095443963596e-06
7400,1.0154786350957435e-06,2.0199376906037605e-06
7585,1.0268472812198308e-06,2.0284600899802574e-06
7770,1.0196802189248964e-06,2.033928260762552e-06
7955,1.0456349722049926e-06,2.052574680152631e-06
8140,1.0459971050261905e-06,2.0386817514759686e-06
8325,1.049382211597756e-06,2.040091193913388e-06
8510,1.0414582873703142e-06,2.029842448232849e-06
8695,1.0331498828520059e-06,2.039521730744169e-06
8880,1.0500133994522446e-06,2.035983493167121e-06
9065,1.0279948201560237e-06,2.0394510954806428e-06
9250,1.014850012650457e-06,2.0428315016500855e-06
9435,1.042045719084253e-06,2.0391145281049362e-06
9620,1.054053343277117e-06,2.05423111638584e-06
9805,1.047413326253038e-06,2.049027055655734e-06
9990,1.0295165606577871e-06,2.051894307358686e-06
10175,1.0683961797915741e-06,2.0402551472716784e-06
10360,1.036122005535375e-06,2.0509939533957375e-06
10545,1.0498258330081719e-06,2.0719006574294027e-06
10730,1.0677082303894358e-06,2.063074451444004e-06
10915,1.0516163561954548e-06,2.038998015592336e-06
11100,1.0258025519652377e-06,2.0854005562312424e-06
11285,1.0392476234226188e-06,2.072478205589321e-06
11470,1.0583577335837785e-06,2.031934828873416e-06
11655,1.059761843345034e-06,2.0695163071616937e-06
11840,1.048537033157201e-06,2.0675690131210677e-06
12025,1.0611822181424006e-06,2.046772130389074e-06
12210,1.0308711960433273e-06,2.081009176978414e-06
12395,1.0508294057083923e-06,2.0700673126282358e-06
12580,1.0207323453585625e-06,2.0737417027302974e-06
12765,1.0554265132635285e-06,2.084570260795363e-06
12950,1.0774236710725027e-06,2.0386452429902254e-06
13135,1.0530065324311274e-06,2.0686815665829755e-06
13320,1.0367225911126497e-06,2.0501923292379725e-06
13505,1.0542166974703107e-06,2.0860470510985054e-06
13690,1.0819223030137087e-06,2.0965762914867577e-06
13875,1.0263779822207234e-06,2.089773430788052e-06
14060,1.0814792465914143e-06,2.063047995261096e-06
14245,1.0717655799069673e-06,2.0805606298114455e-06
14430,1.044989363803024e-06,2.1087983879474324e-06
14615,1.0441862102256183e-06,2.069369826781982e-06
14800,1.06003068584026e-06,2.0825732712967134e-06
14985,1.0657661333851038e-06,2.0827111540310975e-06
15170,1.0551124471538794e-06,2.0876360871324983e-06
15355,1.1465837783820995e-06,2.068256174316715e-06
15540,1.0865586062192643e-06,2.063304912128033e-06
15725,1.0925775037121471e-06,2.082604170486399e-06
15910,1.1795805414728478e-06,2.12059451540539e-06
16095,1.0936428918802274e-06,2.074484265870799e-06
16280,1.0356650358800768e-06,2.0947271088616702e-06
16465,1.0318302767300005e-06,2.108656391159657e-06
16650,1.0619265584856135e-06,2.0939351963050184e-06
16835,1.0387815936647971e-06,2.074066563423962e-06
17020,1.0541450732105643e-06,2.08391437687219e-06
17205,1.0939081436569948e-06,2.0836508200597874e-06
17390,1.049360912934014e-06,2.101398963874223e-06
17575,1.0866877802331514e-06,2.069747161948968e-06
17760,1.0485150958112346e-06,2.1171717148342537e-06
17945,1.050576555901506e-06,2.0979312227167396e-06
18130,1.0606561736161009e-06,2.103317054757558e-06
18315,1.0915536480451668e-06,2.0658333792240112e-06
18500,1.0391533836175543e-06,2.1095504618993185e-06
