,BST,BSTRec
0,2.3666972992941737e-05,1.5541998436674476e-05
1,1.2708012945950031e-05,2.2750027710571885e-05
2,1.4874996850267053e-05,3.312499029561877e-05
3,1.9041006453335285e-05,4.066599649377167e-05
4,1.3833981938660145e-05,2.8915994334965944e-05
5,1.745900954119861e-05,3.67090106010437e-05
6,2.1750020096078515e-05,4.4957996578887105e-05
7,2.3041997337713838e-05,4.787501529790461e-05
8,1.712498487904668e-05,3.5165983717888594e-05
9,2.3250002413988113e-05,4.583399277180433e-05
10,2.6541994884610176e-05,5.5791024351492524e-05
11,1.7916987417265773e-05,3.691701567731798e-05
12,2.7375004719942808e-05,5.233401316218078e-05
13,2.1167012164369226e-05,4.4249987695366144e-05
14,2.591600059531629e-05,5.537501419894397e-05
15,2.1791987819597125e-05,4.3791020289063454e-05
16,1.1249998351559043e-05,2.1167012164369226e-05
17,3.041699528694153e-05,6.395898526534438e-05
18,2.5457993615418673e-05,5.254099960438907e-05
19,2.5250017642974854e-05,4.949999856762588e-05
20,1.5666999388486147e-05,3.058300353586674e-05
21,2.0042003598064184e-05,4.0457991417497396e-05
22,2.6959023671224713e-05,5.1583017921075225e-05
23,3.200001083314419e-05,6.066699279472232e-05
24,3.0750001315027475e-05,6.0708989622071385e-05
25,3.441699664108455e-05,7.087501580826938e-05
26,3.037499845959246e-05,6.295798812061548e-05
27,2.9082992114126682e-05,6.245801341719925e-05
28,3.966700751334429e-05,8.008399163372815e-05
29,2.5957997422665358e-05,5.337499896995723e-05
30,2.7417001547291875e-05,5.3041992941871285e-05
31,2.3458997020497918e-05,4.3917010771110654e-05
32,2.9584014555439353e-05,6.208298145793378e-05
33,4.325000918470323e-05,8.93340038601309e-05
34,2.8332986403256655e-05,6.062499596737325e-05
35,2.8750015189871192e-05,6.183399818837643e-05
36,2.704199869185686e-05,5.2916002459824085e-05
37,3.129200194962323e-05,6.158399628475308e-05
38,3.524997737258673e-05,6.658298661932349e-05
39,3.133298014290631e-05,6.09580019954592e-05
40,3.287501749582589e-05,6.558300810866058e-05
41,3.037499845959246e-05,6.229200516827404e-05
42,3.783300053328276e-05,7.845801883377135e-05
43,3.0750001315027475e-05,6.191700231283903e-05
44,3.591700806282461e-05,7.483299123123288e-05
45,2.1415995433926582e-05,4.64579788967967e-05
46,3.329102764837444e-05,7.249999907799065e-05
47,2.7624977519735694e-05,5.3625000873580575e-05
48,4.304098547436297e-05,8.579099085181952e-05
49,3.0458002584055066e-05,5.991602665744722e-05
50,3.995801671408117e-05,8.237498695962131e-05
51,3.412499791011214e-05,6.770898471586406e-05
52,3.6792014725506306e-05,7.558299694210291e-05
53,3.0250026611611247e-05,5.9125013649463654e-05
54,3.783300053328276e-05,7.912499131634831e-05
55,3.383299917913973e-05,6.812499486841261e-05
56,3.137500607408583e-05,6.35419855825603e-05
57,2.6749999960884452e-05,5.4500007536262274e-05
58,3.47500026691705e-05,7.416697917506099e-05
59,2.5084009394049644e-05,5.329199484549463e-05
60,3.100000321865082e-05,6.091699469834566e-05
61,2.862501423805952e-05,5.775000317953527e-05
62,3.783300053328276e-05,7.758400170132518e-05
63,3.4374999813735485e-05,7.812498370185494e-05
64,2.2041989723220468e-05,4.499999340623617e-05
65,3.554098657332361e-05,7.054200978018343e-05
