,BST,BSTRec
0,1.6036766918734946e-07,3.123547787854978e-07
185,7.191309844220587e-07,1.3091254086498546e-06
370,8.326296527963987e-07,1.5563289538760662e-06
555,8.620042204344218e-07,1.7339054467327414e-06
740,9.177261162463814e-07,1.790573068578309e-06
925,9.63701929580933e-07,1.8881151736756668e-06
1110,9.658939745533494e-07,1.91984686962064e-06
1295,9.953346735703836e-07,1.9476788295774696e-06
1480,1.0078769730438197e-06,2.040381667229834e-06
1665,1.0161813532232964e-06,2.0424988592863765e-06
1850,1.0213731390791476e-06,2.0442353465397835e-06
2035,2.083249658200924e-06,2.080780150659314e-06
2220,1.1777052134617205e-06,2.1609817770386645e-06
2405,1.0878007534310359e-06,2.159180441110848e-06
2590,1.0665223107100763e-06,2.184877961386986e-06
2775,1.0904907494561251e-06,2.1581694990003464e-06
2960,1.0997463015566042e-06,2.2201528014410117e-06
3145,1.1032059961724856e-06,2.232605888328831e-06
3330,1.1014692258910029e-06,2.266188298454594e-06
3515,1.109039994093393e-06,2.2608064159904734e-06
3700,1.1255757866102622e-06,2.2590573601544315e-06
3885,1.143065386947347e-06,2.289048768793566e-06
4070,1.182235421723934e-06,2.2906436213215285e-06
4255,1.1584377215337863e-06,2.3177748742521903e-06
4440,1.1802692865576902e-06,2.3026819535266233e-06
4625,1.1582936527668882e-06,2.3413859969944855e-06
4810,1.1496699357473658e-06,2.3600062293453365e-06
4995,1.1805551320980858e-06,2.3277400140522406e-06
5180,1.1782765179154796e-06,2.3797001238963607e-06
5365,1.1589078162155976e-06,2.4010626547927157e-06
5550,1.1955319151897496e-06,2.370822435637953e-06
5735,1.1770852089543408e-06,2.3377447606944436e-06
5920,1.1912968966665619e-06,2.4398869221790805e-06
6105,1.2146344273821066e-06,2.4133421781840265e-06
6290,1.1975215683870632e-06,2.4061866580944404e-06
6475,1.2124389219909496e-06,2.3738910773034216e-06
6660,1.2184284806866712e-06,2.4164251816552986e-06
6845,1.2111086964419264e-06,2.4120744206694835e-06
7030,1.2117869748281093e-06,2.405965796868325e-06
7215,1.2039224608638965e-06,2.4745091048299993e-06
7400,1.2405648039346305e-06,2.39711226105109e-06
7585,1.2321467052102773e-06,2.4315248939866595e-06
7770,1.221334706957734e-06,2.447200146580645e-06
7955,1.2056562150273164e-06,2.470720119330041e-06
8140,1.2331716278397025e-06,2.426841169159962e-06
8325,1.2291073094233186e-06,2.4922806865732193e-06
8510,1.2498292420486655e-06,2.510715844195097e-06
8695,1.2362858573179863e-06,2.437955808800158e-06
8880,1.2258504273865473e-06,2.4709594158301935e-06
9065,1.263154743222195e-06,2.444050914539588e-06
9250,1.252671872445066e-06,2.447300933412524e-06
9435,1.2580250323656093e-06,2.4763118825989578e-06
9620,1.2799251350411855e-06,2.5040563195943833e-06
9805,1.2434864290690887e-06,2.4898928545261606e-06
9990,1.2483121464114397e-06,2.466825737378671e-06
10175,1.255145155474407e-06,2.4958543528572e-06
10360,1.267758633838881e-06,2.514758423919183e-06
10545,1.2484666679926012e-06,2.481241459496866e-06
10730,1.2603061596239243e-06,2.5106663901119606e-06
10915,1.2603601709930995e-06,2.48208712923144e-06
11100,1.2581342384817267e-06,2.466924195904114e-06
11285,1.273373870281588e-06,2.49351582430098e-06
11470,1.2679374007798663e-06,2.4995872977300794e-06
11655,1.2340871157944887e-06,2.5380295487718843e-06
11840,1.2660778465108313e-06,2.474198598465925e-06
12025,1.2677888665775503e-06,2.5015197034258773e-06
12210,1.2330216806330675e-06,2.526629832573235e-06
12395,1.278149637974662e-06,2.4980154313540105e-06
12580,1.2964203167672551e-06,2.515362640800074e-06
12765,1.2828154198893714e-06,2.4722896670119477e-06
12950,1.2771541321086227e-06,2.5087903219557136e-06
13135,1.2713923287757356e-06,2.5591300138263803e-06
13320,1.2964724729674945e-06,2.538505870071368e-06
13505,1.2643242964025483e-06,2.5625068463658523e-06
13690,1.28133640808284e-06,2.5459115549392247e-06
13875,1.3157580733521406e-06,2.5455853122141247e-06
14060,1.2598638219861398e-06,2.511343039751668e-06
14245,1.2952187173324851e-06,2.535644523508915e-06
14430,1.2357450280458145e-06,2.5189668410073178e-06
14615,1.254281769250306e-06,2.5144523445414295e-06
14800,1.2786812501438303e-06,2.578712778738401e-06
14985,1.246329550759508e-06,2.5547553791553464e-06
15170,1.24897368448795e-06,2.5373027123801343e-06
15355,1.2546740920889542e-06,2.5331194089605994e-06
15540,1.2978978781884007e-06,2.549183936234256e-06
15725,1.2841103459631494e-06,2.5745199164461106e-06
15910,1.2764349855362959e-06,2.5601785228408258e-06
16095,1.2711300268991414e-06,2.54558422389107e-06
16280,1.275487565606354e-06,2.5755366921390687e-06
16465,1.3096649060880236e-06,2.5771272607967942e-06
16650,1.3049327535554767e-06,2.574400918626594e-06
16835,1.2929112310820353e-06,2.56946445506818e-06
17020,1.3016976785649536e-06,2.5574913902054415e-06
17205,1.302630141796117e-06,2.5641042931398396e-06
17390,1.261071713188441e-06,2.568787647359962e-06
17575,1.2987522075140695e-06,2.5556470340100724e-06
17760,1.2756298795991807e-06,2.5694494673965176e-06
17945,1.2565070908482468e-06,2.5776608904755308e-06
18130,1.3060594402646664e-06,2.5688760610587828e-06
18315,1.3164375062792673e-06,2.525914726360197e-06
18500,1.298630063276772e-06,2.5606797420667537e-06
