,BST,BSTRec
1,0.0003716670034918934,2.6666995836421847e-05
2,1.3458018656820059e-05,2.4374981876462698e-05
3,1.3415992725640535e-05,2.2624997654929757e-05
4,1.7250014934688807e-05,3.2499985536560416e-05
5,1.812499249354005e-05,3.0041992431506515e-05
6,2.7000001864507794e-05,4.270800855010748e-05
7,1.6792007954791188e-05,2.7667003450915217e-05
8,2.333297743462026e-05,4.1125022107735276e-05
9,2.7040980057790875e-05,4.716697731055319e-05
10,2.1458021365106106e-05,3.850000211969018e-05
11,2.2249994799494743e-05,4.212500061839819e-05
12,2.7624977519735694e-05,4.504100070334971e-05
13,2.500001573935151e-05,4.429099499247968e-05
14,2.6749999960884452e-05,4.874999285675585e-05
15,3.1791976653039455e-05,5.295898881740868e-05
16,3.575001028366387e-05,6.00829953327775e-05
17,3.1042000045999885e-05,5.4917007219046354e-05
18,2.5999994250014424e-05,4.6083005145192146e-05
19,3.745799767784774e-05,6.316599319688976e-05
20,3.3459014957770705e-05,5.4041011026129127e-05
21,2.129198401235044e-05,4.0292012272402644e-05
22,4.1584018617868423e-05,7.350000669248402e-05
23,3.712502075359225e-05,6.370898336172104e-05
24,2.7959002181887627e-05,4.474999150261283e-05
25,3.137500607408583e-05,5.454200436361134e-05
26,4.5791995944455266e-05,8.170798537321389e-05
27,3.820800338871777e-05,6.591601413674653e-05
28,2.9959017410874367e-05,5.237499135546386e-05
29,3.154200385324657e-05,5.099998088553548e-05
30,3.2333016861230135e-05,5.76250022277236e-05
31,4.2333005694672465e-05,7.708399789407849e-05
32,1.995899947360158e-05,3.783300053328276e-05
33,2.3957982193678617e-05,4.158299998380244e-05
34,4.737498238682747e-05,7.662500138394535e-05
35,3.545801155269146e-05,5.741699715144932e-05
36,3.6833982449024916e-05,5.933298962190747e-05
37,4.4832995627075434e-05,6.68749853502959e-05
38,5.066700396127999e-05,8.179098949767649e-05
39,4.166699363850057e-05,6.708301953040063e-05
40,2.9916991479694843e-05,4.895799793303013e-05
41,3.629201091825962e-05,5.887501174584031e-05
42,4.6250002924352884e-05,7.483398076146841e-05
43,2.9041984817013144e-05,4.762501339428127e-05
44,3.287498839199543e-05,5.400000372901559e-05
45,5.633299588225782e-05,8.904101559892297e-05
46,3.937500878237188e-05,6.225000834092498e-05
47,4.604100831784308e-05,7.362500764429569e-05
48,3.6500015994533896e-05,6.0084013966843486e-05
49,5.05829812027514e-05,8.066699956543744e-05
50,3.8457976188510656e-05,6.191700231283903e-05
51,4.266700125299394e-05,6.754201604053378e-05
52,4.354101838544011e-05,6.991598638705909e-05
53,4.866599920205772e-05,7.71670020185411e-05
54,4.099999205209315e-05,6.549997488036752e-05
55,4.2166997445747256e-05,6.837499677203596e-05
56,4.229199839755893e-05,6.849999772384763e-05
