,BST,BSTRec
185,7.098683160345215e-07,1.323163683457864e-06
370,7.912446381609647e-07,1.5430371714926777e-06
555,8.334030467726359e-07,1.6762322677863301e-06
740,8.674356541724517e-07,1.6935975632604655e-06
925,9.387764928076382e-07,1.7643605450749261e-06
1110,9.456371350230973e-07,1.762209506064585e-06
1295,9.574142889196583e-07,1.8347142255702696e-06
1480,9.341758746363291e-07,1.8008178038044124e-06
1665,9.54497980440907e-07,1.8413666979657538e-06
1850,9.65613789574474e-07,1.833704805403196e-06
2035,9.670153552871369e-07,1.9132750452743895e-06
2220,9.62411134649034e-07,1.8936473600686006e-06
2405,9.8749695542277e-07,1.8968060046622376e-06
2590,9.81337915243017e-07,1.9060631620125213e-06
2775,1.0008580935691747e-06,1.9026037450845635e-06
2960,9.842078007091213e-07,1.9189744254300764e-06
3145,9.645957621497981e-07,1.9188823505227854e-06
3330,9.946732604534391e-07,1.964886920577889e-06
3515,1.0045322027792214e-06,1.9440670228571793e-06
3700,1.012425209660459e-06,1.940379510932696e-06
3885,1.0071986134873207e-06,1.971456825673375e-06
4070,1.098957642220781e-06,1.972015168509284e-06
4255,9.857584805646484e-07,1.9704194263119353e-06
4440,9.901046201825963e-07,1.9436236876789308e-06
4625,1.0262854277677492e-06,1.9729938443510906e-06
4810,1.0136664543864787e-06,1.9593869673447052e-06
4995,1.005211859992748e-06,1.9599762168465133e-06
5180,1.0091011848198164e-06,1.9780793611746317e-06
5365,1.0521815141338273e-06,2.0095959258769905e-06
5550,1.0149356889871693e-06,1.9979143158507047e-06
5735,1.0238346545487096e-06,2.0619254258093894e-06
5920,1.0538711661148236e-06,1.977289090180821e-06
6105,1.0164317390838757e-06,2.004779405345064e-06
6290,1.0234542498621372e-06,1.978345419314408e-06
6475,1.014593686404373e-06,2.063911235165022e-06
6660,1.0056305033744338e-06,2.019019372368214e-06
6845,1.0192567352290957e-06,2.0270382049877983e-06
7030,1.0572251342578766e-06,2.0300969577590945e-06
7215,1.0409738896243752e-06,2.0054419537784037e-06
7400,1.026210683790984e-06,2.045576517265119e-06
7585,1.0348991800629354e-06,1.9995859821984938e-06
7770,1.066041627574131e-06,2.0189491984938535e-06
7955,1.0438808368160091e-06,2.029039927997515e-06
8140,1.0261806198011298e-06,2.02903519875857e-06
8325,1.0162922468275651e-06,2.0164754166942806e-06
8510,1.024183459417604e-06,2.0342812843518245e-06
8695,1.0068894240048226e-06,2.0510092935174567e-06
8880,1.0598839277726247e-06,2.011313497242646e-06
9065,1.0602538593523545e-06,2.0485919517883605e-06
9250,1.0415024226616829e-06,2.0424280510019134e-06
9435,1.0410348261031536e-06,2.0547638959123182e-06
9620,1.0884984924005122e-06,2.0524813748742327e-06
9805,1.024694290917811e-06,2.010637467060614e-06
9990,1.0580735199939494e-06,2.0254398044625965e-06
10175,1.0390744988866355e-06,2.004779459814618e-06
10360,1.0524745240226524e-06,2.0417809900784983e-06
10545,1.054772678890838e-06,2.057614464979243e-06
10730,1.057225175911065e-06,2.0409520157963174e-06
10915,1.067112188213804e-06,2.024601399471317e-06
11100,1.0452475804630496e-06,2.030203272716715e-06
11285,1.043973972277562e-06,2.0560247838548427e-06
11470,1.0622780644035805e-06,2.0258684414054414e-06
11655,1.0482645433379014e-06,2.0274042265079573e-06
11840,1.0614723817300086e-06,2.0660981632034304e-06
12025,1.0559371610624938e-06,2.0227510783257423e-06
12210,1.0619035947623602e-06,2.0503791886458704e-06
12395,1.0579008119898515e-06,2.043290338222655e-06
12580,1.046674524715871e-06,2.0943337265367904e-06
12765,1.0523471314835987e-06,2.074770462793221e-06
12950,1.0449098243694239e-06,2.055885550061907e-06
13135,1.0526577350384462e-06,2.1674587602786924e-06
13320,1.0304492577876246e-06,2.057736626305028e-06
13505,1.0641396041412692e-06,2.003332798651189e-06
13690,1.0267738605328247e-06,2.09732734653757e-06
13875,1.068642113033101e-06,2.037264650192009e-06
14060,1.076396006808847e-06,2.036448628983435e-06
14245,1.0438883995398059e-06,2.016351231450745e-06
14430,1.0435564161509001e-06,2.022189496153402e-06
14615,1.0620830548551241e-06,2.0699958229403294e-06
14800,1.0713961652539875e-06,2.0191311268050463e-06
14985,1.1015874237556933e-06,2.00564698145272e-06
15170,1.063180403835183e-06,2.0146081298846034e-06
15355,1.0562598536542933e-06,2.010980821769992e-06
15540,1.0646882214916682e-06,2.074703608357578e-06
15725,1.056116284725658e-06,2.0203924985653766e-06
15910,1.0534881116446415e-06,2.0233012998579155e-06
16095,1.056206253476851e-06,2.0952995016384836e-06
16280,1.0606785969159335e-06,2.0688054399616127e-06
16465,1.0434490652037187e-06,2.070340632307215e-06
16650,1.046309537049212e-06,2.062992417091213e-06
16835,1.057716179425495e-06,2.0840423493517923e-06
17020,1.0473635261280275e-06,2.067688187165613e-06
17205,1.0473663553407569e-06,2.0484979683106097e-06
17390,1.0541804762847654e-06,2.083936654919878e-06
17575,1.0373289579388883e-06,2.0842417196686797e-06
17760,1.0498348984508475e-06,2.069464583513797e-06
17945,1.037374933446766e-06,2.076982103988802e-06
18130,1.0882267128214787e-06,2.0336610384695574e-06
18315,1.0755899898417362e-06,2.088394434695397e-06
18500,1.068324634566083e-06,2.0826234890216397e-06
