,BST,BSTRec
0,1.1458003427833319e-05,1.6874982975423336e-05
1,1.3584009138867259e-05,2.2083986550569534e-05
2,1.62090000230819e-05,2.862501423805952e-05
3,2.2124993847683072e-05,3.7582998629659414e-05
4,1.704200985841453e-05,2.90420139208436e-05
5,2.1082989405840635e-05,3.708299482241273e-05
6,2.2374995751306415e-05,3.908298094756901e-05
7,2.5374989490956068e-05,4.099999205209315e-05
8,2.579099964350462e-05,4.15419926866889e-05
9,3.1208008294925094e-05,4.924999666400254e-05
10,2.7125002816319466e-05,4.2458006646484137e-05
11,3.170801210217178e-05,5.020800745114684e-05
12,2.9916001949459314e-05,4.7667010221630335e-05
13,3.262498648837209e-05,5.0709000788629055e-05
14,2.8375012334436178e-05,4.3957988964393735e-05
15,2.6666995836421847e-05,4.1834020521491766e-05
16,3.7999998312443495e-05,5.8375007938593626e-05
17,3.5250006476417184e-05,5.6124990805983543e-05
18,1.3082986697554588e-05,2.116698306053877e-05
19,3.75840172637254e-05,5.67499955650419e-05
20,3.883300814777613e-05,6.366599700413644e-05
21,2.6708003133535385e-05,4.933300078846514e-05
22,2.941599814221263e-05,5.6541990488767624e-05
23,3.3082993468269706e-05,6.474999827332795e-05
24,3.22920095641166e-05,6.254200707189739e-05
25,3.645799006335437e-05,7.2750000981614e-05
26,1.4499993994832039e-05,2.724997466430068e-05
27,2.1333020413294435e-05,4.154100315645337e-05
28,2.620898885652423e-05,5.025000427849591e-05
29,3.958400338888168e-05,7.224999717436731e-05
30,3.041699528694153e-05,5.791601142846048e-05
31,3.0084018362686038e-05,5.708300159312785e-05
32,1.491600414738059e-05,2.8624985134229064e-05
33,4.137499490752816e-05,8.054199861362576e-05
34,3.1665986170992255e-05,6.233301246538758e-05
35,2.604199107736349e-05,5.0125003326684237e-05
36,3.0750001315027475e-05,5.820899968966842e-05
37,4.39169816672802e-05,8.004199480637908e-05
38,3.3791991882026196e-05,6.562500493600965e-05
39,2.7125002816319466e-05,5.4625008488073945e-05
40,3.3958000130951405e-05,6.549997488036752e-05
41,2.9000017093494534e-05,5.6832999689504504e-05
42,3.333299537189305e-05,6.4416992245242e-05
43,2.500001573935151e-05,4.9291003961116076e-05
44,3.170801210217178e-05,6.225000834092498e-05
45,3.6874989746138453e-05,9.645801037549973e-05
46,4.325000918470323e-05,8.320799679495394e-05
47,4.7209003241732717e-05,9.179199696518481e-05
48,3.72079957742244e-05,7.312500383704901e-05
49,3.3374992199242115e-05,6.42079976387322e-05
50,1.833401620388031e-05,3.4958007745444775e-05
51,1.9041006453335285e-05,3.7165998946875334e-05
52,4.4957996578887105e-05,8.62909946590662e-05
53,5.337499896995723e-05,0.00010687499889172614
54,3.474997356534004e-05,6.50830043014139e-05
55,2.5749992346391082e-05,4.804099444299936e-05
56,3.62499849870801e-05,6.912500248290598e-05
57,4.579097731038928e-05,8.58750136103481e-05
58,2.0041974494233727e-05,3.712502075359225e-05
59,2.995799877680838e-05,5.699999746866524e-05
60,3.683299291878939e-05,7.095799082890153e-05
61,3.770802868530154e-05,7.14160269126296e-05
62,4.070799332112074e-05,7.800001185387373e-05
63,3.7124991649761796e-05,7.091599400155246e-05
64,4.1292019886896014e-05,7.883398211561143e-05
65,3.862500307150185e-05,7.295800605788827e-05
66,3.22920095641166e-05,6.187500548548996e-05
67,2.591699012555182e-05,4.9124995712190866e-05
68,4.616699879989028e-05,8.679099846631289e-05
69,4.099999205209315e-05,7.720899884589016e-05
70,3.420902066864073e-05,6.474999827332795e-05
71,3.966700751334429e-05,7.279100827872753e-05
72,2.9708986403420568e-05,5.5500015150755644e-05
73,4.175002686679363e-05,7.941701915115118e-05
74,3.0041992431506515e-05,5.7124998420476913e-05
75,4.120898665860295e-05,7.745900074951351e-05
76,3.6084005841985345e-05,6.670897710137069e-05
77,2.9624992748722434e-05,5.687499651685357e-05
78,3.8708007195964456e-05,7.40000104997307e-05
79,3.962501068599522e-05,7.375000859610736e-05
80,3.420800203457475e-05,6.395901436917484e-05
81,2.791700535453856e-05,5.1292008720338345e-05
82,3.15000070258975e-05,8.929098839871585e-05
83,4.112499300390482e-05,7.979199290275574e-05
84,3.866699989885092e-05,0.0001576670038048178
85,4.6542001655325294e-05,9.495901758782566e-05
86,3.733299672603607e-05,7.687500328756869e-05
87,3.4500000765547156e-05,6.920800660736859e-05
88,3.862500307150185e-05,9.187500108964741e-05
89,2.3458997020497918e-05,6.837499677203596e-05
90,2.3916014470160007e-05,4.420799086801708e-05
91,3.4500000765547156e-05,6.558297900483012e-05
92,4.237500252202153e-05,8.083297871053219e-05
93,3.0291994335129857e-05,5.78339968342334e-05
94,5.6459015468135476e-05,0.00011391699081286788
95,3.5457982448861e-05,6.587497773580253e-05
