,LS,BST,LLRBT,BF
0,2.4124979972839355e-05,8.279201574623585e-05,0.00037358299596235156,0.00033716700272634625
1,2.6659981813281775e-06,3.583991201594472e-06,3.158301115036011e-05,1.4457997167482972e-05
2,1.333013642579317e-06,3.3339892979711294e-06,0.0004003749927505851,1.4082994312047958e-05
3,1.334003172814846e-06,2.541026333346963e-06,9.500014130026102e-06,1.4958000974729657e-05
4,1.5840050764381886e-06,3.1660019885748625e-06,1.3792014215141535e-05,1.2667005648836493e-05
5,1.374981366097927e-06,4.083005478605628e-06,2.0749983377754688e-05,1.3957993360236287e-05
6,1.4579854905605316e-06,4.708999767899513e-06,7.875001756474376e-06,1.5124998753890395e-05
7,1.5840050764381886e-06,5.750014679506421e-06,1.8041988369077444e-05,1.533300383016467e-05
8,1.7090060282498598e-06,4.999979864805937e-06,1.8000020645558834e-05,1.60830095410347e-05
9,1.6250123735517263e-06,5.415990017354488e-06,1.6041012713685632e-05,1.3082986697554588e-05
10,3.7080026231706142e-06,6.290996680036187e-06,2.008400042541325e-05,1.2874981621280313e-05
11,1.7079873941838741e-06,3.0840164981782436e-06,2.4375010980293155e-05,1.2333010090515018e-05
12,1.8339778762310743e-06,5.624984623864293e-06,1.95419997908175e-05,1.2500007869675756e-05
13,1.7500133253633976e-06,6.290996680036187e-06,2.012500772252679e-05,1.1374999303370714e-05
14,1.9579892978072166e-06,6.999995093792677e-06,2.487501478753984e-05,1.2167001841589808e-05
15,1.9170111045241356e-06,6.249989382922649e-06,1.7499987734481692e-05,1.3834011042490602e-05
16,2.1249870769679546e-06,6.250018486753106e-06,2.2124993847683072e-05,1.4332996215671301e-05
17,2.00001522898674e-06,7.750000804662704e-06,1.766698551364243e-05,1.5416997484862804e-05
18,2.083979779854417e-06,3.7919962778687477e-06,1.7041980754584074e-05,1.3791985111311078e-05
19,2.208980731666088e-06,3.6659766919910908e-06,2.1750020096078515e-05,1.3874989235773683e-05
20,2.2909953258931637e-06,7.2499969974160194e-06,2.429200685583055e-05,1.6041012713685632e-05
21,2.333021257072687e-06,5.5000127758830786e-06,2.216699067503214e-05,1.258301199413836e-05
22,2.500019036233425e-06,6.832997314631939e-06,2.3959000827744603e-05,1.3749988283962011e-05
23,2.374988980591297e-06,4.292000085115433e-06,2.404101542197168e-05,1.329201040789485e-05
24,2.7500209398567677e-06,3.8330035749822855e-06,2.445801510475576e-05,1.4166987966746092e-05
25,2.707995008677244e-06,7.000024197623134e-06,2.891701296903193e-05,1.2542004697024822e-05
26,2.582994056865573e-06,4.832982085645199e-06,2.8332986403256655e-05,1.129100564867258e-05
27,2.749991836026311e-06,4.458997864276171e-06,2.937499084509909e-05,1.1583993909880519e-05
28,2.707995008677244e-06,4.083995008841157e-06,2.5250017642974854e-05,1.270900247618556e-05
29,2.707995008677244e-06,9.000010322779417e-06,2.491698251105845e-05,1.300001167692244e-05
30,2.874992787837982e-06,3.7919962778687477e-06,2.0208011846989393e-05,1.2540986062958837e-05
31,2.7909991331398487e-06,4.999979864805937e-06,1.8291000742465258e-05,1.1708005331456661e-05
32,2.9999937396496534e-06,4.62500611320138e-06,3.2249983632937074e-05,1.2666976545006037e-05
33,3.04199056699872e-06,6.333983037620783e-06,2.9999995604157448e-05,1.2333999620750546e-05
34,3.082997864112258e-06,5.084002623334527e-06,1.8416991224512458e-05,1.1750002158805728e-05
35,2.9579969123005867e-06,7.875001756474376e-06,2.6250025257468224e-05,1.1666998034343123e-05
36,3.2919924706220627e-06,8.041999535635114e-06,2.7375004719942808e-05,1.2874981621280313e-05
37,3.2919924706220627e-06,5.207984941080213e-06,3.1167000997811556e-05,1.2333010090515018e-05
38,3.374996595084667e-06,7.750000804662704e-06,2.7417001547291875e-05,1.1166994227096438e-05
39,3.416003892198205e-06,4.7079811338335276e-06,2.8417009161785245e-05,1.087499549612403e-05
40,3.374996595084667e-06,4.542001988738775e-06,2.3542001144960523e-05,1.18750031106174e-05
41,3.541994374245405e-06,8.791015716269612e-06,2.5291985366493464e-05,1.1374999303370714e-05
42,3.749999450519681e-06,8.167000487446785e-06,2.6790978154167533e-05,1.1833006283268332e-05
43,3.4589902497828007e-06,6.04201341047883e-06,2.9499991796910763e-05,1.5458004781976342e-05
44,3.749999450519681e-06,6.624992238357663e-06,2.8915994334965944e-05,1.4833000022917986e-05
45,3.6660057958215475e-06,7.584021659567952e-06,2.9040995286777616e-05,1.2792006600648165e-05
46,3.749999450519681e-06,4.708010237663984e-06,3.329099854454398e-05,1.1333002476021647e-05
47,4.083005478605628e-06,5.792011506855488e-06,1.7292011762037873e-05,1.1083000572398305e-05
48,4.5000051613897085e-06,7.2499969974160194e-06,3.3374992199242115e-05,1.1041993275284767e-05
49,4.375004209578037e-06,6.874994141981006e-06,2.22500239033252e-05,1.2749980669468641e-05
50,4.458997864276171e-06,7.916998583823442e-06,2.712497371248901e-05,1.16249721031636e-05
51,5.209003575146198e-06,7.95800588093698e-06,3.1750008929520845e-05,1.1415977496653795e-05
52,4.250003257766366e-06,6.499991286545992e-06,2.9040995286777616e-05,1.1791998986154795e-05
53,4.1669991333037615e-06,5.95799065195024e-06,3.4249998861923814e-05,1.0791001841425896e-05
54,4.458008334040642e-06,6.458983989432454e-06,3.3541000448167324e-05,1.2333010090515018e-05
55,4.417001036927104e-06,5.416019121184945e-06,2.8542010113596916e-05,1.2042000889778137e-05
56,4.583009285852313e-06,8.25000461190939e-06,3.112500417046249e-05,1.09999964479357e-05
57,4.458008334040642e-06,5.958019755780697e-06,2.6583991711959243e-05,1.170899486169219e-05
58,4.583998816087842e-06,6.291986210271716e-06,2.850001328624785e-05,1.1458003427833319e-05
59,4.458008334040642e-06,6.124988431110978e-06,3.933301195502281e-05,1.2542004697024822e-05
60,4.958012141287327e-06,9.499985026195645e-06,2.6833004085347056e-05,1.2208009138703346e-05
61,4.3330073822289705e-06,6.207992555573583e-06,3.170798299834132e-05,1.391599653288722e-05
62,4.583998816087842e-06,8.750008419156075e-06,3.558400203473866e-05,1.2459000572562218e-05
63,4.8330111894756556e-06,9.666982805356383e-06,2.649999805726111e-05,1.058299676515162e-05
64,5.083013093098998e-06,6.457994459196925e-06,3.108300734311342e-05,1.5208992408588529e-05
65,4.917004844173789e-06,6.832997314631939e-06,2.3708009393885732e-05,1.1833006283268332e-05
66,5.124980816617608e-06,7.916998583823442e-06,3.975001163780689e-05,1.2417003745213151e-05
67,5.084002623334527e-06,8.540984708815813e-06,2.837498323060572e-05,1.304197940044105e-05
68,5.249981768429279e-06,5.582987796515226e-06,3.3499993151053786e-05,1.1707976227626204e-05
69,5.082983989268541e-06,7.708993507549167e-06,3.0499999411404133e-05,1.1208001524209976e-05
70,5.250010872259736e-06,7.791008101776242e-06,3.3249991247430444e-05,1.2125005014240742e-05
71,5.250010872259736e-06,6.249989382922649e-06,2.679199678823352e-05,1.2708012945950031e-05
72,5.292007699608803e-06,7.875001756474376e-06,3.966700751334429e-05,1.0415998985990882e-05
73,5.3340045269578695e-06,7.0829992182552814e-06,3.200001083314419e-05,1.1916999937966466e-05
74,5.125009920448065e-06,7.041002390906215e-06,2.8499984182417393e-05,1.0624993592500687e-05
75,1.8041988369077444e-05,9.042007150128484e-06,3.562498022802174e-05,1.4249992091208696e-05
76,5.875015631318092e-06,8.500006515532732e-06,3.195801400579512e-05,1.1916999937966466e-05
77,5.458015948534012e-06,4.458008334040642e-06,3.520800964906812e-05,1.0374991688877344e-05
78,6.041984306648374e-06,8.874980267137289e-06,3.683299291878939e-05,1.2459000572562218e-05
79,5.832989700138569e-06,8.957984391599894e-06,4.137499490752816e-05,1.1333992006257176e-05
80,6.04201341047883e-06,1.0624993592500687e-05,3.0750001315027475e-05,1.0832998668774962e-05
81,5.95799065195024e-06,8.417002391070127e-06,3.1333009246736765e-05,1.287501072511077e-05
82,6.04201341047883e-06,6.665999535471201e-06,3.087500226683915e-05,1.1999974958598614e-05
83,6.083020707592368e-06,6.165995728224516e-06,3.120899782516062e-05,1.1708005331456661e-05
84,5.832989700138569e-06,5.250010872259736e-06,3.2957992516458035e-05,1.0208983439952135e-05
85,6.416987162083387e-06,8.207978680729866e-06,3.283299156464636e-05,1.0916992323473096e-05
86,6.374990334734321e-06,7.499998901039362e-06,3.5541976103559136e-05,1.0542018571868539e-05
87,6.791990017518401e-06,9.37501317821443e-06,3.487500362098217e-05,1.2833974324166775e-05
88,6.458023563027382e-06,1.1582975275814533e-05,3.8875004975125194e-05,1.3375014532357454e-05
