,BST,LLRBT,BF
0,6.207992555573583e-06,8.833012543618679e-06,5.3499999921768904e-05
1,4.083995008841157e-06,2.0292005501687527e-05,2.6541994884610176e-05
2,2.6249908842146397e-06,1.0832998668774962e-05,2.541701542213559e-05
3,3.4589902497828007e-06,8.750008419156075e-06,2.6249996153637767e-05
4,3.3339892979711294e-06,1.5708996215835214e-05,2.5083019863814116e-05
5,4.292000085115433e-06,1.5041005099192262e-05,2.520898124203086e-05
6,3.6249984987080097e-06,1.5749974409118295e-05,2.5959016056731343e-05
7,3.7080026231706142e-06,1.3375014532357454e-05,2.5165994884446263e-05
8,4.541012458503246e-06,1.329201040789485e-05,2.5166984414681792e-05
9,5.04200579598546e-06,1.650000922381878e-05,2.4749984731897712e-05
10,4.250003257766366e-06,1.750001683831215e-05,2.4959008442237973e-05
11,5.415990017354488e-06,1.6167003195732832e-05,2.4500011932104826e-05
12,6.416987162083387e-06,1.550000160932541e-05,2.4957989808171988e-05
13,5.416019121184945e-06,1.979200169444084e-05,2.5415996788069606e-05
14,5.292007699608803e-06,1.8874998204410076e-05,2.6166992029175162e-05
15,6.249989382922649e-06,2.5042012566700578e-05,2.641702303662896e-05
16,5.916983354836702e-06,1.9625003915280104e-05,2.445801510475576e-05
17,4.917004844173789e-06,2.6334018912166357e-05,2.4334003683179617e-05
18,4.250003257766366e-06,2.5874993298202753e-05,2.4415989173576236e-05
19,7.167021976783872e-06,1.3500015484169126e-05,2.4083972675725818e-05
20,5.250010872259736e-06,2.833301550708711e-05,2.5332992663607e-05
21,6.499991286545992e-06,3.541700425557792e-05,2.4542008759453893e-05
22,6.082991603761911e-06,2.704199869185686e-05,2.416700590401888e-05
23,5.209003575146198e-06,2.1790998289361596e-05,2.5040993932634592e-05
24,5.916983354836702e-06,3.112500417046249e-05,2.4291977752000093e-05
25,6.04201341047883e-06,2.5832996470853686e-05,2.491698251105845e-05
26,6.999995093792677e-06,2.983398735523224e-05,2.562499139457941e-05
27,4.083005478605628e-06,2.7875008527189493e-05,2.5582994567230344e-05
28,5.874986527487636e-06,2.5667017325758934e-05,2.5125016691163182e-05
29,8.208007784560323e-06,3.1333009246736765e-05,2.4708017008379102e-05
30,8.000002708286047e-06,3.0291004804894328e-05,2.4917011614888906e-05
31,6.707996362820268e-06,2.358300844207406e-05,2.5541987270116806e-05
32,8.54101381264627e-06,3.654201282188296e-05,2.3958011297509074e-05
33,6.4159976318478584e-06,3.0291004804894328e-05,2.4250010028481483e-05
34,6.958027370274067e-06,4.1457999031990767e-05,2.5749992346391082e-05
35,6.834015948697925e-06,3.079199814237654e-05,2.4416978703811765e-05
36,5.04200579598546e-06,3.2333016861230135e-05,2.508299075998366e-05
37,6.959016900509596e-06,3.2167008612304926e-05,2.4208013201132417e-05
38,6.040994776412845e-06,3.600001218728721e-05,2.4833017960190773e-05
39,4.458997864276171e-06,3.0041002901270986e-05,2.4541019229218364e-05
40,5.250010872259736e-06,2.070798655040562e-05,2.4834007490426302e-05
41,7.2499969974160194e-06,2.6666995836421847e-05,2.4457986000925303e-05
42,5.082983989268541e-06,2.4667009711265564e-05,2.4457986000925303e-05
43,5.95799065195024e-06,3.2666983315721154e-05,2.508299075998366e-05
44,4.750007065013051e-06,3.212501178495586e-05,2.566599869169295e-05
45,7.5830030255019665e-06,1.937500201165676e-05,2.6458001229912043e-05
46,6.833986844867468e-06,3.0000024707987905e-05,2.4999986635521054e-05
47,7.333001121878624e-06,2.187499194405973e-05,2.3374974261969328e-05
48,9.833980584517121e-06,3.533400013111532e-05,2.449998282827437e-05
49,7.541995728388429e-06,3.2666983315721154e-05,2.404197584837675e-05
50,7.833994459360838e-06,2.6708003133535385e-05,2.5749992346391082e-05
51,8.957984391599894e-06,3.329198807477951e-05,2.5125016691163182e-05
52,5.791982403025031e-06,3.4249998861923814e-05,2.4707987904548645e-05
53,7.4160052463412285e-06,3.020901931449771e-05,2.4833978386595845e-05
