,BST,LLRBT,BF
0,1.9889998830718184e-07,2.9665209169268884e-07,1.942614983092276e-06
185,7.394440643010883e-07,1.0100812458971499e-06,1.9591041026773666e-06
370,8.679151432503254e-07,1.1387757675021612e-06,1.921282970098727e-06
555,8.969064566964676e-07,1.22967893321819e-06,1.903272692088482e-06
740,9.618527757926682e-07,1.3162531471307124e-06,1.9203724420774693e-06
925,9.769407034757624e-07,1.3569878668464516e-06,1.9093589438552705e-06
1110,9.89229819916804e-07,1.3320632716811714e-06,1.9548228384345905e-06
1295,1.0117869706687714e-06,1.4815833889494795e-06,1.8964284590932481e-06
1480,1.0986543322460505e-06,1.4887093310030776e-06,1.9296764881016873e-06
1665,1.091627706346367e-06,1.4854659947968267e-06,1.921107695617397e-06
1850,1.0953671266880193e-06,1.5195739111615293e-06,1.9221266127114587e-06
2035,1.099944246052807e-06,1.5794610766984455e-06,1.9654559682832533e-06
2220,1.136122598235897e-06,1.6761702857057163e-06,1.9768219966646456e-06
2405,1.1569894145353945e-06,1.632882487199722e-06,2.001926095711939e-06
2590,1.1966260974594487e-06,1.596210165581572e-06,1.9539499050860697e-06
2775,1.1699105326701467e-06,1.6435326094132498e-06,1.9893118868146194e-06
2960,1.1654530166981554e-06,1.6454433266141819e-06,1.9395123545610165e-06
3145,1.1320123683934638e-06,1.6890418472264065e-06,1.9563384003800537e-06
3330,1.1155488655193274e-06,1.7225779507548437e-06,1.9520274876112787e-06
3515,1.2038672800013505e-06,1.718891237717156e-06,1.9634478413628057e-06
3700,1.2168044399538445e-06,1.740357422039186e-06,2.0060610077386604e-06
3885,1.2076294173512163e-06,1.802124919310007e-06,1.998677050882797e-06
4070,1.222957683932207e-06,1.7849061426646802e-06,2.0090518241594418e-06
4255,1.3385839715446218e-06,1.802877501644399e-06,1.9917084297182364e-06
4440,1.3677541694151016e-06,1.8142888145179513e-06,1.9841530646513637e-06
4625,1.2670317130727231e-06,1.8658400555952974e-06,1.9773720964413443e-06
4810,1.2613376420965298e-06,1.8249861223178855e-06,2.005020916940422e-06
4995,1.3814939969911351e-06,1.8839532116410929e-06,1.981022394979971e-06
5180,1.4065752188256438e-06,1.8458720617030466e-06,1.991298482240682e-06
5365,1.3015277143311474e-06,1.7845950360674787e-06,2.0517207577465736e-06
5550,1.3316880832554414e-06,1.832317537414508e-06,1.98541314836694e-06
5735,1.3948002896365633e-06,1.8522151854794917e-06,2.040885663334998e-06
5920,1.3443643500635383e-06,1.8247930330882241e-06,1.9657413353459962e-06
6105,1.2712848827738417e-06,1.8830797656379435e-06,1.955001690818014e-06
6290,1.2573476778257877e-06,1.8782012907941953e-06,2.0099631532035563e-06
6475,1.2883035105080644e-06,1.856943244251226e-06,2.0030923315896355e-06
6660,1.280472401333033e-06,1.909806576788152e-06,2.0534110494778243e-06
6845,1.280074987193108e-06,1.914786151396709e-06,2.0342597945106277e-06
7030,1.3279935735952826e-06,1.9661686276384724e-06,2.0103849130981695e-06
7215,1.332491049927514e-06,1.959910065174923e-06,2.0556038121667204e-06
7400,1.342827555672223e-06,1.9355514834404267e-06,2.043575476726876e-06
7585,1.3374680452424726e-06,1.928739435543571e-06,2.06873562067337e-06
7770,1.356966335352066e-06,1.9661452965127354e-06,2.023959986293056e-06
7955,1.3119923036306277e-06,1.978554336755716e-06,1.9933559895501633e-06
8140,1.2779356740893574e-06,1.9799007814155396e-06,2.030490159586824e-06
8325,1.2757488282892956e-06,2.005685888734911e-06,2.077471340980825e-06
8510,1.3195259022364103e-06,1.989500848106493e-06,2.086657593923903e-06
8695,1.3007252229326361e-06,1.9549614687903075e-06,2.0738983998895375e-06
8880,1.3367884360903173e-06,1.9424760376675685e-06,2.036537225315467e-06
9065,1.2779535582596691e-06,1.9738161637353787e-06,1.9799724516005966e-06
9250,1.3973637870641066e-06,1.8861922414101865e-06,2.0345308766657606e-06
9435,1.4354968005620422e-06,1.9985911705522635e-06,2.0834724974194796e-06
9620,1.3312761759419643e-06,2.0043508720011747e-06,2.0814453435361112e-06
9805,1.3089551186667533e-06,1.9966123664085196e-06,2.0601769050566154e-06
9990,1.3930266274463967e-06,1.9975294200959827e-06,2.0990739822165544e-06
10175,1.3629434931459366e-06,2.04634484236872e-06,2.0349383142716977e-06
10360,1.3879505242434663e-06,2.004214831619361e-06,2.1493026010538322e-06
10545,1.3778279289825384e-06,2.013762207026807e-06,2.051910423938561e-06
10730,1.3017570311545368e-06,1.9775765601955698e-06,2.071797498501837e-06
10915,1.3897891173463895e-06,2.0109755553117177e-06,2.0661088264196972e-06
11100,1.3174773770632273e-06,1.993347819117026e-06,2.117851522640077e-06
11285,1.4000585667976956e-06,2.0297562571054476e-06,2.0670126632300264e-06
11470,1.3824069494415725e-06,2.0206953588992765e-06,2.129235232265991e-06
11655,1.3645633322468728e-06,1.987892143223264e-06,2.0865739724778254e-06
11840,1.408690357059582e-06,2.0331672046743673e-06,2.07938837558202e-06
12025,1.3823100310160754e-06,2.033356465014774e-06,2.0966226707101552e-06
12210,1.4065677052312487e-06,2.0340642167699584e-06,2.111177757989034e-06
12395,1.3825161662379945e-06,2.0535238174755775e-06,2.0919249760448388e-06
12580,1.360609173697821e-06,2.017714913054412e-06,2.113409583892571e-06
12765,1.391388215295492e-06,2.042284884720767e-06,2.110522190202882e-06
12950,1.3180601265315616e-06,2.0838071647689704e-06,2.057981840762045e-06
13135,1.356751661226495e-06,2.0754442351588277e-06,2.1281564894448454e-06
13320,1.4322713805670176e-06,1.958288912396502e-06,2.0957187003960165e-06
13505,1.4005447502905896e-06,1.9458334982702766e-06,2.092728845202663e-06
13690,1.3921695810511981e-06,2.013268226911442e-06,2.1088154508023087e-06
13875,1.4471397372048108e-06,2.073698186896605e-06,2.1480489896029373e-06
14060,1.3962093742837736e-06,2.097057188228798e-06,2.1222940381240405e-06
14245,1.4014907903251572e-06,2.0784948773066933e-06,2.159228657346663e-06
14430,1.404290199664276e-06,2.006253183802265e-06,2.1674755401054927e-06
14615,1.429870923331708e-06,2.045604691909062e-06,2.1625249945652593e-06
14800,1.400999864776952e-06,2.0402231426704506e-06,2.1653779656327235e-06
14985,1.4364386005156222e-06,2.0682100642369973e-06,2.1971870051406393e-06
15170,1.3080185841034175e-06,2.062462346090021e-06,2.133318494338918e-06
15355,1.4002419102492682e-06,2.1008085384708615e-06,2.167094835302357e-06
15540,1.3610927939175738e-06,2.1229906503213656e-06,2.115534131474998e-06
15725,1.4313056834315488e-06,2.089554872235642e-06,2.159044203143396e-06
15910,1.4405720012792206e-06,2.09954125622988e-06,2.1343422496110338e-06
16095,1.4391907388258965e-06,2.1038816039185595e-06,2.1199100392383584e-06
16280,1.4319471371949675e-06,2.091033047774311e-06,2.1619201742471495e-06
16465,1.4490444734350805e-06,2.0956568827920963e-06,2.1777359112977573e-06
16650,1.3504902631420334e-06,2.1363672300523847e-06,2.1705126930284527e-06
16835,1.4620544410250876e-06,2.1222869357213787e-06,2.183133993648129e-06
17020,1.4265731282515126e-06,2.123189213207214e-06,2.1707349982317706e-06
17205,1.3291738700941888e-06,2.1394574320490616e-06,2.2066811232084254e-06
17390,1.3726876852094034e-06,2.1413530312786136e-06,2.1982477249475113e-06
17575,1.4310877197721135e-06,2.0934781059622765e-06,2.242287176601384e-06
17760,1.4084390494887025e-06,2.107737466282801e-06,2.158918196907899e-06
17945,1.4112453529645407e-06,2.1110607659307506e-06,2.176107143462046e-06
18130,1.474371913675253e-06,2.115732673000237e-06,2.1953057495603732e-06
18315,1.3635311608946105e-06,2.134731418555688e-06,2.1529616521022053e-06
18500,1.4894714775503775e-06,2.160985749044003e-06,2.148973017529405e-06
