,LS,BST,LLRBT,BF
0,1.2546182565237267e-07,2.5181633520683426e-07,3.131953096914387e-07,2.216849080393723e-06
841,1.5599469474298932e-05,9.8017660885998e-07,1.2941101892774395e-06,2.201647874728324e-06
1682,2.963636364465272e-05,1.0726609910248754e-06,1.4624423603740854e-06,2.201850287864036e-06
2523,4.411866299652093e-05,1.1337772567132745e-06,1.5553676976113145e-06,2.2011054354002103e-06
3364,5.986619219792699e-05,1.2008717535661722e-06,1.7346511942061056e-06,2.219498637046904e-06
4205,7.69718050494269e-05,1.2573471171097881e-06,1.7509509386375136e-06,2.2556216038396123e-06
5046,9.911532922585948e-05,1.2272171363225976e-06,1.8691780540126657e-06,2.240309264263087e-06
5887,0.00011659137023518871,1.2824438147058865e-06,1.9131728459722064e-06,2.2159412892005588e-06
6728,0.00013155131130329753,1.3106199886026117e-06,1.973127759352258e-06,2.226399149908043e-06
7569,0.00014223385061812373,1.3335554143883835e-06,2.030024637143478e-06,2.212228233191193e-06
8410,0.00018676134505375382,1.3397975265125343e-06,2.0336573452201734e-06,2.235867734037237e-06
9251,0.00018585198690501735,1.3880275879824243e-06,1.989719703571375e-06,2.2519183042886403e-06
10092,0.00018393832834548565,1.4332881829607378e-06,2.0209766247249934e-06,2.238737852333985e-06
10933,0.00019838169521231358,1.4516650891324521e-06,2.053884120226556e-06,2.289335238063759e-06
11774,0.0002133765905815681,1.4180626395508784e-06,2.0405072200863937e-06,2.2458870347307295e-06
12615,0.0002304018281027461,1.4592161179955945e-06,2.0262178000481373e-06,2.2315897860290875e-06
13456,0.000242381078066142,1.4697124518308822e-06,2.071414548164627e-06,2.2561467651047085e-06
14297,0.0002570221717645619,1.5040147737728073e-06,2.1267558769493818e-06,2.322756223927397e-06
15138,0.0002676454429096038,1.5117574313339359e-06,2.1598635106817436e-06,2.328975127749316e-06
15979,0.00028079759711111305,1.5074159328424193e-06,2.1555344360547327e-06,2.2772552259693588e-06
16820,0.00029504932410835607,1.51914479253694e-06,2.213471831856381e-06,2.313789437896649e-06
17661,0.0003121936934094432,1.5164602498754586e-06,2.2029237679650137e-06,2.281949388123878e-06
18502,0.00032796920459010474,1.519767723981838e-06,2.125682989605318e-06,2.3204659553962428e-06
19343,0.000357554483760379,1.5168541742258048e-06,2.3769232451941374e-06,2.3223352677257166e-06
20184,0.00036223839778867507,1.5636122093424885e-06,2.190661376316545e-06,2.321432947518663e-06
21025,0.00037300382217994696,1.5038551352576379e-06,2.215327363922645e-06,2.3521911678622143e-06
21866,0.0003897222182676068,1.5612112928540744e-06,2.3969840429244785e-06,2.3533401203367416e-06
22707,0.0004077148962650585,1.5518004678129945e-06,2.2311295877176618e-06,2.4289522643645355e-06
23548,0.0004273408638749169,1.582648445437705e-06,2.2316331827773825e-06,2.344486761812565e-06
24389,0.0004535299230317816,1.560916671307262e-06,2.2622180377440784e-06,2.4527107331252424e-06
