,BST,LLRBT,BF,LS
0,2.39166489014598E-07,3.11388003905607E-07,1.21257715795379E-06,1.25461825652373E-07
1000,1.35248877066222E-06,1.45659889993793E-06,1.21051262724888E-06,1.55994694742989E-05
2000,1.20573512830486E-06,1.66263220562832E-06,1.19221985179895E-06,2.96363636446527E-05
3000,1.23084619232526E-06,1.78685760412758E-06,1.19491721995556E-06,4.41186629965209E-05
4000,1.35852818429579E-06,1.88041101116581E-06,1.20298250504244E-06,5.9866192197927E-05
5000,1.57335750894662E-06,1.94088778428438E-06,1.19674004752739E-06,7.69718050494269E-05
6000,2.08055302886356E-06,1.96842028955466E-06,1.208102033163E-06,9.91153292258595E-05
7000,1.39699121621862E-06,2.09041759878027E-06,1.20272717752378E-06,0.00011659137023518900
8000,1.41178472365478E-06,2.15203599910504E-06,1.20137720144703E-06,0.00013155131130329800
9000,1.46124071476433E-06,2.12024161396243E-06,1.22017267547303E-06,0.00014223385061812400
10000,1.50072529650354E-06,2.17852380491163E-06,1.25084657259982E-06,0.00018676134505375400
11000,1.52929529620565E-06,2.24965207135681E-06,1.23880452447734E-06,0.00018585198690501700
12000,1.52032991784624E-06,2.25153371591186E-06,1.22389399239705E-06,0.00018393832834548600
13000,1.56988158636073E-06,2.30387051237607E-06,1.2480761210368E-06,0.00019838169521231400
14000,1.50845366673413E-06,2.33680992915996E-06,1.23439333354592E-06,0.0002133765905815680
15000,1.57345526837319E-06,2.33433171921084E-06,1.21864402585145E-06,0.0002304018281027460
16000,1.56565088007226E-06,2.38757239574262E-06,1.20418587469462E-06,0.000242381078066142
17000,1.61466586444525E-06,2.3914394209542E-06,1.26096946961852E-06,0.0002570221717645620
18000,1.67054319619701E-06,2.38555694155394E-06,1.25978714816732E-06,0.0002676454429096040
19000,1.66871656291661E-06,2.43756646394947E-06,1.25268790987044E-06,0.00028079759711111300
20000,1.68668571409763E-06,2.43190428472485E-06,1.25469223370338E-06,0.00029504932410835600
21000,1.67551845601404E-06,2.45838060593042E-06,1.21441684565804E-06,0.0003121936934094430
22000,1.67844146665124E-06,2.48712767766157E-06,1.20560607210092E-06,0.00032796920459010500
23000,1.69045463841678E-06,2.47665928722362E-06,1.2075012858345E-06,0.000357554483760379
24000,1.71865676897344E-06,2.48771604940853E-06,1.2194972416888E-06,0.00036223839778867500
25000,1.73353934890379E-06,2.50700181218024E-06,1.2188067189985E-06,0.00037300382217994700
26000,1.7622478513504E-06,2.48944951618265E-06,1.22597984682703E-06,0.0003897222182676070
27000,1.73398974135091E-06,2.50127823095315E-06,1.20672289038109E-06,0.0004077148962650590
28000,1.74381787921176E-06,2.52163805516311E-06,1.22606018893885E-06,0.0004273408638749170
29000,1.74913265781783E-06,2.53194459589514E-06,1.21971170269601E-06,0.0004535299230317820
30000,1.77876131976802E-06,2.53873815937252E-06,1.21227374253414E-06,0.0005693610378839030
31000,1.79814696692675E-06,2.54459732708254E-06,1.21315324204155E-06,0.0005672655209691750
32000,1.76053281964331E-06,2.55417887138533E-06,1.21148693158305E-06,0.000562593523312014
33000,1.78535600340718E-06,2.53900770679731E-06,1.21725458081962E-06,0.0006234308337811980
34000,1.8195729226949E-06,2.57860026791361E-06,1.21777071924659E-06,0.0005795252794499180
35000,1.80317663840846E-06,2.55506931978084E-06,1.21723131666879E-06,0.000639082569492246
36000,1.80231255496005E-06,2.57185653340416E-06,1.2084831714264E-06,0.0006299382683323320
37000,1.7962729695712E-06,2.58069103474915E-06,1.21957812718118E-06,0.0006993409877946310
38000,1.82382960543638E-06,2.58218336681839E-06,1.22211605173936E-06,0.0007285677102248080
39000,1.84816183183577E-06,2.60576951638344E-06,1.22122659093672E-06,0.0007902761925211600
40000,1.82347932229391E-06,2.60804822745968E-06,1.22174904597091E-06,0.0008397566175078670
41000,1.81323262754328E-06,2.61919833301793E-06,1.21743913493819E-06,0.0009980475194613370
42000,1.82484976076345E-06,2.65521055507103E-06,1.25714901769214E-06,0.0009137486782562580
43000,1.84507809863668E-06,2.65305295447219E-06,1.23225557886109E-06,0.0010060359891626900
44000,1.86771800489809E-06,2.64849643250141E-06,1.22096241750981E-06,0.0010294425616456300
45000,1.83427156907488E-06,2.65550538988299E-06,1.22803830475585E-06,0.0010305373207933000
46000,1.81717561050638E-06,2.6578197519375E-06,1.23379266084917E-06,0.0010092864903929000
47000,1.82941899364751E-06,2.65816712137428E-06,1.22615281257576E-06,0.0010118598963717100
48000,1.86235677568916E-06,2.64887107626818E-06,1.22484527181095E-06,0.0011040273659548600
49000,1.85669374279989E-06,2.65432689356507E-06,1.2245740681745E-06,0.0010993817162303800
50000,1.88354645446211E-06,2.65152484976469E-06,1.22386076337274E-06,0.0010719180956120800
51000,1.87046071900528E-06,2.66314716120217E-06,1.25943330723684E-06,0.0011002820957272600
52000,1.9003784890578E-06,2.66216565030259E-06,1.26855694888829E-06,0.0011509839265122400
53000,1.90373616119845E-06,2.67969599024984E-06,1.23921055805559E-06,0.00137820348263197
54000,1.90489182991022E-06,2.67078564565685E-06,1.26024395996814E-06,0.001201690983213060
55000,1.90285950332086E-06,2.68674410067946E-06,1.23168571374586E-06,0.001338486574828380
56000,1.92329210474256E-06,2.68029411984381E-06,1.24865217649868E-06,0.001307408864459840
57000,1.9123414546072E-06,2.69817058451322E-06,1.27732118289786E-06,0.0013460809871588600
58000,1.92564296581704E-06,2.69158158515604E-06,1.25771295111599E-06,0.0013478161968822700
59000,1.91809467997824E-06,2.68194377617398E-06,1.23102593371767E-06,0.0013428680857119100
60000,1.88599154324516E-06,2.71058588651373E-06,1.22655726866353E-06,0.0014148030544224300
61000,1.90945440932177E-06,2.70958134762683E-06,1.23607628995392E-06,0.001385413027126040
62000,1.93626350076507E-06,2.7192603952568E-06,1.26436745722242E-06,0.001403997980924370
63000,1.94572482659335E-06,2.73625287484557E-06,1.28907586960789E-06,0.001437496567428550
64000,1.95766080049333E-06,2.70295138719056E-06,1.26488333903881E-06,0.001503451379061970
65000,1.95034141332903E-06,2.74152220628813E-06,1.26602190940992E-06,0.0014838644607503100
66000,1.93689374246284E-06,2.72496905115427E-06,1.25971485708438E-06,0.001523282338430950
