,BST,LLRBT,BF
0,2.3916648901459847e-07,3.113880039056068e-07,1.2125771579537857e-06
1000,1.3524887706622151e-06,1.4565988999379313e-06,1.2105126272488846e-06
2000,1.2057351283048598e-06,1.6626322056283212e-06,1.1922198517989527e-06
3000,1.2308461923252645e-06,1.786857604127581e-06,1.1949172199555634e-06
4000,1.3585281842957868e-06,1.8804110111658074e-06,1.2029825050424373e-06
5000,1.5733575089466174e-06,1.940887784284376e-06,1.1967400475273886e-06
6000,2.080553028863563e-06,1.968420289554663e-06,1.2081020331630013e-06
7000,1.396991216218621e-06,2.0904175987802664e-06,1.2027271775237787e-06
8000,1.4117847236547767e-06,2.152035999105043e-06,1.201377201447028e-06
9000,1.4612407147643257e-06,2.1202416139624307e-06,1.2201726754730311e-06
10000,1.5007252965035439e-06,2.1785238049116306e-06,1.250846572599823e-06
11000,1.5292952962056467e-06,2.2496520713568085e-06,1.2388045244773418e-06
12000,1.5203299178462402e-06,2.2515337159118606e-06,1.223893992397046e-06
13000,1.569881586360732e-06,2.303870512376069e-06,1.2480761210367973e-06
14000,1.5084536667341335e-06,2.3368099291599606e-06,1.2343933335459215e-06
15000,1.5734552683731894e-06,2.3343317192108356e-06,1.218644025851451e-06
16000,1.5656508800722583e-06,2.387572395742624e-06,1.2041858746946221e-06
17000,1.6146658644452463e-06,2.391439420954204e-06,1.260969469618519e-06
18000,1.6705431961970126e-06,2.385556941553937e-06,1.2597871481673159e-06
19000,1.6687165629166118e-06,2.4375664639494686e-06,1.2526879098704421e-06
20000,1.686685714097629e-06,2.4319042847248483e-06,1.2546922337033835e-06
21000,1.675518456014035e-06,2.4583806059304194e-06,1.2144168456580417e-06
22000,1.6784414666512385e-06,2.4871276776615736e-06,1.2056060721009152e-06
23000,1.6904546384167774e-06,2.476659287223623e-06,1.207501285834495e-06
24000,1.7186567689734361e-06,2.4877160494085333e-06,1.2194972416888025e-06
25000,1.7335393489037886e-06,2.50700181218024e-06,1.218806718998498e-06
26000,1.7622478513503969e-06,2.4894495161826515e-06,1.2259798468270283e-06
27000,1.7339897413509147e-06,2.5012782309531493e-06,1.2067228903810922e-06
28000,1.7438178792117566e-06,2.5216380551631125e-06,1.2260601889388526e-06
29000,1.7491326578178348e-06,2.5319445958951376e-06,1.2197117026960062e-06
30000,1.778761319768021e-06,2.5387381593725153e-06,1.2122737425341424e-06
31000,1.798146966926749e-06,2.5445973270825365e-06,1.213153242041546e-06
32000,1.7605328196433131e-06,2.5541788713853273e-06,1.2114869315830527e-06
33000,1.7853560034071798e-06,2.5390077067973066e-06,1.2172545808196248e-06
34000,1.819572922694897e-06,2.578600267913607e-06,1.217770719246585e-06
35000,1.8031766384084616e-06,2.5550693197808412e-06,1.2172313166687876e-06
36000,1.8023125549600535e-06,2.5718565334041593e-06,1.2084831714264042e-06
37000,1.7962729695711987e-06,2.5806910347491515e-06,1.2195781271811796e-06
38000,1.8238296054363843e-06,2.582183366818392e-06,1.2221160517393552e-06
39000,1.848161831835768e-06,2.605769516383444e-06,1.221226590936718e-06
40000,1.8234793222939121e-06,2.6080482274596843e-06,1.2217490459709137e-06
41000,1.8132326275432818e-06,2.6191983330179254e-06,1.2174391349381888e-06
