,LS,BST,LLRBT,BF
1,5.917012458667159e-06,6.166700040921569e-05,4.708298365585506e-05,8.312499267049134e-05
2,1.834006980061531e-06,3.04199056699872e-06,1.1666998034343123e-05,5.829200381413102e-05
3,1.3750104699283838e-06,2.916989615187049e-06,1.2083008186891675e-05,5.19170134793967e-05
4,1.4170072972774506e-06,3.7090212572366e-06,1.008401159197092e-05,5.587501800619066e-05
5,1.667009200900793e-06,3.875000402331352e-06,9.957992006093264e-06,4.691598587669432e-05
6,1.6250123735517263e-06,4.875008016824722e-06,1.2833013897761703e-05,4.879198968410492e-05
7,3.2500247471034527e-06,3.6660057958215475e-06,2.1709012798964977e-05,5.154201062396169e-05
8,1.9170111045241356e-06,4.917004844173789e-06,1.4416000340133905e-05,5.179198342375457e-05
9,2.041022526100278e-06,5.792011506855488e-06,1.791701652109623e-05,5.050000618211925e-05
10,1.9590079318732023e-06,4.542001988738775e-06,1.983300899155438e-05,5.6374992709606886e-05
11,1.9999861251562834e-06,4.791014362126589e-06,1.737498678267002e-05,4.700000863522291e-05
12,2.2500171326100826e-06,5.833018803969026e-06,2.174999099224806e-05,4.612500197254121e-05
13,2.00001522898674e-06,5.374982720240951e-06,2.6875000912696123e-05,3.879200085066259e-05
14,2.00001522898674e-06,5.624984623864293e-06,2.2624997654929757e-05,4.404198261909187e-05
15,2.1250161807984114e-06,6.792019121348858e-06,9.500014130026102e-06,4.266700125299394e-05
16,2.040993422269821e-06,7.5410061981529e-06,0.00015304202679544687,3.575001028366387e-05
17,2.2920139599591494e-06,6.707996362820268e-06,3.141598426736891e-05,3.6250014090910554e-05
18,2.249988028779626e-06,5.665991920977831e-06,2.170799416489899e-05,4.4832995627075434e-05
19,2.2920139599591494e-06,8.040980901569128e-06,2.6458001229912043e-05,3.691599704325199e-05
20,2.2919848561286926e-06,7.0420210249722e-06,1.895899185910821e-05,3.904200275428593e-05
21,2.2909953258931637e-06,4.583009285852313e-06,1.8624996300786734e-05,4.054198507219553e-05
22,2.4579931050539017e-06,8.792005246505141e-06,2.0958977984264493e-05,4.612500197254121e-05
23,2.374988980591297e-06,7.708003977313638e-06,2.5708024622872472e-05,4.108299617655575e-05
24,2.541986759752035e-06,5.790992872789502e-06,2.6374997105449438e-05,3.5999983083456755e-05
25,2.667016815394163e-06,6.707996362820268e-06,1.841600169427693e-05,3.80830024369061e-05
26,2.707995008677244e-06,9.666982805356383e-06,2.5667017325758934e-05,3.412499791011214e-05
27,2.749991836026311e-06,7.875001756474376e-06,2.8000009479001164e-05,3.7291989428922534e-05
28,2.6249908842146397e-06,6.374990334734321e-06,2.649999805726111e-05,3.7416990380734205e-05
29,2.7920177672058344e-06,6.624992238357663e-06,2.316600875928998e-05,3.954197745770216e-05
30,3.1660019885748625e-06,6.832997314631939e-06,2.645899076014757e-05,3.7707999581471086e-05
31,3.5410048440098763e-06,8.834002073854208e-06,1.8291000742465258e-05,3.691698657348752e-05
32,3.2910029403865337e-06,4.332978278398514e-06,3.083300543949008e-05,3.2625015592202544e-05
33,3.2919924706220627e-06,5.165988113731146e-06,3.774999640882015e-05,3.6667013773694634e-05
34,3.4999975468963385e-06,9.916024282574654e-06,2.7083995519205928e-05,3.5208999179303646e-05
35,3.2919924706220627e-06,7.4169947765767574e-06,3.2249983632937074e-05,3.641701187007129e-05
36,3.3339892979711294e-06,7.708003977313638e-06,3.1499977922067046e-05,3.1041010515764356e-05
37,3.4580007195472717e-06,8.749979315325618e-06,3.1041010515764356e-05,3.4958997275680304e-05
38,3.749999450519681e-06,1.0832998668774962e-05,2.9750022804364562e-05,3.258298966102302e-05
39,3.6669953260570765e-06,9.082985343411565e-06,2.6749999960884452e-05,3.270799061283469e-05
40,3.916997229680419e-06,6.54099858365953e-06,2.7915986720472574e-05,3.008398925885558e-05
41,3.958004526793957e-06,7.916998583823442e-06,3.0625000363215804e-05,3.2791984267532825e-05
42,3.7080026231706142e-06,1.0042014764621854e-05,1.591700129210949e-05,4.033400909975171e-05
43,7.291004294529557e-06,6.416987162083387e-06,3.745799767784774e-05,3.0750001315027475e-05
44,3.875000402331352e-06,6.958987796679139e-06,2.549999044276774e-05,3.5874982131645083e-05
45,3.8330035749822855e-06,1.1916999937966466e-05,2.0167004549875855e-05,3.5208999179303646e-05
46,3.91600769944489e-06,8.332979632541537e-06,3.558400203473866e-05,3.545801155269146e-05
47,3.7920253816992044e-06,9.541981853544712e-06,3.529200330376625e-05,3.416600520722568e-05
48,3.708992153406143e-06,7.833004929125309e-06,2.662499900907278e-05,3.1042000045999885e-05
49,4.0000013541430235e-06,1.1083000572398305e-05,2.9749993700534105e-05,3.529200330376625e-05
50,4.1669991333037615e-06,8.37500556372106e-06,2.841599052771926e-05,3.600001218728721e-05
51,4.250003257766366e-06,8.957984391599894e-06,2.804200630635023e-05,3.154200385324657e-05
52,4.250003257766366e-06,9.29197994992137e-06,2.8375012334436178e-05,3.1374976970255375e-05
53,4.583009285852313e-06,1.0417017620056868e-05,1.7332989955320954e-05,3.125000512227416e-05
54,4.3330073822289705e-06,9.000010322779417e-06,2.90420139208436e-05,3.5874982131645083e-05
55,4.458997864276171e-06,9.334005881100893e-06,2.862501423805952e-05,3.070800448767841e-05
56,4.8340007197111845e-06,9.166018571704626e-06,3.374999505467713e-05,3.22920095641166e-05
57,4.6660134103149176e-06,1.1916999937966466e-05,3.4249998861923814e-05,3.0458992114290595e-05
58,5.5000127758830786e-06,9.249983122572303e-06,4.020900814794004e-05,3.083399496972561e-05
59,4.708999767899513e-06,8.66700429469347e-06,1.9875005818903446e-05,3.0166993383318186e-05
60,5.124980816617608e-06,8.875009370967746e-06,3.1665986170992255e-05,3.1042000045999885e-05
