,LS,BST,LLRBT,BF
185,3.1112754555128583e-06,7.430098495881902e-07,1.037460869314884e-06,2.32183498356047e-06
370,5.901588966488975e-06,8.068172103050379e-07,1.1249838734404483e-06,2.3528365706683162e-06
555,8.3526952882135e-06,8.429565099537919e-07,1.2618051403962555e-06,2.3341891590779255e-06
740,1.0544413448644615e-05,9.317289335106354e-07,1.2663705007455082e-06,2.3849011204470323e-06
925,1.2685668018193694e-05,9.570346072897178e-07,1.2997274635222937e-06,2.3884332147127853e-06
1110,1.4896056227121127e-05,9.894726206249464e-07,1.3212683245351692e-06,2.407815586134723e-06
1295,1.6838915052251257e-05,9.271627667983738e-07,1.2828776380047201e-06,2.4306627765827633e-06
1480,1.8433732148302598e-05,1.0325607721941597e-06,1.384036331394807e-06,2.452239144268796e-06
1665,2.030432652019887e-05,9.315375371092776e-07,1.3528658993490928e-06,2.4282038660395308e-06
1850,2.219472358157055e-05,1.0384838022035333e-06,1.4594145206768715e-06,2.427913046681211e-06
2035,2.3694097816328937e-05,9.559771876970151e-07,1.4720094890051752e-06,2.4721930027777038e-06
2220,2.504882354656696e-05,1.0731869533128285e-06,1.4720186794074166e-06,2.4686908507463307e-06
2405,2.6798763172487394e-05,9.770267279904096e-07,1.4239504245545614e-06,2.5190401730477946e-06
2590,2.826683312428073e-05,1.0427209941687386e-06,1.5599705244696468e-06,2.478671365913106e-06
2775,2.926072583174965e-05,9.834724948357004e-07,1.5737990573168212e-06,2.443188226807418e-06
2960,3.009438223671168e-05,1.0563469590157816e-06,1.5594807684148123e-06,2.423586695531913e-06
3145,3.11388161595176e-05,1.0717374330318165e-06,1.6313783905614134e-06,2.4370204629547417e-06
3330,3.259843357928405e-05,1.0316585694704582e-06,1.567051539821294e-06,2.4500301955780443e-06
3515,3.271091778531944e-05,9.767453767222548e-07,1.5986005886705643e-06,2.4623948431343114e-06
3700,3.693011554637326e-05,9.971238681277551e-07,1.636956147678675e-06,2.4113784930796936e-06
3885,3.619033011283144e-05,9.852274024107178e-07,1.5620003163882898e-06,2.4879044199516195e-06
4070,3.884845394043064e-05,1.0738387082301831e-06,1.6289862372630507e-06,2.4559572253615484e-06
4255,3.9034342348421793e-05,9.826046292917854e-07,1.6675151856787024e-06,2.419205757345013e-06
4440,4.006965246602654e-05,1.001068291579023e-06,1.6574559192848179e-06,2.4585399099565836e-06
4625,4.091894526436173e-05,1.0003051037020092e-06,1.671475763090912e-06,2.5524994317835214e-06
4810,4.107327861583219e-05,9.890493548073627e-07,1.6441390477975302e-06,2.4842110958052886e-06
4995,4.16172876123151e-05,1.1509567138166466e-06,1.649540889615176e-06,2.4345708549569506e-06
5180,4.2533700321288354e-05,1.0905977297967318e-06,1.6996808512426844e-06,2.5857170646446286e-06
5365,4.3724970833330045e-05,1.0061742035125237e-06,1.7428281610199343e-06,2.4313381990554545e-06
5550,4.521840307519797e-05,1.1659221918057274e-06,1.725236850004609e-06,2.504126996511098e-06
5735,4.5787181316473345e-05,1.0190527339320664e-06,1.7157334721126003e-06,2.4222036387873897e-06
5920,4.820986387080624e-05,1.122055787789644e-06,1.6215668538363154e-06,2.456025824958988e-06
6105,4.788822951564275e-05,1.1670627148497268e-06,1.59163856259419e-06,2.4921352945165624e-06
6290,4.892456183453526e-05,9.990285723171103e-07,1.7289110403849717e-06,2.5392895662695717e-06
6475,5.143349098443233e-05,1.0028601850494058e-06,1.6805031091196957e-06,2.57486239857459e-06
6660,5.010983884257666e-05,1.0212108069911188e-06,1.772253757018015e-06,2.515878001817528e-06
6845,4.960337816630789e-05,1.0003678825333577e-06,1.710059875280622e-06,2.474939309641582e-06
7030,5.0664803503431516e-05,1.0393440740507677e-06,1.7163566198336696e-06,2.4741200021032348e-06
7215,5.118951008659403e-05,1.1215755906075648e-06,1.8081667677097773e-06,2.5293100924325097e-06
7400,5.151147550984431e-05,1.1073873450962502e-06,1.7406632579059912e-06,2.476889405126145e-06
7585,5.422483967860665e-05,1.1243333360778355e-06,1.8035400223089467e-06,2.5403251446390506e-06
7770,5.42456348460817e-05,1.162212911284093e-06,1.7570889204603816e-06,2.450541365643912e-06
7955,5.4533026451373116e-05,1.1471988005273114e-06,1.7785306949458948e-06,2.4782181311603807e-06
8140,5.467020408271752e-05,1.1989564438341955e-06,1.7833650654711582e-06,2.4850854709949513e-06
8325,5.534176641024239e-05,1.1124468617858964e-06,1.769282800623925e-06,2.556001258065599e-06
8510,5.651170362231382e-05,1.072867088865728e-06,1.7909177871626042e-06,2.4419836966970236e-06
8695,5.701609996121821e-05,1.1940919067881523e-06,1.7176756908724067e-06,2.5176051619607923e-06
8880,5.719049517043926e-05,1.197990367547908e-06,1.7413332921649339e-06,2.4903401649138386e-06
9065,5.789774661742732e-05,1.1782428525268621e-06,1.8510161397055885e-06,2.594051451140314e-06
9250,5.890714718080168e-05,1.0854663613568479e-06,1.8063922831361447e-06,2.5544824439673385e-06
9435,5.946103919728941e-05,1.1115842402716158e-06,1.8069212572700387e-06,2.5311723477506175e-06
9620,5.938322595726493e-05,1.1869791121897075e-06,1.8176357657007804e-06,2.559357431691584e-06
9805,6.022204452732561e-05,1.1825071297449257e-06,1.6951026478269642e-06,2.5192032880021616e-06
9990,6.10999671214713e-05,1.0532369824348513e-06,1.801648737922516e-06,2.532791786340125e-06
10175,6.16766772138963e-05,1.1590597702514962e-06,1.815887154165416e-06,2.607491333037615e-06
10360,6.188042629552885e-05,1.156177182698947e-06,1.814311365981441e-06,2.5523917048896123e-06
10545,6.308448880616097e-05,1.1701204059987302e-06,1.8053430873781032e-06,2.6554894930503647e-06
10730,6.352124441470609e-05,1.142844472319708e-06,1.7658574132829769e-06,2.704167587964565e-06
10915,6.352135782352213e-05,1.181598305232276e-06,1.787278697603818e-06,2.7957270957888404e-06
11100,6.482623815493778e-05,1.1557322091619494e-06,1.7653677159698184e-06,2.5585152522806042e-06
11285,6.466507837988026e-05,1.1426040159384593e-06,1.7653070197978972e-06,2.5690367248832086e-06
11470,6.536189429867808e-05,1.1835173904519835e-06,1.7572137358418983e-06,2.629762539990383e-06
11655,7.861411098044776e-05,1.1254594353702637e-06,1.8397506503730056e-06,2.4922755803195163e-06
11840,7.365606039540347e-05,1.2079636040869928e-06,1.7907788310575924e-06,2.63772306775828e-06
12025,6.835354602609444e-05,1.1986442425057566e-06,1.8043494131843294e-06,2.552673873201081e-06
12210,7.085334895170131e-05,1.2037720811049189e-06,1.8296348424457492e-06,2.498575737229933e-06
12395,7.080192421883379e-05,1.1277000511646133e-06,1.7808411172121215e-06,2.65782185800271e-06
12580,6.882127678799314e-05,1.1267499899953058e-06,1.718401812751769e-06,2.4592720395073704e-06
12765,7.051524517677485e-05,1.205565704784672e-06,1.89198103600925e-06,2.5987156363494627e-06
12950,7.084610675987062e-05,1.2050000705047075e-06,1.8957743331482378e-06,2.530489331581245e-06
13135,7.080210079097214e-05,1.1367573821489963e-06,1.8802350130649883e-06,2.476123354927457e-06
13320,0.00010841308877196745,1.1616704265646842e-06,1.8570184282565473e-06,2.5876824116043814e-06
13505,7.781360811049785e-05,1.1392814692519947e-06,1.8688550095048246e-06,2.5189620786594277e-06
13690,8.320311982603317e-05,1.1987379461595224e-06,1.9029514445419159e-06,2.5003829248967247e-06
13875,7.700351943206384e-05,1.1281028641985918e-06,1.9087243201467423e-06,2.550643584648267e-06
14060,7.70396187766925e-05,1.1881803901473042e-06,1.8136944715788058e-06,2.533661376753258e-06
14245,7.717848606429003e-05,1.1503603950211214e-06,1.8884788786377246e-06,2.5243656773872057e-06
14430,7.591248229316889e-05,1.0355335121991437e-06,1.935367205462188e-06,2.479931422927921e-06
14615,7.625446590774376e-05,1.0543573944649974e-06,1.9055477091444468e-06,2.4668503298483994e-06
14800,7.627970221828362e-05,1.198617803411336e-06,1.8439839333466708e-06,2.4449869343122347e-06
14985,7.650065035537877e-05,1.1315674749587518e-06,1.7828827535887378e-06,2.4596809456552115e-06
15170,7.681336822607683e-05,1.215789276986904e-06,1.863858426510946e-06,2.4947451765076556e-06
15355,7.760640018546971e-05,1.203479237828848e-06,1.9015383708008796e-06,2.5412691767763245e-06
15540,7.834467904988266e-05,1.2030896416720037e-06,1.8915918830850528e-06,2.583032121471719e-06
15725,7.879990118837684e-05,1.2011324971863026e-06,1.881819313451853e-06,2.635281085498084e-06
15910,7.935557522973337e-05,1.0551701015750066e-06,1.8940644857789809e-06,2.4940695350887166e-06
16095,7.830840163787297e-05,1.22397044917073e-06,1.918173036239016e-06,2.518273855841488e-06
16280,7.935968770243979e-05,1.0531413136050106e-06,1.9007972964948608e-06,2.4728037239641906e-06
16465,7.924777493008985e-05,1.207149017243347e-06,1.918790411255365e-06,2.62159889418666e-06
16650,7.965399908786213e-05,1.1781837210195873e-06,1.8736332283278396e-06,2.6333094051176118e-06
16835,8.090439680301576e-05,1.1965498400834995e-06,1.8904696981243175e-06,2.4811386231145043e-06
17020,8.098052646388052e-05,1.1888001949329852e-06,1.8318882692656523e-06,2.5566670682640113e-06
17205,8.203223684627495e-05,1.1478684502952826e-06,1.8699078739475492e-06,2.6200085540874564e-06
17390,8.221505932326199e-05,1.2072563329455228e-06,1.863790659977277e-06,2.5103793163365182e-06
17575,8.269212369426845e-05,1.1044796267866132e-06,1.9196721505151565e-06,2.5352752402236837e-06
17760,8.337989979778168e-05,1.0976829051270808e-06,1.946945424798295e-06,2.5705421565596116e-06
17945,8.358104764312984e-05,1.1297498633145193e-06,1.917904389193367e-06,2.587622495094707e-06
18130,8.437909049178483e-05,1.1951515745850057e-06,1.8104196551742903e-06,2.695012847260666e-06
18315,8.387584861906229e-05,1.194407840883103e-06,1.9048410841614145e-06,2.613380810869601e-06
18500,8.503850214097888e-05,1.1628205512026582e-06,1.961659573855887e-06,2.5497710144301075e-06
