,LS,BST,LLRBT,BF
1,1.795799471437931e-05,4.66250057797879e-05,6.02089858148247e-05,4.112499300390482e-05
2,1.4580145943909883e-06,3.083987394347787e-06,1.391599653288722e-05,2.2082997020334005e-05
3,1.2920063454657793e-06,3.2919924706220627e-06,1.62090000230819e-05,1.491699367761612e-05
4,1.2500095181167126e-06,3.3329997677356005e-06,2.045798464678228e-05,1.8082995666190982e-05
5,1.4590041246265173e-06,3.5410048440098763e-06,1.0749994544312358e-05,1.62090000230819e-05
6,1.4170072972774506e-06,4.792003892362118e-06,1.2584001524373889e-05,1.675001112744212e-05
7,1.4999823179095984e-06,3.1669915188103914e-06,2.520799171179533e-05,1.966601121239364e-05
8,1.500011421740055e-06,4.3339969124644995e-06,1.6417005099356174e-05,1.9916013116016984e-05
9,1.7499842215329409e-06,4.999979864805937e-06,1.7167010810226202e-05,1.5124998753890395e-05
10,1.7499842215329409e-06,4.292000085115433e-06,2.0666979253292084e-05,1.7624988686293364e-05
11,1.7499842215329409e-06,4.3330073822289705e-06,1.662501017563045e-05,1.7999991541728377e-05
12,2.082990249618888e-06,5.1670067477971315e-06,2.3250002413988113e-05,1.983300899155438e-05
13,1.8330174498260021e-06,5.084002623334527e-06,2.5249988539144397e-05,1.7250014934688807e-05
14,2.00001522898674e-06,5.084002623334527e-06,2.3083004634827375e-05,2.1915999241173267e-05
15,2.1249870769679546e-06,5.790992872789502e-06,8.915987564250827e-06,1.3125012628734112e-05
16,1.9999861251562834e-06,7.292022928595543e-06,2.3415981559082866e-05,1.737498678267002e-05
17,2.249988028779626e-06,5.750014679506421e-06,2.7708010748028755e-05,2.0083010895177722e-05
18,2.1250161807984114e-06,4.791974788531661e-06,2.3667002096772194e-05,1.8041988369077444e-05
19,2.249988028779626e-06,8.417002391070127e-06,2.666597720235586e-05,1.487502595409751e-05
20,2.374988980591297e-06,6.250018486753106e-06,1.945797703228891e-05,1.970797893591225e-05
21,2.374988980591297e-06,4.041008651256561e-06,1.8082995666190982e-05,1.9084021914750338e-05
22,2.3339816834777594e-06,8.917006198316813e-06,2.0709005184471607e-05,1.562500256113708e-05
23,2.3329921532422304e-06,6.750022293999791e-06,2.7875008527189493e-05,1.4417018974199891e-05
24,2.500019036233425e-06,5.125009920448065e-06,2.5957997422665358e-05,1.3291981304064393e-05
25,2.4999899324029684e-06,5.750014679506421e-06,2.0915991626679897e-05,1.9708997569978237e-05
26,2.6249908842146397e-06,9.125011274591088e-06,2.579198917374015e-05,1.7792015569284558e-05
27,2.7919886633753777e-06,6.874994141981006e-06,2.9874994652345777e-05,1.0541989468038082e-05
28,2.542015863582492e-06,5.542009603232145e-06,2.5040993932634592e-05,1.750001683831215e-05
29,2.834014594554901e-06,6.791990017518401e-06,2.3874978069216013e-05,1.1916999937966466e-05
30,3.04199056699872e-06,5.916983354836702e-06,2.5416986318305135e-05,2.016598591580987e-05
31,3.082997864112258e-06,7.540977094322443e-06,1.9583996618166566e-05,1.937500201165676e-05
32,3.0410010367631912e-06,4.125002305954695e-06,3.229198046028614e-05,1.066701952368021e-05
33,3.04199056699872e-06,4.417001036927104e-06,3.583298530429602e-05,1.824999344535172e-05
34,3.1249946914613247e-06,8.584000170230865e-06,3.1458999728783965e-05,1.7166981706395745e-05
35,3.1249946914613247e-06,7.374997949227691e-06,2.5457993615418673e-05,1.4749995898455381e-05
36,3.374996595084667e-06,6.667018169537187e-06,2.962502185255289e-05,1.750001683831215e-05
37,3.3329997677356005e-06,7.5830030255019665e-06,3.204098902642727e-05,1.6000005416572094e-05
38,3.3329997677356005e-06,1.0458985343575478e-05,3.100000321865082e-05,1.5291996533051133e-05
39,3.4590193536132574e-06,7.666007149964571e-06,2.9624992748722434e-05,1.3291981304064393e-05
40,3.4580007195472717e-06,5.541020072996616e-06,2.9040995286777616e-05,1.47090177051723e-05
41,3.541994374245405e-06,7.666007149964571e-06,3.5667006159201264e-05,1.1749973054975271e-05
42,3.6659766919910908e-06,8.417002391070127e-06,1.5790981706231833e-05,1.583402627147734e-05
43,3.5409757401794195e-06,5.332985892891884e-06,4.229097976349294e-05,1.2833013897761703e-05
44,3.6669953260570765e-06,6.917020073160529e-06,2.608299837447703e-05,1.912500010803342e-05
45,3.8339931052178144e-06,1.0209012543782592e-05,2.2082997020334005e-05,1.4458986697718501e-05
46,3.875000402331352e-06,7.167021976783872e-06,3.8416997995227575e-05,1.650000922381878e-05
47,3.790977643802762e-06,9.25001222640276e-06,3.579101758077741e-05,1.783299376256764e-05
