,LS,BST,LLRBT,BF
185,2.9900020208431903e-06,7.835626249722794e-07,1.0922175955984297e-06,8.24087711666292e-07
370,5.821252093274454e-06,8.983407628833564e-07,1.2022830757372287e-06,8.278068821501294e-07
555,8.41308753070242e-06,9.625618786064037e-07,1.2973708435978501e-06,8.330574694918384e-07
740,1.1045363691097143e-05,9.94242241802634e-07,1.3775552394415397e-06,8.387920348435093e-07
925,1.2870854698121548e-05,9.822217296860224e-07,1.3983032907521643e-06,8.476619157991415e-07
1110,1.5433615969639237e-05,9.728893114322232e-07,1.4667412204189447e-06,8.501482800657459e-07
1295,1.6869899860600335e-05,1.0446556672932358e-06,1.4047101172063193e-06,8.507284716010914e-07
1480,2.267897556271028e-05,1.0348479914983069e-06,1.4506874781170295e-06,8.684916394002257e-07
1665,2.6690687871016905e-05,1.104537273731527e-06,1.5386676900686883e-06,8.473903209893802e-07
1850,2.1619493838126233e-05,1.099554751358858e-06,1.4557708599476503e-06,8.507464999555174e-07
2035,2.317286000924544e-05,1.0312627840770083e-06,1.54045865969271e-06,8.508732324517375e-07
2220,2.5294157996807896e-05,1.0734788674023856e-06,1.4550626489393617e-06,8.505736392230616e-07
2405,2.662251368079574e-05,1.0924868994828212e-06,1.4799789294873903e-06,8.555898846579938e-07
2590,3.075060217829267e-05,1.0737787703598995e-06,1.6425152089224632e-06,8.550181999853855e-07
2775,3.5107284981902654e-05,1.0459361503908941e-06,1.5784500683700547e-06,8.560163225260897e-07
2960,3.402422231391346e-05,1.0982626107085598e-06,1.6624150517900738e-06,8.767916780358198e-07
3145,4.2443471323109203e-05,1.1680938448722756e-06,1.6499086712495586e-06,8.697625155637571e-07
3330,3.501051209157828e-05,1.1422259224698357e-06,1.6239453897461158e-06,9.01505759054231e-07
3515,3.5949488957583424e-05,1.0998853388319323e-06,1.6241215613730456e-06,8.617344241879812e-07
3700,3.790222364691419e-05,1.1064737785282894e-06,1.6238846081317565e-06,8.582576645811627e-07
3885,4.132706361690348e-05,1.1709941884314796e-06,1.6530506193227725e-06,8.632877623713618e-07
4070,3.693081014533314e-05,1.1139310770369042e-06,1.6982343000863944e-06,8.668810547833596e-07
4255,3.763701917855667e-05,1.1424616421359258e-06,1.7378898978301692e-06,8.651452275727867e-07
4440,3.86775946543646e-05,1.0281724378962172e-06,1.6662126584320304e-06,8.622307486302399e-07
4625,3.975853959948611e-05,1.054511319017123e-06,1.704876360252773e-06,8.600773695651271e-07
4810,4.06817379279421e-05,1.07896754543784e-06,1.6783933323987444e-06,8.62905065691389e-07
4995,4.1734473064217137e-05,1.1442213772086921e-06,1.6904835762250997e-06,8.603120906227226e-07
5180,4.2555129904205985e-05,1.1921941821779543e-06,1.7776784867287503e-06,9.162136334327793e-07
5365,4.37660557602387e-05,1.0878588510848104e-06,1.7229576622896374e-06,9.083779103660939e-07
5550,4.458869198110775e-05,1.1255906642747854e-06,1.7772312382868398e-06,8.638294407277616e-07
5735,4.538737119970108e-05,1.2066570076442092e-06,1.842364649621582e-06,8.627224057793207e-07
5920,4.6394710314733515e-05,1.190107741922892e-06,1.7504017039654998e-06,8.642252207810588e-07
6105,4.72970611155204e-05,1.1609840140584002e-06,1.7802124798144086e-06,8.643059371842431e-07
6290,5.16195322863262e-05,1.2229666126669821e-06,1.763625512617307e-06,8.662600538035462e-07
6475,4.941772848448861e-05,1.1316680994499986e-06,1.76078116055578e-06,8.664016319233754e-07
6660,5.1798782703347096e-05,1.100336565687364e-06,1.737761451145036e-06,9.229915203748766e-07
6845,5.32553428965578e-05,1.2117187244766349e-06,1.7056889872604963e-06,1.0219118568550693e-06
7030,5.9655437538605353e-05,1.1731370527365612e-06,1.8800068390342074e-06,9.564534438466398e-07
7215,5.674011727641209e-05,1.2189747579822983e-06,1.7805738853068527e-06,9.02105896058706e-07
7400,5.577952042435629e-05,1.1994977056587097e-06,1.7422109568884613e-06,4.588590111955146e-05
7585,5.694710788927938e-05,1.1224581842917368e-06,1.7769244198319973e-06,9.666897469721394e-07
7770,5.720999327364352e-05,1.2323634438387571e-06,1.829275813321113e-06,1.0313221986123591e-06
7955,5.772810497688591e-05,1.2276972934535338e-06,1.8993334699456298e-06,9.39480987069872e-07
8140,5.884707065346147e-05,1.1974783964591835e-06,1.8494030505572573e-06,1.0002807793079304e-06
8325,6.004572473786805e-05,1.1538743060680295e-06,1.8025392136715967e-06,9.837019077818328e-07
8510,6.112752968782917e-05,1.1470269757844166e-06,1.9387794827290496e-06,1.0089151595437198e-06
8695,6.187045382263156e-05,1.1456800131298124e-06,1.8095654924613756e-06,9.89018809135764e-07
8880,6.318851041398224e-05,1.2514078049758158e-06,1.8455738141927697e-06,9.85301101853678e-07
9065,6.24344816352369e-05,1.0945106089679062e-06,1.8668938599048405e-06,1.0077815840379634e-06
9250,6.352217133699515e-05,1.1527278554548911e-06,1.8277623073343153e-06,9.985998702244064e-07
9435,6.415453522654097e-05,1.2377671600498874e-06,1.8746336738348281e-06,9.976071252171463e-07
9620,6.50346697758832e-05,1.1696015087323724e-06,1.8445188083489417e-06,9.530821949704934e-07
9805,6.56556666865005e-05,1.231018692007237e-06,1.8574313395186712e-06,1.0063599393523615e-06
9990,6.545786676958306e-05,1.1231697435755658e-06,1.9393040138561655e-06,1.0238772945974124e-06
10175,6.653105616334552e-05,1.2374230940322126e-06,1.8038212240528349e-06,9.837179549397268e-07
10360,6.771213928805749e-05,1.0664671618884447e-06,1.8901516066078062e-06,1.018487585605968e-06
10545,6.738261343193574e-05,1.146155083765609e-06,1.8779887046682041e-06,9.80896106280318e-07
10730,6.846950873796649e-05,1.1406294144946364e-06,1.8734724844011282e-06,9.662236424521843e-07
10915,6.981260541061777e-05,1.163596603506749e-06,1.8904572876101923e-06,9.70903127197894e-07
11100,7.020714297600159e-05,1.1431654261578934e-06,1.8418511939704964e-06,9.738915565705628e-07
11285,7.026216935327943e-05,1.2409617139641708e-06,1.8927037295107858e-06,9.577210998982875e-07
11470,7.027603303500956e-05,1.1725392867597417e-06,1.9421792907401097e-06,9.993572213148716e-07
11655,7.159592528771951e-05,1.217736483449031e-06,1.936522910559396e-06,9.207723506324745e-07
11840,7.196236217561084e-05,1.2632963619271822e-06,1.8911441914104951e-06,9.053523455737928e-07
12025,7.323586321094099e-05,1.1547949483378902e-06,1.8827520992282197e-06,9.356179582211403e-07
12210,7.362974734993976e-05,1.2144355857403042e-06,1.908477263337155e-06,9.721935643395837e-07
12395,7.450804452373382e-05,1.1775671363457902e-06,1.8863232887495274e-06,9.6259372193503e-07
12580,7.490063324322873e-05,1.1612755489971387e-06,1.9449158358054425e-06,1.0617579805553643e-06
12765,8.047225755861525e-05,1.2199642561769131e-06,1.9069959905101071e-06,9.352390103281364e-07
12950,7.602949375222617e-05,1.2639047067458612e-06,1.832775193813402e-06,1.0017799256249852e-06
13135,7.53576917586626e-05,1.1737617971631912e-06,1.740553843523931e-06,9.577217780976394e-07
13320,7.862679430159714e-05,1.171749547645108e-06,1.7536607402197402e-06,1.0060263186727368e-06
13505,7.900548901797674e-05,1.1906266178286404e-06,1.7750607333530526e-06,9.30903329932635e-07
13690,7.630416222019207e-05,1.162851908577418e-06,1.7582849170072773e-06,9.445799674855869e-07
13875,7.983632912803782e-05,1.1591746956708097e-06,1.768455279931221e-06,9.449447586346384e-07
14060,7.521244099709726e-05,1.200497259360251e-06,1.7663707033893383e-06,9.489096775907305e-07
14245,8.027738678469878e-05,1.140105075613006e-06,1.765849563258982e-06,9.866341747719487e-07
14430,8.177921160470284e-05,1.2632023058233595e-06,1.7864854553492245e-06,2.0118423474850046e-06
14615,7.774440067555379e-05,1.1006969992720754e-06,2.002927117955384e-06,9.412042681264495e-06
14800,8.390088770175438e-05,1.2079345429777552e-06,1.9594433358571397e-06,9.168210223641827e-07
14985,8.004903101251213e-05,1.1726063857743636e-06,1.946069821373585e-06,8.931523509357774e-07
15170,8.831070895187147e-05,1.140719123714424e-06,1.8948398812443292e-06,9.665959845766971e-07
15355,8.903912968138968e-05,1.0824781188895123e-06,1.958012415326858e-06,9.267730531581772e-07
15540,8.839067527725267e-05,1.165068445624698e-06,2.040062980820348e-06,9.254034909787118e-07
15725,8.533442586258805e-05,1.1248695407780485e-06,1.971698670494242e-06,9.302137827569055e-07
15910,8.998746844328974e-05,1.0916748545517068e-06,1.8977432580100834e-06,9.620423725626747e-07
16095,7.886811157415083e-05,1.1617539999493902e-06,1.9260242137066816e-06,9.632041974745075e-07
16280,8.683652886180977e-05,1.2493944500461904e-06,1.927576094028463e-06,9.711312905483699e-07
16465,8.680988844364472e-05,1.1872760620429565e-06,2.0333959073802335e-06,9.57521431600897e-07
16650,8.691139154482222e-05,1.2477685658927631e-06,2.0076452760846105e-06,9.120669890912848e-07
16835,8.776767445309515e-05,1.2058148602741438e-06,2.0507341272137855e-06,8.90960757740252e-07
17020,8.74959937897041e-05,1.1673242060911903e-06,1.9924992849247172e-06,9.613831200713822e-07
17205,8.845716916182753e-05,1.1596455796271425e-06,1.9269588578560755e-06,9.872804453528118e-07
17390,8.9405228729881e-05,1.242231639580579e-06,1.9534913835824904e-06,9.207868918673981e-07
17575,9.036033589461255e-05,1.2617292781915824e-06,1.9108505925983874e-06,9.477300486108716e-07
17760,9.067070281662799e-05,1.1660253475292013e-06,1.9688673163636015e-06,9.01174835151557e-07
17945,9.089337925131885e-05,1.193310156541475e-06,1.9182513922948494e-06,9.918884361384932e-07
18130,9.16708600141296e-05,1.183068908434874e-06,1.8160938661237922e-06,9.74052973356474e-07
18315,9.250979945853933e-05,1.1915385556501259e-06,1.8044875202051134e-06,9.635236614101797e-07
18500,9.288437704025947e-05,1.2122151931030079e-06,1.9625114616638886e-06,9.173180784073171e-07
