,LS,BST,LLRBT,BF
0,6.208982085809112e-06,1.6292004147544503e-05,5.9375015553086996e-05,3.8624973967671394e-05
1,2.7920177672058344e-06,3.583001671358943e-06,1.333298860117793e-05,1.8624996300786734e-05
2,1.4590041246265173e-06,3.6669953260570765e-06,1.8916995031759143e-05,1.679197885096073e-05
3,1.5409896150231361e-06,5.1670067477971315e-06,9.540992323309183e-06,2.066601882688701e-05
4,1.7920101527124643e-06,4.5000051613897085e-06,2.1915999241173267e-05,1.6167003195732832e-05
5,1.500011421740055e-06,5.084002623334527e-06,1.5792000340297818e-05,1.2959004379808903e-05
6,1.5830155462026596e-06,5.084002623334527e-06,1.6416975995525718e-05,1.895800232887268e-05
7,1.708976924419403e-06,7.0829992182552814e-06,1.1041993275284767e-05,1.5792000340297818e-05
8,1.7500133253633976e-06,6.875023245811462e-06,1.9083003280684352e-05,1.6875012079253793e-05
9,1.7090060282498598e-06,2.541986759752035e-06,1.8499995348975062e-05,1.4167017070576549e-05
10,1.7499842215329409e-06,6.582995411008596e-06,1.645900192670524e-05,1.4999997802078724e-05
11,1.7909915186464787e-06,3.1250237952917814e-06,2.216699067503214e-05,1.6874982975423336e-05
12,1.9580184016376734e-06,4.95798303745687e-06,2.5125016691163182e-05,1.4874996850267053e-05
13,2.042012056335807e-06,4.0000013541430235e-06,2.029197639785707e-05,2.0167004549875855e-05
14,2.1249870769679546e-06,6.833986844867468e-06,2.070798655040562e-05,1.3541983207687736e-05
15,2.1669839043170214e-06,7.624999852851033e-06,2.3333996068686247e-05,1.4833000022917986e-05
16,2.209009835496545e-06,5.1670067477971315e-06,1.7875019693747163e-05,1.5875004464760423e-05
17,2.2500171326100826e-06,7.4169947765767574e-06,1.6624981071799994e-05,1.3917015166953206e-05
18,2.6659981813281775e-06,6.667018169537187e-06,2.3167027393355966e-05,1.3541983207687736e-05
19,8.500006515532732e-06,4.95798303745687e-06,2.3999979021027684e-05,1.6417005099356174e-05
20,2.6249908842146397e-06,5.417008651420474e-06,2.4165987269952893e-05,1.262497971765697e-05
21,2.4170149117708206e-06,7.499998901039362e-06,1.575000351294875e-05,1.1542026186361909e-05
