,LS,BST,LLRBT,BF
0,1.5327486918743598e-07,1.8795041704909243e-07,3.276445791808837e-07,9.270617364555461e-07
185,3.4678373977097625e-06,8.258870012477177e-07,1.0876984969892223e-06,8.551144241910736e-07
370,6.883790045805754e-06,9.141071195449304e-07,1.262468408682136e-06,8.595587286260833e-07
555,9.855664962125139e-06,1.03097908848196e-06,1.3543887666230082e-06,9.010923458177835e-07
740,1.3424115027984552e-05,1.0983312103059998e-06,1.424189310931011e-06,9.2132619385599e-07
925,1.674405973054332e-05,1.0722860909673735e-06,1.4406497645781401e-06,8.816529842896746e-07
1110,1.9714507395017106e-05,1.1218410816231588e-06,1.5623787356062083e-06,8.90956907490388e-07
1295,3.865704178562337e-05,1.1355946600915641e-06,1.4854291744461847e-06,9.401842157159923e-07
1480,2.6439235955818532e-05,1.16500032130082e-06,1.5605191236635276e-06,8.575151751347638e-07
1665,3.005261411206848e-05,1.2168328869455588e-06,1.612423466296371e-06,9.113447281420915e-07
1850,3.270074202350144e-05,1.2132805107810765e-06,1.5773089258683794e-06,9.066921150431447e-07
2035,3.583426892206312e-05,1.18616187129033e-06,1.7248566204750347e-06,8.512010804266421e-07
2220,4.171035217266496e-05,1.2307659425952156e-06,1.6617357470266043e-06,8.722157548651646e-07
2405,4.238592490656387e-05,1.2799010317294149e-06,1.6878432713859126e-06,8.852161689225687e-07
2590,5.9908133047128764e-05,1.2380633729621085e-06,1.7026524698156693e-06,9.548472061138087e-07
2775,4.8184517216697814e-05,1.2146509914667507e-06,1.7599708832151026e-06,9.039992898053259e-07
2960,5.130804854620317e-05,1.3131594206334665e-06,1.7033513569179067e-06,8.720131815248809e-07
3145,5.4119079584178916e-05,1.2763170578833157e-06,1.6857934538958543e-06,8.740521211245464e-07
3330,5.6766158951352424e-05,1.3881072043142187e-06,1.7564929968361323e-06,9.0635359744379e-07
3515,5.973324078720473e-05,1.293865519515965e-06,1.7441889653495009e-06,8.456182127835553e-07
3700,6.337396822412661e-05,1.3300687995303525e-06,1.7690663802685268e-06,8.622320996887914e-07
3885,6.547877233936836e-05,1.350879042255564e-06,1.7791422705567622e-06,8.638906068330921e-07
4070,6.830278827291871e-05,1.3302061268888893e-06,1.8113738763223e-06,9.366967811445714e-07
4255,7.403501593016533e-05,1.3085809074889082e-06,1.897866957299753e-06,8.758567134772829e-07
4440,7.410369996609457e-05,1.3868246705980475e-06,1.8723398380818854e-06,8.530741922745327e-07
4625,7.788986182844249e-05,1.4029576554210908e-06,1.931072174306583e-06,8.75076682759671e-07
4810,8.031383664090905e-05,1.4060717225587422e-06,1.9463442197633447e-06,9.06863170804097e-07
4995,8.26280957211766e-05,1.2800744371574132e-06,1.9264381395977574e-06,9.70545374369676e-07
5180,8.517773390465646e-05,1.3682495593306941e-06,1.8966757935907588e-06,9.548523380002434e-07
5365,8.788944994753073e-05,1.3815084474434684e-06,1.9803613108164125e-06,8.970575723284428e-07
5550,8.985119981802316e-05,1.386491813560213e-06,1.991118679310135e-06,9.360170865499782e-07
5735,9.376175087500672e-05,1.4378508732338017e-06,2.061317780550672e-06,8.869951712651127e-07
5920,9.59381349320703e-05,1.502830568282361e-06,1.964497421611818e-06,9.016285344975394e-07
6105,9.950303429857307e-05,1.435031416962658e-06,1.970666488461675e-06,8.99112964937583e-07
6290,0.00010101922001655496,1.394462754625246e-06,1.9778012738076097e-06,9.04754221806764e-07
6475,0.00010349894463140175,1.414737064998016e-06,2.054564084498844e-06,8.762888119068987e-07
6660,0.00010511318104204919,1.390181543783994e-06,1.971643287773936e-06,8.958859055157785e-07
6845,0.0001082155675095412,1.4153286043571633e-06,2.0618663477036384e-06,9.031091237850829e-07
7030,0.00011072919714166313,1.4465740762240843e-06,2.0353743750943776e-06,8.788200708345399e-07
7215,0.00011363379283457858,1.4974759654526453e-06,2.0837778419922663e-06,9.235116031550623e-07
7400,0.00011471113507259945,1.4195802681353113e-06,2.036637443955133e-06,8.927764949910001e-07
7585,0.00011733689585192249,1.4892299424583486e-06,2.029784987125238e-06,8.676433081337072e-07
7770,0.00012028863208705918,1.4308838968361737e-06,2.0857626377869774e-06,8.636184513073312e-07
