,LS,BST,LLRBT,BF
0,4.800001624971628e-05,6.708299042657018e-05,6.966598448343575e-05,0.00011158399865962565
1,3.6249984987080097e-06,6.458023563027382e-06,1.733400858938694e-05,8.654099656268954e-05
2,2.416985807940364e-06,6.458983989432454e-06,2.5208020815625787e-05,6.945800851099193e-05
3,2.4170149117708206e-06,8.25000461190939e-06,1.7457990907132626e-05,7.025001104921103e-05
4,2.834014594554901e-06,8.125003660097718e-06,4.57499991171062e-05,6.737498915754259e-05
5,2.6249908842146397e-06,9.625015081837773e-06,3.0166993383318186e-05,6.662498344667256e-05
6,2.6669877115637064e-06,9.500014130026102e-06,3.199998172931373e-05,6.737501826137304e-05
7,2.7909991331398487e-06,1.1333992006257176e-05,1.879202318377793e-05,7.116698543541133e-05
8,3.042019670829177e-06,1.2790987966582179e-05,3.8291007513180375e-05,6.795799708925188e-05
9,3.083987394347787e-06,4.3330073822289705e-06,3.566598752513528e-05,6.187500548548996e-05
10,3.1250237952917814e-06,1.1041003745049238e-05,3.087500226683915e-05,6.137500167824328e-05
11,3.2079988159239292e-06,5.750014679506421e-06,4.083302337676287e-05,5.8250006986781955e-05
12,3.374996595084667e-06,8.916016668081284e-06,5.116700776852667e-05,5.945900920778513e-05
13,3.4999975468963385e-06,7.208989700302482e-06,3.820800338871777e-05,6.200000643730164e-05
14,3.6249984987080097e-06,1.09999964479357e-05,4.079201607964933e-05,5.5540993344038725e-05
15,3.7919962778687477e-06,1.4332996215671301e-05,4.379200981929898e-05,5.970802158117294e-05
16,3.9590231608599424e-06,9.458977729082108e-06,3.487500362098217e-05,5.85830130148679e-05
17,4.082976374775171e-06,1.2584001524373889e-05,2.8958020266145468e-05,5.904198042117059e-05
18,4.125002305954695e-06,1.2582982890307903e-05,4.474999150261283e-05,6.108297384344041e-05
19,4.208006430417299e-06,8.99998121894896e-06,4.6958011807873845e-05,5.570799112319946e-05
20,4.375004209578037e-06,8.625007467344403e-06,4.720801371149719e-05,5.900001269765198e-05
21,4.417001036927104e-06,1.4167017070576549e-05,2.779200440272689e-05,5.716600571759045e-05
22,4.749977961182594e-06,1.5749974409118295e-05,5.0000002374872565e-05,5.616698763333261e-05
23,4.583998816087842e-06,1.2375006917864084e-05,3.47500026691705e-05,5.8707984862849116e-05
24,4.917004844173789e-06,1.0916992323473096e-05,4.1624996811151505e-05,6.0250022215768695e-05
25,4.792003892362118e-06,1.400001929141581e-05,4.862499190494418e-05,5.816700286231935e-05
26,4.959001671522856e-06,1.4167017070576549e-05,4.904202069155872e-05,5.6541000958532095e-05
27,5.124980816617608e-06,1.0207993909716606e-05,4.195800283923745e-05,5.78339968342334e-05
28,5.249981768429279e-06,7.124996045604348e-06,5.6541990488767624e-05,5.933400825597346e-05
29,5.250010872259736e-06,1.562500256113708e-05,5.299999611452222e-05,5.658299778588116e-05
30,5.292007699608803e-06,1.704200985841453e-05,6.09580019954592e-05,5.400000372901559e-05
31,5.62501372769475e-06,8.540984708815813e-06,6.687501445412636e-05,5.962501745671034e-05
32,5.66698145121336e-06,1.4499993994832039e-05,5.1458016969263554e-05,5.795902688987553e-05
33,5.624984623864293e-06,1.462499494664371e-05,5.3333002142608166e-05,5.7541998103260994e-05
34,5.6670105550438166e-06,1.612497726455331e-05,6.329198367893696e-05,5.541701102629304e-05
35,6.125017534941435e-06,1.120797242037952e-05,5.416598287411034e-05,5.537501419894397e-05
36,6.040994776412845e-06,1.1458003427833319e-05,4.474999150261283e-05,5.6374992709606886e-05
37,6.165995728224516e-06,1.2665987014770508e-05,5.804101238027215e-05,5.487501039169729e-05
38,6.250018486753106e-06,1.8999999156221747e-05,5.4500007536262274e-05,6.512500112876296e-05
39,6.582995411008596e-06,1.3040989870205522e-05,4.349998198449612e-05,5.533298826776445e-05
40,6.624992238357663e-06,1.4291988918557763e-05,7.574999472126365e-05,5.791700095869601e-05
41,6.582995411008596e-06,5.425000563263893e-05,6.554098217748106e-05,5.51670091226697e-05
42,6.832997314631939e-06,1.7874990589916706e-05,4.600000102072954e-05,5.604198668152094e-05
43,7.0829992182552814e-06,6.624992238357663e-06,4.345798515714705e-05,5.845900159329176e-05
44,7.0829992182552814e-06,1.3541022781282663e-05,6.874999962747097e-05,5.4208008805289865e-05
45,7.124996045604348e-06,1.4417018974199891e-05,5.950001650489867e-05,5.558400880545378e-05
46,7.208000170066953e-06,2.00409849639982e-05,5.85830130148679e-05,5.6541000958532095e-05
47,7.291993824765086e-06,1.9625003915280104e-05,4.1332998080179095e-05,5.51670091226697e-05
48,7.4169947765767574e-06,1.1041993275284767e-05,6.787499296478927e-05,5.508301546797156e-05
49,7.708003977313638e-06,1.7999991541728377e-05,5.629198858514428e-05,5.687499651685357e-05
50,7.6669966802001e-06,7.833004929125309e-06,6.325001595541835e-05,5.541602149605751e-05
51,7.95899541117251e-06,1.291697844862938e-05,6.954200216569006e-05,5.495900404639542e-05
52,7.9170276876539e-06,1.958297798410058e-05,5.683398921974003e-05,5.937498644925654e-05
53,8.125003660097718e-06,1.8749997252598405e-05,5.4333009757101536e-05,5.425000563263893e-05
54,8.333998266607523e-06,6.165995728224516e-06,7.991600432433188e-05,6.279200897552073e-05
55,8.167000487446785e-06,2.0749983377754688e-05,5.845801206305623e-05,5.383300594985485e-05
56,8.291011909022927e-06,1.8624996300786734e-05,5.670799873769283e-05,5.43750065844506e-05
57,8.66700429469347e-06,2.0790990674868226e-05,6.82090176269412e-05,5.508400499820709e-05
58,8.542003342881799e-06,1.6458012396469712e-05,6.699998630210757e-05,5.395800690166652e-05
59,8.792005246505141e-06,1.95419997908175e-05,6.225000834092498e-05,5.470900214277208e-05
60,9.167008101940155e-06,1.9458995666354895e-05,7.204199209809303e-05,5.329199484549463e-05
61,9.040988516062498e-06,2.116698306053877e-05,5.020899698138237e-05,5.4208008805289865e-05
62,9.37501317821443e-06,1.0749994544312358e-05,6.0874997870996594e-05,5.6042015785351396e-05
63,8.583010639995337e-06,1.6707985196262598e-05,7.308300700969994e-05,5.316600436344743e-05
64,9.583018254488707e-06,1.7875019693747163e-05,6.145899533294141e-05,5.545801832340658e-05
65,9.457988198846579e-06,7.583992555737495e-06,6.258400389924645e-05,5.533298826776445e-05
66,9.415991371497512e-06,1.2041011359542608e-05,5.8874982642009854e-05,5.345800309441984e-05
67,9.458977729082108e-06,1.7915997887030244e-05,5.7792000006884336e-05,5.7541008573025465e-05
68,1.0082992957904935e-05,1.6375008272007108e-05,7.162502151913941e-05,5.387500277720392e-05
69,1.0082992957904935e-05,1.3542012311518192e-05,5.541698192246258e-05,6.516699795611203e-05
70,1.0457995813339949e-05,8.37500556372106e-06,5.591599619947374e-05,5.4500007536262274e-05
71,1.029099803417921e-05,2.0499981474131346e-05,7.433400605805218e-05,5.500001134350896e-05
72,1.0374991688877344e-05,1.1374999303370714e-05,6.091699469834566e-05,5.345800309441984e-05
73,1.0041025234386325e-05,1.9583007087931037e-05,7.133401231840253e-05,5.641698953695595e-05
74,1.0624993592500687e-05,1.3750017387792468e-05,6.349998875521123e-05,5.4540985729545355e-05
75,1.0625022696331143e-05,1.8708989955484867e-05,4.8999994760379195e-05,5.470798350870609e-05
76,1.0916992323473096e-05,9.249983122572303e-06,5.629099905490875e-05,5.466700531542301e-05
77,1.09999964479357e-05,1.5249999705702066e-05,6.858300184831023e-05,5.3750001825392246e-05
78,1.166702713817358e-05,1.0834017302840948e-05,9.145899093709886e-05,5.6625023717060685e-05
79,1.1208991054445505e-05,9.792012860998511e-06,6.108300294727087e-05,5.616599810309708e-05
80,1.1249998351559043e-05,1.2625008821487427e-05,7.174999336712062e-05,5.3333002142608166e-05
81,1.1374999303370714e-05,1.8959020962938666e-05,8.237501606345177e-05,5.312499706633389e-05
82,1.087499549612403e-05,1.4416000340133905e-05,6.579200271517038e-05,5.299999611452222e-05
83,1.2042000889778137e-05,2.112501533702016e-05,8.525000885128975e-05,5.395800690166652e-05
84,1.2250005966052413e-05,2.4083012249320745e-05,5.620799493044615e-05,5.233302363194525e-05
85,1.2083997717127204e-05,1.4833000022917986e-05,7.37080117687583e-05,5.2791001508012414e-05
86,1.1833006283268332e-05,1.8999999156221747e-05,7.912502042017877e-05,5.250002141110599e-05
87,1.2250005966052413e-05,1.1416006600484252e-05,7.129201549105346e-05,5.549998604692519e-05
88,1.2708012945950031e-05,1.3209006283432245e-05,6.0708989622071385e-05,5.6083023082464933e-05
89,1.1541997082531452e-05,1.2250005966052413e-05,6.879199645482004e-05,5.5666983826085925e-05
90,1.3084005331620574e-05,2.154201501980424e-05,6.675001350231469e-05,5.316600436344743e-05
