,LS,BST,LLRBT,BF
0,1.7812701717548823e-07,1.7095556901340637e-07,3.155735065015631e-07,2.2711083554628587e-06
185,3.352362642261208e-06,7.966196099338933e-07,1.042046145762428e-06,2.219950614193745e-06
370,6.369035925989578e-06,8.734413865876785e-07,1.1829999457070725e-06,2.2361983108300066e-06
555,9.821176437080044e-06,9.209889578932059e-07,1.2487149450270067e-06,2.210278986790858e-06
740,1.3246289203413377e-05,9.493804387235587e-07,1.2719114001310609e-06,2.236777001782534e-06
925,2.300542347248507e-05,9.974119346375245e-07,1.324277099888396e-06,2.1983962452654307e-06
1110,2.0197697948779775e-05,1.0588461796992346e-06,1.3809641337218703e-06,2.2363074128131528e-06
1295,2.334601255165789e-05,1.0643276191581417e-06,1.4527143997037697e-06,2.2267666405041215e-06
1480,2.5895177231836688e-05,1.110561782656528e-06,1.455775001235819e-06,2.2151457426702143e-06
1665,3.329119970541396e-05,1.1076335501515333e-06,1.4332682855529797e-06,2.250874988038366e-06
1850,3.341810841598215e-05,1.0997758843987291e-06,1.472171594670743e-06,2.2442804552281464e-06
2035,5.4282600002965694e-05,1.1040106252339933e-06,1.5243391240434293e-06,2.278720854820017e-06
2220,3.9910011558468804e-05,1.1322133957596341e-06,1.5640600986026844e-06,2.255718749221585e-06
2405,4.3220860387493405e-05,1.108746526019494e-06,1.561677472136163e-06,2.2495620234638725e-06
2590,4.582433807001441e-05,1.124161794363017e-06,1.6335976163754153e-06,2.2520872079681844e-06
2775,4.905280561256863e-05,1.1933577132684716e-06,1.5775807449645405e-06,2.242779717545683e-06
2960,5.217203003441949e-05,1.159488175965743e-06,1.6037020923082776e-06,2.2295140047181704e-06
3145,5.4978437790083226e-05,1.171781121296039e-06,1.5960012881914069e-06,2.2572164296668127e-06
3330,5.969878192937617e-05,1.2484951603756106e-06,1.6542169887042784e-06,2.260211547580334e-06
3515,6.100330373097143e-05,1.1942607250252584e-06,1.6419721074154549e-06,2.2520042994324495e-06
3700,8.318241374298008e-05,1.182519217179832e-06,1.6566289005664374e-06,2.2470569740040997e-06
3885,7.631693133355947e-05,1.1841926954413227e-06,1.745084679788064e-06,2.280276075407111e-06
4070,7.215741543054427e-05,1.2006650309274913e-06,1.7578748920975133e-06,2.2933192854456673e-06
4255,7.863428504815017e-05,1.1895609904217336e-06,1.6956256970617953e-06,2.3471067767427945e-06
4440,7.653444850819458e-05,1.2549651955433804e-06,1.7092275110697117e-06,2.3798277994634907e-06
4625,8.178556484005781e-05,1.2637077165348883e-06,1.8365561605405507e-06,2.3750494791775806e-06
4810,8.104220561634048e-05,1.2444764046733258e-06,1.7499056278403267e-06,2.397274205444056e-06
4995,8.426916728665574e-05,1.2232914701565554e-06,1.7598857958971975e-06,2.3519793667386225e-06
5180,8.701402624297904e-05,1.2948923880969167e-06,1.833119233130315e-06,2.4392344874603282e-06
5365,8.80011236012076e-05,1.2700575208419575e-06,1.7814637763092482e-06,2.356504846829921e-06
5550,8.971417871455517e-05,1.3089602024918165e-06,1.7862201859499542e-06,2.3989711590153977e-06
5735,9.252939575913558e-05,1.2507188959482955e-06,1.8011148027870633e-06,2.43680815718675e-06
