,LS,BST,LLRBT,BF
0,5.374982720240951e-06,9.412498911842704e-05,9.075002162717283e-05,0.0001178339880425483
1,2.2919848561286926e-06,3.7919962778687477e-06,2.2499996703118086e-05,5.183301982469857e-05
2,1.4580145943909883e-06,3.541994374245405e-06,2.4625012883916497e-05,4.6375003876164556e-05
3,1.4999823179095984e-06,4.458997864276171e-06,1.6417005099356174e-05,4.412501584738493e-05
4,1.7080164980143309e-06,4.417001036927104e-06,4.4208019971847534e-05,4.4374988647177815e-05
5,1.4160177670419216e-06,5.1670067477971315e-06,1.7624988686293364e-05,4.1624996811151505e-05
6,1.541979145258665e-06,5.04200579598546e-06,2.441700780764222e-05,4.48749924544245e-05
7,1.9999861251562834e-06,5.916983354836702e-06,1.3458018656820059e-05,4.5958993723616004e-05
8,1.7079873941838741e-06,6.667018169537187e-06,1.8749997252598405e-05,4.429099499247968e-05
9,1.6249832697212696e-06,2.3329921532422304e-06,2.0124978618696332e-05,5.2332994528114796e-05
10,1.7079873941838741e-06,5.95799065195024e-06,1.679197885096073e-05,3.950000973418355e-05
11,2.0840088836848736e-06,3.1669915188103914e-06,2.2082997020334005e-05,3.662498784251511e-05
12,1.834006980061531e-06,4.8330111894756556e-06,2.487501478753984e-05,3.666698466986418e-05
13,1.8750142771750689e-06,3.8330035749822855e-06,2.025000867433846e-05,4.0834012906998396e-05
14,2.1249870769679546e-06,5.833018803969026e-06,2.0666979253292084e-05,3.087500226683915e-05
15,2.1250161807984114e-06,7.499998901039362e-06,2.3542001144960523e-05,5.841700476594269e-05
16,2.1250161807984114e-06,5.083013093098998e-06,1.824999344535172e-05,4.874999285675585e-05
17,2.249988028779626e-06,6.582995411008596e-06,1.6999983927235007e-05,3.479100996628404e-05
18,2.1659943740814924e-06,6.457994459196925e-06,2.3040978703647852e-05,3.91670037060976e-05
19,2.334010787308216e-06,4.875008016824722e-06,2.441700780764222e-05,3.3666001399978995e-05
20,2.415996277704835e-06,4.458997864276171e-06,2.4500011932104826e-05,3.925000783056021e-05
21,3.082997864112258e-06,7.499998901039362e-06,2.8582988306879997e-05,6.20420032646507e-05
22,2.4579931050539017e-06,8.291011909022927e-06,2.7750007575377822e-05,3.383398870937526e-05
23,2.415996277704835e-06,6.417016265913844e-06,2.1625019144266844e-05,3.570900298655033e-05
24,2.7920177672058344e-06,5.999987479299307e-06,2.8000009479001164e-05,3.416699473746121e-05
25,2.582994056865573e-06,7.292022928595543e-06,2.7292000595480204e-05,3.3958000130951405e-05
26,2.7909991331398487e-06,7.332972018048167e-06,2.9207993065938354e-05,3.487500362098217e-05
27,2.7919886633753777e-06,5.624984623864293e-06,3.083300543949008e-05,3.56250093318522e-05
28,3.00002284348011e-06,3.8330035749822855e-06,3.566697705537081e-05,7.479099440388381e-05
29,2.9170187190175056e-06,8.167000487446785e-06,3.212501178495586e-05,3.591697895899415e-05
30,2.9589864425361156e-06,8.791976142674685e-06,3.6416982766240835e-05,3.112500417046249e-05
31,3.1249946914613247e-06,4.542001988738775e-06,4.645800800062716e-05,3.579098847694695e-05
32,3.1249946914613247e-06,7.458002073690295e-06,2.7458008844405413e-05,3.345799632370472e-05
33,3.1249946914613247e-06,7.4169947765767574e-06,6.220798240974545e-05,3.316698712296784e-05
34,3.0410010367631912e-06,8.208007784560323e-06,3.462500171735883e-05,3.15000070258975e-05
35,4.417001036927104e-06,5.750014679506421e-06,2.8000009479001164e-05,3.0208000680431724e-05
36,3.3329997677356005e-06,6.082991603761911e-06,2.433298504911363e-05,3.241701051592827e-05
37,3.2910029403865337e-06,6.54099858365953e-06,3.0625000363215804e-05,3.012499655596912e-05
38,3.3329997677356005e-06,9.749986929818988e-06,3.087500226683915e-05,3.270799061283469e-05
39,3.541994374245405e-06,6.709014996886253e-06,2.2499996703118086e-05,3.129200194962323e-05
40,3.6669953260570765e-06,7.374997949227691e-06,3.899997682310641e-05,3.1167000997811556e-05
41,3.541994374245405e-06,8.95801349543035e-06,3.4290977055206895e-05,3.100000321865082e-05
42,3.6249984987080097e-06,8.208007784560323e-06,2.579198917374015e-05,2.9582995921373367e-05
43,3.958004526793957e-06,3.208988346159458e-06,2.2916006855666637e-05,3.258298966102302e-05
44,3.958994057029486e-06,6.457994459196925e-06,3.570900298655033e-05,2.9749993700534105e-05
45,3.749999450519681e-06,7.499998901039362e-06,3.179200575686991e-05,3.120797919109464e-05
46,3.8330035749822855e-06,2.245799987576902e-05,2.979201963171363e-05,3.0041992431506515e-05
47,4.0000013541430235e-06,9.542010957375169e-06,2.3125001462176442e-05,3.120797919109464e-05
48,3.9579754229635e-06,5.499983672052622e-06,3.5415985621511936e-05,3.1208008294925094e-05
49,4.083005478605628e-06,8.458999218419194e-06,2.9082992114126682e-05,2.995799877680838e-05
50,4.125002305954695e-06,4.209025064483285e-06,3.158301115036011e-05,3.037499845959246e-05
51,4.208006430417299e-06,6.166985258460045e-06,3.5375007428228855e-05,2.9999995604157448e-05
52,4.1669991333037615e-06,9.957992006093264e-06,2.9582995921373367e-05,3.200001083314419e-05
53,4.3330073822289705e-06,8.125003660097718e-06,2.7250003768131137e-05,3.045797348022461e-05
54,4.417001036927104e-06,3.3329997677356005e-06,4.045901005156338e-05,3.862500307150185e-05
55,4.375004209578037e-06,1.0125018889084458e-05,3.154200385324657e-05,2.9292015824466944e-05
56,4.458997864276171e-06,9.082985343411565e-06,2.9499991796910763e-05,3.100000321865082e-05
57,4.542001988738775e-06,9.292009053751826e-06,3.454199759289622e-05,3.0166993383318186e-05
58,4.583998816087842e-06,8.08399636298418e-06,3.399999695830047e-05,2.912498894147575e-05
59,4.62500611320138e-06,9.875016985461116e-06,3.3042015274986625e-05,2.9624992748722434e-05
60,4.8340007197111845e-06,9.832991054281592e-06,3.6250014090910554e-05,2.9207993065938354e-05
61,4.6660134103149176e-06,1.0500021744519472e-05,2.7166010113433003e-05,3.058300353586674e-05
62,4.91601531393826e-06,5.6670105550438166e-06,3.137500607408583e-05,3.037499845959246e-05
63,4.5000051613897085e-06,8.167000487446785e-06,3.6250014090910554e-05,2.9000017093494534e-05
64,5.165988113731146e-06,9.41698090173304e-06,3.2666983315721154e-05,3.070800448767841e-05
65,5.1670067477971315e-06,4.0000013541430235e-06,3.320901305414736e-05,2.9582995921373367e-05
66,4.959001671522856e-06,6.249989382922649e-06,3.2374984584748745e-05,2.9457994969561696e-05
67,5.250010872259736e-06,9.083014447242022e-06,2.933401265181601e-05,2.9749993700534105e-05
68,5.249981768429279e-06,8.167000487446785e-06,3.6415993236005306e-05,2.9791990527883172e-05
69,5.374982720240951e-06,6.95799826644361e-06,2.895799116231501e-05,2.8084003133699298e-05
70,5.375011824071407e-06,4.125002305954695e-06,2.9332994017750025e-05,3.012499655596912e-05
71,5.375011824071407e-06,9.082985343411565e-06,3.9749982533976436e-05,3.083300543949008e-05
72,5.415990017354488e-06,5.916983354836702e-06,3.137500607408583e-05,2.9916991479694843e-05
73,5.3340045269578695e-06,9.833020158112049e-06,3.641701187007129e-05,2.983299782499671e-05
74,5.792011506855488e-06,6.624992238357663e-06,3.220798680558801e-05,3.0041002901270986e-05
75,5.624984623864293e-06,9.042007150128484e-06,2.6792025892063975e-05,2.99170205835253e-05
76,5.750014679506421e-06,4.8749789129942656e-06,2.9165996238589287e-05,3.020901931449771e-05
77,6.041023880243301e-06,7.791997632011771e-06,3.312501939944923e-05,2.9582995921373367e-05
78,6.207992555573583e-06,5.5000127758830786e-06,4.629202885553241e-05,3.1750008929520845e-05
79,1.0957999620586634e-05,5.0000089686363935e-06,3.187500988133252e-05,2.9416987672448158e-05
80,6.624992238357663e-06,6.66698906570673e-06,3.620801726356149e-05,2.9499991796910763e-05
81,6.709014996886253e-06,9.542010957375169e-06,4.199999966658652e-05,2.9165996238589287e-05
82,5.875015631318092e-06,7.499998901039362e-06,3.4500000765547156e-05,2.895799116231501e-05
83,6.66698906570673e-06,1.0957999620586634e-05,4.320900188758969e-05,2.9916001949459314e-05
84,7.541995728388429e-06,1.1582975275814533e-05,3.1333009246736765e-05,2.8749986086040735e-05
85,6.9160014390945435e-06,7.291993824765086e-06,3.795899101532996e-05,2.862501423805952e-05
86,6.541988113895059e-06,8.25000461190939e-06,4.049998824484646e-05,2.924998989328742e-05
87,6.833986844867468e-06,5.958980182185769e-06,3.6375015042722225e-05,3.362499410286546e-05
88,7.916998583823442e-06,6.749993190169334e-06,3.187498077750206e-05,3.0583993066102266e-05
89,6.249989382922649e-06,5.95799065195024e-06,3.5707984352484345e-05,3.012499655596912e-05
90,6.999995093792677e-06,1.1124997399747372e-05,3.641701187007129e-05,2.9125018045306206e-05
91,7.5830030255019665e-06,9.917013812810183e-06,3.187500988133252e-05,2.9624992748722434e-05
92,7.374997949227691e-06,6.624992238357663e-06,4.270800855010748e-05,2.9749993700534105e-05
93,6.833986844867468e-06,4.792003892362118e-06,3.733299672603607e-05,3.0292023438960314e-05
94,1.533300383016467e-05,1.0666990419849753e-05,4.4665997847914696e-05,2.883299021050334e-05
95,7.708993507549167e-06,9.37501317821443e-06,3.850000211969018e-05,2.95409990940243e-05
96,7.750000804662704e-06,7.95899541117251e-06,3.287498839199543e-05,2.995799877680838e-05
97,8.125003660097718e-06,5.5000127758830786e-06,4.004102083854377e-05,2.924998989328742e-05
98,7.624999852851033e-06,1.1083000572398305e-05,3.183298395015299e-05,3.100000321865082e-05
99,7.291993824765086e-06,1.0917021427303553e-05,4.529199213720858e-05,3.1042000045999885e-05
100,8.750008419156075e-06,1.1750002158805728e-05,3.225001273676753e-05,3.0208000680431724e-05
101,7.374997949227691e-06,9.333976777270436e-06,4.079198697581887e-05,2.9666000045835972e-05
102,8.208007784560323e-06,8.95900302566588e-06,4.037501639686525e-05,2.979201963171363e-05
103,7.833004929125309e-06,7.3750270530581474e-06,3.9207981899380684e-05,2.9332994017750025e-05
104,8.584000170230865e-06,7.499998901039362e-06,2.912498894147575e-05,2.9916001949459314e-05
