,LS,BST,LLRBT,BF
0,1.4182843413169777e-07,1.8240018841733627e-07,3.1818011497924907e-07,2.464730689866007e-06
185,3.541068349101948e-06,9.341989248700509e-07,1.1766223138659646e-06,2.3985406065598952e-06
370,6.6095111526360885e-06,1.1746633590686075e-06,1.233179969157716e-06,2.4766822178942073e-06
555,1.0220835000327832e-05,1.2374851733035998e-06,1.3245380464343167e-06,2.333815182866785e-06
740,1.4043454616971382e-05,1.0754491433227828e-06,1.3907192330465678e-06,2.434657066376931e-06
925,1.6797363080955836e-05,1.3153449153749767e-06,1.4394502595511324e-06,2.3576743268501866e-06
1110,1.9821591019510813e-05,1.0407560904416333e-06,1.541559596187136e-06,2.368607535881392e-06
1295,3.0819218164660177e-05,1.0416287995037545e-06,1.4637216472776112e-06,2.340045127453744e-06
1480,2.677277176440138e-05,1.0690323788450536e-06,1.5086459782008732e-06,2.4604977326416366e-06
1665,2.9703539405274417e-05,1.273073951303617e-06,1.6207802387108223e-06,2.3130111400584837e-06
1850,3.2476878788006074e-05,1.3090743055276642e-06,1.5951005246387708e-06,2.41693413662596e-06
2035,3.599150101504707e-05,1.2651600590864317e-06,1.7389759833608335e-06,2.380773567150287e-06
2220,3.9131290107375916e-05,1.3115357206023614e-06,1.738760887363225e-06,2.3469113725570776e-06
2405,4.1677950493726506e-05,1.5048410875910738e-06,1.7720390775522919e-06,2.3759856933317738e-06
2590,4.5143446955539357e-05,1.6321269784618272e-06,1.652591157952375e-06,2.3682816584227143e-06
2775,4.647960239132747e-05,1.2693665398353146e-06,1.813000759084222e-06,2.477201761319003e-06
2960,4.945837182351687e-05,1.34104109847696e-06,1.6824241114541067e-06,2.380778138320722e-06
3145,5.406698181588681e-05,1.501284033453109e-06,1.7921325009435825e-06,2.432148663301465e-06
3330,5.934545686447122e-05,1.4121947679754107e-06,1.801277741516402e-06,2.3775000056815803e-06
3515,7.61665913720675e-05,1.3329984231450416e-06,1.7516197606818666e-06,2.405166795793408e-06
3700,7.804057510663678e-05,1.3806338372871005e-06,1.7749242390582868e-06,2.3791756386945555e-06
3885,6.70126534158945e-05,1.3428660581708637e-06,1.7894865355428752e-06,2.5078229800533125e-06
4070,6.996866158068762e-05,1.3856392956142304e-06,1.9221955487384983e-06,2.4430814237598707e-06
4255,7.291227890981721e-05,1.3524401663811108e-06,1.8269349041249636e-06,2.422097935811232e-06
4440,7.594905967755808e-05,1.3815849718270362e-06,1.8596011715932588e-06,2.379763076816677e-06
4625,7.892177638879746e-05,1.50246052242337e-06,1.929048993496583e-06,2.410285700317643e-06
4810,7.870691163580728e-05,1.9351708480592714e-06,2.1013890076941307e-06,2.5077913823716957e-06
4995,8.035045792669093e-05,1.5430593032201906e-06,1.9261374462976916e-06,2.4236704344613427e-06
5180,8.688548858568004e-05,1.512240418745632e-06,1.8954200033576937e-06,2.4634256100264985e-06
5365,9.191972991759213e-05,1.5100295048788054e-06,1.8758004971292861e-06,2.4937998413732018e-06
5550,9.031248005500081e-05,1.602674868607193e-06,1.994748012410528e-06,2.4512456730008126e-06
5735,8.901129206514345e-05,1.5332405626295356e-06,1.905098506206766e-06,2.4371904560253706e-06
5920,9.410751453246237e-05,1.6318064144547652e-06,1.9597021890633287e-06,2.4916111585607223e-06
6105,9.946792929565722e-05,1.407005538984518e-06,2.0026820103014146e-06,2.43335526005083e-06
6290,0.00010211170216330216,1.4818508184403865e-06,2.076597061913905e-06,2.5242846352347268e-06
6475,0.00010500071391916125,1.4638147581744632e-06,2.0109570303231203e-06,2.4418592818269353e-06
6660,0.00010639723229068203,1.4407768602047219e-06,1.982261828326304e-06,2.4607280907947397e-06
6845,0.000110024057538035,1.5467183596087157e-06,2.0207969446179517e-06,2.457967878174071e-06
7030,0.00011314724236641319,1.4747018816906514e-06,2.1179198338692887e-06,2.4194341663424983e-06
7215,0.00011565081580272884,1.5371494794076463e-06,2.114033254948573e-06,2.5615849427519996e-06
7400,0.00011789662935429279,1.5272003483163928e-06,2.0458326363132906e-06,2.4602976317919038e-06
7585,0.00011987550083735804,1.6394251244091385e-06,2.1525720933264277e-06,2.4690904276479687e-06
7770,0.00012219679844672492,1.5078964717942503e-06,2.1382462748095666e-06,2.4815242995995037e-06
7955,0.0001247893382128704,1.4880974510035247e-06,2.0405416667393043e-06,2.503402054805411e-06
8140,0.00012777982440396904,1.5455644381224016e-06,2.0064538133270833e-06,2.5595322736205722e-06
8325,0.00012948792819211414,1.5186003853626753e-06,2.0266756780633548e-06,2.5920902107577396e-06
