,BST,BSTRec
0,1.1083000572398305e-05,2.0458013750612736e-05
1,1.5541008906438947e-05,2.370899892412126e-05
2,2.1332991309463978e-05,3.129200194962323e-05
3,1.18750031106174e-05,2.0875013433396816e-05
4,1.733400858938694e-05,2.820900408551097e-05
5,2.7082976885139942e-05,3.933400148525834e-05
6,1.9041995983570814e-05,2.8874987037852407e-05
7,3.012499655596912e-05,4.5833003241568804e-05
8,2.7958012651652098e-05,4.320900188758969e-05
9,3.4249998861923814e-05,5.070798215456307e-05
10,2.445801510475576e-05,3.6291981814429164e-05
11,2.3708009393885732e-05,3.491598181426525e-05
12,4.137499490752816e-05,5.787500413134694e-05
13,3.575001028366387e-05,4.945899127051234e-05
14,2.983398735523224e-05,4.116600030101836e-05
15,3.1167000997811556e-05,4.149999585933983e-05
16,3.774999640882015e-05,5.0292001105844975e-05
17,3.620801726356149e-05,4.891600110568106e-05
18,4.31249791290611e-05,5.841598613187671e-05
19,2.333297743462026e-05,3.462497261352837e-05
20,3.758398815989494e-05,5.787500413134694e-05
21,2.258300082758069e-05,4.083302337676287e-05
22,2.6249996153637767e-05,4.9166003009304404e-05
23,6.879199645482004e-05,4.77090070489794e-05
24,2.6124995201826096e-05,4.3208012357354164e-05
25,3.8708007195964456e-05,6.325001595541835e-05
26,3.708299482241273e-05,6.445898907259107e-05
27,2.4125009076669812e-05,4.079201607964933e-05
28,3.9000005926936865e-05,6.52919989079237e-05
29,2.6041001547127962e-05,4.737498238682747e-05
30,2.1124986233189702e-05,3.929197555407882e-05
31,2.1083978936076164e-05,3.9166974602267146e-05
32,3.183400258421898e-05,5.645898636430502e-05
33,1.8709019059315324e-05,3.4459022572264075e-05
34,4.079198697581887e-05,7.18749943189323e-05
35,3.6582991015166044e-05,6.437499541789293e-05
36,4.158398951403797e-05,4.7792011173442006e-05
37,3.087500226683915e-05,5.58749889023602e-05
38,6.100002792663872e-05,7.18749943189323e-05
39,4.66250057797879e-05,6.258301436901093e-05
40,4.116600030101836e-05,5.7958997786045074e-05
41,3.545900108292699e-05,4.7084002289921045e-05
42,4.716601688414812e-05,7.091599400155246e-05
43,3.5083998227491975e-05,4.7416018787771463e-05
44,4.358301521278918e-05,7.095900946296751e-05
45,4.258399712853134e-05,7.300000288523734e-05
46,4.716700641438365e-05,7.829102105461061e-05
47,4.183300188742578e-05,6.266700802370906e-05
48,5.033300840295851e-05,7.087501580826938e-05
49,2.300000051036477e-05,3.612501313909888e-05
50,4.924999666400254e-05,7.779200677759945e-05
51,4.0166982216760516e-05,6.541699985973537e-05
52,3.995798761025071e-05,6.38750207144767e-05
53,2.4916022084653378e-05,4.141699173487723e-05
54,4.6541012125089765e-05,7.683402509428561e-05
55,3.05419962387532e-05,5.037500523030758e-05
56,5.504197906702757e-05,7.820798782631755e-05
57,0.00011424999684095383,8.337499457411468e-05
58,6.541699985973537e-05,7.329101208597422e-05
59,2.9584014555439353e-05,4.670899943448603e-05
60,5.537501419894397e-05,5.5459007853642106e-05
61,4.358301521278918e-05,7.1333022788167e-05
62,4.39999857917428e-05,7.20410025678575e-05
63,2.962502185255289e-05,4.774998524226248e-05
64,3.7582998629659414e-05,5.7792000006884336e-05
65,4.941600491292775e-05,7.933299639262259e-05
66,3.187500988133252e-05,5.3916999604552984e-05
67,4.879198968410492e-05,7.975002517923713e-05
68,4.762498429045081e-05,0.00010583398398011923
69,3.983298665843904e-05,7.379197631962597e-05
70,5.4750009439885616e-05,0.00010237502283416688
71,3.804202424362302e-05,6.783401477150619e-05
72,4.962499951943755e-05,9.412498911842704e-05
73,3.545801155269146e-05,6.500000017695129e-05
74,4.7375011490657926e-05,8.875000639818609e-05
75,4.7707988414913416e-05,8.662499021738768e-05
76,2.9959017410874367e-05,5.4042000556364655e-05
77,3.308401210233569e-05,6.250001024454832e-05
78,5.070798215456307e-05,9.2999980552122e-05
79,3.6250014090910554e-05,6.466699414886534e-05
80,5.258299643173814e-05,9.445802425034344e-05
81,5.141698056831956e-05,9.450002107769251e-05
82,2.854099147953093e-05,6.020799628458917e-05
83,2.9749993700534105e-05,6.112499977461994e-05
84,3.72079957742244e-05,7.216600351966918e-05
85,4.33750101365149e-05,7.012501009739935e-05
86,5.820899968966842e-05,0.00011616598931141198
87,5.500001134350896e-05,0.00012287500430829823
88,4.3957988964393735e-05,8.083402644842863e-05
89,4.695798270404339e-05,7.691700011491776e-05
90,2.895799116231501e-05,5.454200436361134e-05
91,4.054201417602599e-05,7.241699495352805e-05
92,3.5250006476417184e-05,7.283297600224614e-05
93,5.3333002142608166e-05,8.791699656285346e-05
94,3.329099854454398e-05,5.516601959243417e-05
95,4.420799086801708e-05,7.562499376945198e-05
