,BST,BSTRec
0,1.8615813374758588e-07,3.105394057331419e-07
200,7.190837796111036e-07,1.2955862138027308e-06
400,8.290242094016813e-07,1.5251115648024672e-06
600,8.788957108888741e-07,1.7490677328335992e-06
800,8.833729982410275e-07,1.7466129224593623e-06
1000,9.13147096855378e-07,1.8296864048210443e-06
1200,9.503288102686542e-07,1.767093710891834e-06
1400,9.605165158714587e-07,1.8626485338195337e-06
1600,9.886142306474096e-07,1.8757754998760077e-06
1800,9.735948171193173e-07,1.964766171188393e-06
2000,9.676605599735854e-07,1.8842995279989794e-06
2200,1.260719560044006e-06,1.9967401060574783e-06
2400,1.885121099761935e-06,1.971468013292606e-06
2600,1.0371969995695517e-06,2.02920867574461e-06
2800,1.1511960850789322e-06,2.0366863405263614e-06
3000,1.1429123296359674e-06,2.06012866639216e-06
3200,1.1262467575319316e-06,2.1787138288379263e-06
3400,1.1025289225246792e-06,2.162493568836549e-06
3600,1.0969211174380205e-06,2.137988315544886e-06
3800,1.1149630871165646e-06,2.1423959566297336e-06
4000,1.0975691331806806e-06,2.1939617784591305e-06
4200,1.101412818929471e-06,2.1700507901403883e-06
4400,1.0992296439501533e-06,2.1359392392679774e-06
4600,1.1417740569321798e-06,2.1342103147383677e-06
4800,1.0993052466234209e-06,2.1542598014919585e-06
5000,1.1458348465758726e-06,2.116783665185538e-06
5200,1.1006950800213108e-06,2.1304955562884246e-06
5400,1.1188409263438998e-06,2.1320044248868977e-06
5600,1.1141024916560961e-06,2.1530614371214984e-06
5800,1.140803308012562e-06,2.1846831301996194e-06
6000,1.1416336055845023e-06,2.216379125089889e-06
6200,1.146660926495465e-06,2.2123360487316318e-06
6400,1.1744330030515654e-06,2.2143639587805767e-06
6600,1.1703320330333546e-06,2.166129482072701e-06
6800,1.1822626810657595e-06,2.273465029322841e-06
7000,1.1978493383957431e-06,2.259700808998778e-06
7200,1.1406868478334552e-06,2.2659020983280804e-06
7400,1.1733241075940362e-06,2.250255157085939e-06
7600,1.1621543404928178e-06,2.1942102974024386e-06
7800,1.162931305962965e-06,2.258394175174928e-06
8000,1.1643201685211528e-06,2.2261984231924517e-06
8200,1.1423841255520463e-06,2.215400620132958e-06
8400,1.217137429427458e-06,2.199262668968204e-06
8600,1.194168478165061e-06,2.213713782412265e-06
8800,1.1501323480859673e-06,2.2836584585009638e-06
9000,1.180842611725109e-06,2.2520703186682604e-06
9200,1.1541836258502454e-06,2.2181820993764547e-06
9400,1.168099600488508e-06,2.2804075606389467e-06
9600,1.236444550626185e-06,2.237293938678954e-06
9800,1.1773843258414247e-06,2.2657096563248867e-06
10000,1.1619232379224733e-06,2.3335350609017075e-06
10200,1.1747295385089899e-06,2.313620528342937e-06
10400,1.1774279623625612e-06,2.3030258903126105e-06
10600,1.1522217969828789e-06,2.3142330897459335e-06
10800,1.150009108049402e-06,2.3677615703023765e-06
11000,1.2189649459863202e-06,2.2990674254646815e-06
11200,1.1797263714219998e-06,2.2693655492071437e-06
11400,1.2057857372191384e-06,2.239168728402722e-06
11600,1.1882538599637123e-06,2.3690471628578295e-06
11800,1.2205641432622567e-06,2.331758616492152e-06
12000,1.2236625787058692e-06,2.2204659020511107e-06
12200,1.2193979874868459e-06,2.2572079617871877e-06
12400,1.2087092474273859e-06,2.340536446037164e-06
12600,1.2146341550343354e-06,2.3671346182567537e-06
12800,1.1917740189889018e-06,2.3626266816340454e-06
13000,1.2328528431714128e-06,2.369209743796959e-06
13200,1.198799725314346e-06,2.3493317848737905e-06
13400,1.2176841520917935e-06,2.2712068583115663e-06
13600,1.2118970780898261e-06,2.3540581689737397e-06
13800,1.2180536863641864e-06,2.357646644568293e-06
14000,1.1782957606205563e-06,2.2651219063378664e-06
14200,1.1939397113773664e-06,2.3412035816613962e-06
14400,1.2165618838246808e-06,2.322765134505654e-06
14600,1.2512655059354159e-06,2.3179250243846156e-06
14800,1.2108975617693514e-06,2.2642324772586515e-06
15000,1.2477578652954293e-06,2.305751162316274e-06
15200,1.226060064680396e-06,2.3560532477658687e-06
15400,1.1582295079245616e-06,2.312493917463911e-06
15600,1.2475413456131969e-06,2.6008180212314935e-06
15800,1.2132693060733583e-06,2.297555554632542e-06
16000,1.2389583429834302e-06,2.2721180581239932e-06
16200,1.187733998265835e-06,2.354000331919401e-06
16400,1.2471604239998743e-06,2.3517247402630404e-06
16600,1.231947771717854e-06,2.357360471142541e-06
16800,1.193717201112197e-06,2.3529144525186182e-06
17000,1.2187156666053134e-06,2.2960077499150545e-06
17200,1.2090508131857175e-06,2.284463450158818e-06
17400,1.245351581953876e-06,2.2931993018340215e-06
17600,1.2377272669755675e-06,2.240629485432366e-06
17800,1.2085982833331058e-06,2.2285967251422617e-06
18000,1.2224813989457597e-06,2.2330477079718348e-06
18200,1.233464769096276e-06,2.2306084021960103e-06
18400,1.2508837736869624e-06,2.232760215528446e-06
18600,1.2335351266718785e-06,2.2345919059504065e-06
18800,1.203781214901545e-06,2.2385604081487436e-06
19000,1.2219293307888945e-06,2.2317770988159224e-06
19200,1.2605751815482702e-06,2.2817891659300535e-06
19400,1.2423759561305472e-06,2.311677146497943e-06
19600,1.2790623170092976e-06,2.3004280535692197e-06
19800,1.2608543145171273e-06,2.345715204057275e-06
