,LS,BST,LLRBT,BF
0,1.245547895567543e-07,1.6971396436111644e-07,2.909101259578532e-07,2.2661410082012003e-06
500,1.0102287417602375e-05,7.781403741602777e-07,1.1219798262581366e-06,2.244309250931811e-06
1000,1.5848544424126317e-05,8.46282820379652e-07,1.2272123905291797e-06,2.278401103050132e-06
1500,2.343564204884471e-05,8.913211058825255e-07,1.3029648379824304e-06,2.2646021973683472e-06
2000,3.082403075163586e-05,9.30611730912068e-07,1.4030591279285353e-06,2.27184286511956e-06
2500,3.808312810243987e-05,9.51088528114653e-07,1.5362313737101647e-06,2.2576496468583515e-06
3000,4.4910818086338976e-05,9.440609933210349e-07,1.6115358849098787e-06,2.2711508112763046e-06
3500,5.174431473512305e-05,9.505078890745382e-07,1.5728273044485564e-06,2.2471757977346487e-06
4000,5.8619966527549634e-05,9.573410508658635e-07,1.5669282869683629e-06,2.301100850823002e-06
4500,6.538118220921265e-05,9.70172592216607e-07,1.6026599140444754e-06,2.2365661282434104e-06
5000,7.229406710974701e-05,9.77043584715404e-07,1.6897031033428711e-06,2.245302586559924e-06
5500,7.881019167696049e-05,1.0253455374526596e-06,1.7718215133362544e-06,2.2519252854698434e-06
6000,8.633745236561522e-05,1.0194511317280591e-06,1.7898473354620398e-06,2.2968592169190492e-06
6500,9.198455637162808e-05,1.0037853151833246e-06,1.7678193190485377e-06,2.3023856060425624e-06
7000,0.00010061079795459507,1.0042604872820164e-06,1.7939067409382364e-06,2.2564362157819743e-06
7500,0.0001080862918586701,1.05448851229435e-06,1.8395854580993636e-06,2.310467844427384e-06
8000,0.00011497118472818012,1.062576538336318e-06,1.84582417976077e-06,2.2825914084774637e-06
8500,0.00012167556151649445,1.0355690786820076e-06,1.8619770598555103e-06,2.2401867579634584e-06
9000,0.00012893009633722997,1.0311209079766765e-06,1.966455435474326e-06,2.28681328274959e-06
9500,0.00013591405833802194,1.0295886943680705e-06,1.883921833973754e-06,2.2420351619943293e-06
10000,0.0001426362766491232,1.0897722137972302e-06,1.882897114270119e-06,2.2956485637899384e-06
10500,0.00015048937911996534,1.0786574118164018e-06,1.958247484562389e-06,2.2380676701528217e-06
11000,0.00015712067417356126,1.0532578795191346e-06,1.98795911727832e-06,2.2591615742961063e-06
11500,0.0001635577094585233,1.0709973306335303e-06,2.004905404104347e-06,2.293246385957533e-06
12000,0.0001696203844429532,1.0556054158443842e-06,2.0547140509300277e-06,2.2545674123690217e-06
12500,0.00017767967520614897,1.0982968239968112e-06,2.0594567726921596e-06,2.260206271509785e-06
13000,0.00018345925210945207,1.1450776215130037e-06,1.997508705644911e-06,2.2921414966823174e-06
13500,0.0001907340823918359,1.0837966644572556e-06,2.025632027519542e-06,2.2715198809554408e-06
14000,0.00019808463252111072,1.0727169899987656e-06,1.9998910448112346e-06,2.261780253654226e-06
14500,0.0002035831454682053,1.0693196341856768e-06,2.022460381790927e-06,2.253042493408563e-06
15000,0.00021014247518011427,1.1250653609616358e-06,2.0888046908337588e-06,2.312612234948015e-06
15500,0.00021697992659622478,1.1076285843438375e-06,2.060414283374034e-06,2.2654882375868636e-06
16000,0.00022384981985776385,1.0799829390993632e-06,2.0681467877034475e-06,2.2571554990622017e-06
16500,0.00023030711471107404,1.074684005222121e-06,2.0672860918481143e-06,2.2511365086506676e-06
17000,0.00023672714181150386,1.0819556063399949e-06,2.0666487286414165e-06,2.2834782037935264e-06
17500,0.0002434261175195063,1.0988091357872574e-06,2.0540506042830576e-06,2.2767275836694677e-06
18000,0.00024944372499284735,1.1631988262364623e-06,2.101130035936559e-06,2.247186389392874e-06
18500,0.00025690328913159806,1.1203252195611322e-06,2.139396005344295e-06,2.2966142993745042e-06
19000,0.000264800685694988,1.0950540912277791e-06,2.1154647041539395e-06,2.2946126618072255e-06
19500,0.00026950571314888843,1.0888610139848033e-06,2.133603614686621e-06,2.2459249044213134e-06
20000,0.00027576883776442345,1.122782931774171e-06,2.161654270971792e-06,2.2891655130687793e-06
20500,0.0002816574738249866,1.1184181849292795e-06,2.163833503850625e-06,2.2717170927827376e-06
21000,0.00028795196811365255,1.0948017252386984e-06,2.124134231136616e-06,2.2716731337163972e-06
21500,0.000294112284110278,1.0899890998139158e-06,2.2046356504663416e-06,2.268733327499155e-06
22000,0.00029991036671034375,1.094007948968867e-06,2.199527758404339e-06,2.2422245515664238e-06
22500,0.0003076876022921311,1.1168578415340103e-06,2.186719198933367e-06,2.2976484156102625e-06
23000,0.00031350390823481073,1.18036672725009e-06,2.157625467772809e-06,2.286009028032764e-06
23500,0.00031957638975971915,1.1705530768926811e-06,2.2061752270770455e-06,2.274340851693799e-06
24000,0.00032679410187907754,1.1159818044889274e-06,2.2552935192959573e-06,2.3134677903726697e-06
24500,0.0003330536453403669,1.1042536924157393e-06,2.1792568465045424e-06,2.259307480075422e-06
25000,0.00033983627518579157,1.0936158215797959e-06,2.2228534467979718e-06,2.272334461390904e-06
25500,0.0003459307722300889,1.1614078320477397e-06,2.2240127586340958e-06,2.3051206590693206e-06
26000,0.00035241618631685304,1.1525848728749867e-06,2.2485194505628095e-06,2.263924895162019e-06
26500,0.0003581921485927674,1.1274037474698019e-06,2.2635289912171867e-06,2.2631192167605693e-06
27000,0.00036401534865614576,1.107507354340627e-06,2.25236059760316e-06,2.2227631544335446e-06
27500,0.0003715852418660246,1.1148855993695078e-06,2.23758212107003e-06,2.3210891874917195e-06
28000,0.00037747798011416076,1.1612269407941388e-06,2.266601634792847e-06,2.2605075500905515e-06
28500,0.00038362634145770085,1.1622693289259294e-06,2.23858391763557e-06,2.2570890996075415e-06
29000,0.00039012884748928725,1.132054608998769e-06,2.2506605835904906e-06,2.323155877727229e-06
29500,0.0003960434102694666,1.1132506764741665e-06,2.2243121788418347e-06,2.266252248915374e-06
30000,0.0004027383799660404,1.1197559571816423e-06,2.218779662427484e-06,2.3086531324858922e-06
30500,0.0004088068700827009,1.119438792715584e-06,2.2322661777394354e-06,2.265698732509184e-06
31000,0.0004141759187903751,1.1833582688635643e-06,2.242186703770464e-06,2.2529724028405793e-06
31500,0.00042045703258070615,1.18701078997361e-06,2.2830645043249115e-06,2.3083593440028504e-06
32000,0.0004271809555090314,1.128663140169661e-06,2.294680353578761e-06,2.2847191911242015e-06
32500,0.00043376561314820253,1.129441983237384e-06,2.3074768197406594e-06,2.342420740164133e-06
33000,0.00044051661888893626,1.1213508225259705e-06,2.3555579838778722e-06,2.27780604987072e-06
