,LS,BST,LLRBT,BF
0,1.2782873338037127e-07,1.6072176507921941e-07,3.0031358746282003e-07,2.241767652401137e-06
100,1.747437735694811e-06,5.613538797585926e-07,9.615759818105523e-07,2.2110782911864307e-06
200,3.3267430753934137e-06,6.360373579375788e-07,1.05566782940931e-06,2.229754925158661e-06
300,4.9074358176525445e-06,6.795888681203947e-07,1.1267826749319467e-06,2.2364742060644773e-06
400,7.471341012823267e-06,7.217573023341391e-07,1.200474028629379e-06,2.246155633180992e-06
500,1.1489377709515735e-05,7.46459071097229e-07,1.2213271602543942e-06,2.240084279371306e-06
600,9.568789240118081e-06,7.917299939302403e-07,1.2585842285578678e-06,2.2075000953852035e-06
700,1.1276208262659883e-05,8.176379226182305e-07,1.262678750876098e-06,2.239256599542061e-06
800,1.3145394707653979e-05,8.156457253723243e-07,1.270317947791052e-06,2.247468004464556e-06
900,1.4341524986917615e-05,8.174329237807372e-07,1.3072002644932597e-06,2.2277717890833088e-06
1000,1.795341141111807e-05,7.975782009285934e-07,1.3245892403390977e-06,2.2647718283766453e-06
1100,2.1805402155273484e-05,8.017795647434685e-07,1.3114539158761229e-06,2.2264295973208384e-06
1200,2.1374540982357817e-05,8.112143152692449e-07,1.3216760868223708e-06,2.2479497449506722e-06
1300,2.5986829608114896e-05,8.265060210309992e-07,1.3717932737680204e-06,2.242200470683293e-06
1400,2.358144495226101e-05,8.64391276023325e-07,1.4130704205295226e-06,2.2523414328643077e-06
1500,2.3603604045918706e-05,8.569079891291507e-07,1.4279670970634037e-06,2.24491337382602e-06
1600,2.6074671007077628e-05,8.889004735515342e-07,1.398652685173881e-06,2.2192030905857e-06
1700,2.9036280109521445e-05,8.99440339774987e-07,1.440974146794152e-06,2.273156023541585e-06
1800,2.93286789994721e-05,8.966683638666611e-07,1.4594341991383821e-06,2.238165368240566e-06
1900,3.0615219590040525e-05,8.920597408069383e-07,1.4620365728752328e-06,2.24527207399727e-06
2000,3.210777463177817e-05,9.022265215566673e-07,1.4995044148569806e-06,2.2101053709608564e-06
2100,3.30515870292577e-05,9.092422353889827e-07,1.4406239289209383e-06,2.2283855669730165e-06
2200,3.539825544410616e-05,9.050875583902822e-07,1.4873178752668953e-06,2.2166192386333547e-06
2300,3.67997276421568e-05,9.152859955633042e-07,1.4980488014621062e-06,2.2496207106704698e-06
2400,3.704833219771983e-05,8.975027455871395e-07,1.537306166954612e-06,2.2279833082468547e-06
2500,3.891955680158331e-05,9.010470709378977e-07,1.5776588649856389e-06,2.226973780208703e-06
2600,4.047904700604737e-05,8.969680414697446e-07,1.5663625565656554e-06,2.218279602014622e-06
2700,4.473457978547064e-05,9.18079946198663e-07,1.581015528837612e-06,2.2089146771852714e-06
2800,4.326855357834608e-05,9.040180882097247e-07,1.6692915649383987e-06,2.234538954067463e-06
2900,4.704366723148135e-05,9.121722114537287e-07,1.6644514046199278e-06,2.2395109371154e-06
3000,4.879730008435735e-05,9.351615791866949e-07,1.6437799545910653e-06,2.230377836844995e-06
3100,4.888846615965931e-05,9.393467495235008e-07,1.5751328746523333e-06,2.272920208820783e-06
3200,4.848437316485023e-05,9.387109264167487e-07,1.588215571913629e-06,2.25108112165824e-06
3300,5.0352831673381186e-05,9.448595522313354e-07,1.59444531891495e-06,2.27355806545756e-06
3400,5.13180876738144e-05,9.442137590600947e-07,1.5612447008473473e-06,2.226547600803982e-06
3500,5.330404865452934e-05,9.53900885187226e-07,1.6119332648728282e-06,2.277486821969783e-06
3600,5.4790677544404536e-05,9.484112437882828e-07,1.6410382402582316e-06,2.245755649359743e-06
3700,5.63477325229692e-05,9.503132266359865e-07,1.6658776514488486e-06,2.2245082254478828e-06
3800,5.77395212219242e-05,9.47006014731089e-07,1.5960883791344838e-06,2.231562939481041e-06
3900,5.933570983037865e-05,9.539667207217954e-07,1.6184751982501613e-06,2.2344556156494612e-06
4000,6.073742832373315e-05,9.464734359943402e-07,1.697450979834918e-06,2.2124600759066574e-06
4100,6.262891975427987e-05,9.620957783585704e-07,1.6785935261671286e-06,2.2735003554988482e-06
4200,6.500632981791101e-05,9.564354603494936e-07,1.688250779481861e-06,2.242883625696627e-06
4300,6.520680252701865e-05,9.510033099630146e-07,1.7019040827049848e-06,2.255909571022547e-06
4400,6.627951953196983e-05,9.729684695789438e-07,1.6581473696908545e-06,2.2539387418623638e-06
4500,6.755824124231217e-05,9.776037026179629e-07,1.6945461516157477e-06,2.2672663128789547e-06
4600,6.931186831073511e-05,9.49389354641968e-07,1.6788913005399049e-06,2.233395943580486e-06
