,LS,BST,LLRBT,BF
0,8.249975508078933e-06,5.800000508315861e-05,7.666600868105888e-05,9.075002162717283e-05
1,8.666014764457941e-06,1.2124975910410285e-05,3.641701187007129e-05,5.5374985095113516e-05
2,5.542009603232145e-06,1.5041005099192262e-05,3.070800448767841e-05,5.01670001540333e-05
3,5.499983672052622e-06,1.066701952368021e-05,6.612500874325633e-05,5.0292001105844975e-05
4,6.082991603761911e-06,1.812499249354005e-05,7.220800034701824e-05,5.82499778829515e-05
5,6.292015314102173e-06,2.1957996068522334e-05,8.600001456215978e-05,5.308401887305081e-05
6,6.624992238357663e-06,1.562500256113708e-05,5.0207978347316384e-05,9.462499292567372e-05
7,6.709014996886253e-06,2.7042027795687318e-05,6.291599129326642e-05,6.0583988670259714e-05
8,6.792019121348858e-06,1.9749975763261318e-05,7.483302033506334e-05,7.408301462419331e-05
9,7.208000170066953e-06,1.929097925312817e-05,0.00012341700494289398,7.287500193342566e-05
10,7.374997949227691e-06,2.3582979338243604e-05,0.00010112498421221972,5.225001950748265e-05
11,7.5410061981529e-06,2.3250002413988113e-05,1.995800994336605e-05,4.795799031853676e-05
12,7.916009053587914e-06,3.05419962387532e-05,9.495799895375967e-05,5.9250014601275325e-05
13,7.916998583823442e-06,2.7790985768660903e-05,0.0001001250057015568,4.7209003241732717e-05
14,8.584000170230865e-06,1.3832992408424616e-05,0.00012504099868237972,4.8416986828669906e-05
15,8.832983439788222e-06,2.4083012249320745e-05,8.800000068731606e-05,4.7416018787771463e-05
16,9.000010322779417e-06,1.762501779012382e-05,0.0001076660118997097,4.924999666400254e-05
17,9.37501317821443e-06,1.4541001291945577e-05,0.00013008402311243117,4.691601498052478e-05
18,9.41698090173304e-06,3.137500607408583e-05,8.475000504404306e-05,4.954199539497495e-05
19,9.749986929818988e-06,2.7541012968868017e-05,9.108302765525877e-05,4.904199158772826e-05
20,1.0082992957904935e-05,2.7542002499103546e-05,0.0001277910196222365,4.6667002607136965e-05
21,1.0209012543782592e-05,3.0208990210667253e-05,0.00012195800081826746,5.166602204553783e-05
22,1.0666990419849753e-05,1.8749997252598405e-05,0.00010612499318085611,4.837499000132084e-05
23,1.0792020475491881e-05,2.1082989405840635e-05,0.00011324998922646046,4.937499761581421e-05
24,1.1124997399747372e-05,2.6833004085347056e-05,9.458401473239064e-05,5.179201252758503e-05
25,1.1417025234550238e-05,2.2249994799494743e-05,0.00012437498662620783,4.749998333863914e-05
26,3.333398490212858e-05,2.6249996153637767e-05,0.00012079201405867934,4.883299698121846e-05
27,1.262497971765697e-05,2.1417014067992568e-05,0.00016233400674536824,4.645899753086269e-05
28,1.1916999937966466e-05,2.77079816441983e-05,0.00013933298760093749,4.600000102072954e-05
