,LS,BST,LLRBT,BF
0,1.240091402630467e-07,2.137177619536262e-07,3.1090085074271356e-07,8.37533728330644e-07
100,1.6338576267926244e-06,5.763305774078184e-07,9.437315764093618e-07,8.015210810758242e-07
200,3.058112958027477e-06,6.607426266365368e-07,1.0348024560189848e-06,8.170914797778797e-07
300,4.542469311881503e-06,7.50471232245343e-07,1.107356721458427e-06,7.978776211363323e-07
400,5.993853514339057e-06,9.548999454586877e-07,1.1776388994494983e-06,8.018306529132325e-07
500,9.529671631753444e-06,9.125955520334457e-07,1.225986278726967e-06,8.057383564087229e-07
600,9.22826890312477e-06,8.557076606506465e-07,1.247570220885132e-06,8.12439843926818e-07
700,1.066444149890214e-05,8.508073285632177e-07,1.2762844113957718e-06,8.163788076062952e-07
800,1.2111007628979486e-05,8.464164865297189e-07,1.2799893920267121e-06,8.138330982263209e-07
900,1.3659116236381916e-05,8.31506205423641e-07,1.309236696357369e-06,8.090020524799277e-07
1000,1.5379986296399336e-05,8.378820205449101e-07,1.3213938544290738e-06,7.831681874332898e-07
1100,1.7147527928592278e-05,8.515482148958729e-07,1.3484037385125637e-06,8.087566297569679e-07
1200,1.8608512100550013e-05,8.697122113283621e-07,1.380946522433345e-06,8.057143342672685e-07
1300,2.002242687072844e-05,8.984189694149232e-07,1.3844785333927209e-06,7.904741129145847e-07
1400,2.15500673586759e-05,8.97812264023024e-07,1.3829617036950835e-06,8.234328156713089e-07
1500,2.512874120713955e-05,8.957089520905407e-07,1.4498195634437127e-06,7.95857597424418e-07
1600,2.6180483551413984e-05,9.13302834923251e-07,1.5361129526271048e-06,7.976841794566141e-07
1700,2.871467927876655e-05,9.005662468219296e-07,1.5160011505673921e-06,7.925838020570371e-07
1800,2.750872480661668e-05,9.1783015843515e-07,1.5117953042286114e-06,7.980654642002982e-07
1900,2.8861819536835297e-05,9.356790986937393e-07,1.503879037779679e-06,7.974801418465485e-07
2000,3.0430639006727196e-05,9.521219907157602e-07,1.5362308995046336e-06,7.966146505343805e-07
2100,3.188871383483291e-05,9.411533305489826e-07,1.492149923893905e-06,8.201586828062977e-07
2200,3.325020319594224e-05,9.566957447165197e-07,1.5168747428907167e-06,8.237367707364466e-07
2300,4.202375209082875e-05,9.491865676955892e-07,1.5127445814635502e-06,7.982278208530278e-07
2400,3.640495919208085e-05,9.60997264157263e-07,1.5354239875279845e-06,8.069912768439005e-07
2500,3.752759069849421e-05,9.624711803903957e-07,1.5332644843761253e-06,8.256624499763097e-07
