,LS,BST,LLRBT,BF
1,3.749999450519681e-06,5.558301927521825e-05,1.9665982108563185e-05,0.00010608299635350704
2,1.4170072972774506e-06,3.0840164981782436e-06,1.2499978765845299e-05,5.733300349675119e-05
3,1.374981366097927e-06,3.5840203054249287e-06,2.2249994799494743e-05,5.716600571759045e-05
4,1.3750104699283838e-06,3.958004526793957e-06,9.459006832912564e-06,5.2458985010161996e-05
5,1.5829864423722029e-06,4.832982085645199e-06,1.6875012079253793e-05,5.3041003411635756e-05
6,1.7500133253633976e-06,4.1669991333037615e-06,1.6416975995525718e-05,4.329101648181677e-05
7,1.4590041246265173e-06,4.62500611320138e-06,2.170799416489899e-05,5.0458009354770184e-05
8,1.667009200900793e-06,5.750014679506421e-06,1.883399090729654e-05,5.52500132471323e-05
9,1.7090060282498598e-06,3.042019670829177e-06,1.5375000657513738e-05,4.683298175223172e-05
10,1.7919810488820076e-06,5.416979547590017e-06,2.0749983377754688e-05,4.791599349118769e-05
11,1.6669800970703363e-06,6.125017534941435e-06,1.9917002646252513e-05,4.108299617655575e-05
12,1.7920101527124643e-06,2.582994056865573e-06,1.766698551364243e-05,3.558400203473866e-05
13,1.7919810488820076e-06,4.749977961182594e-06,2.358300844207406e-05,4.820802132599056e-05
14,2.667016815394163e-06,5.709007382392883e-06,1.9416998839005828e-05,3.854098031297326e-05
15,2.1249870769679546e-06,6.9160014390945435e-06,2.4708017008379102e-05,4.374998388811946e-05
16,2.00001522898674e-06,6.208021659404039e-06,4.57499991171062e-05,4.1749997762963176e-05
17,2.249988028779626e-06,5.374982720240951e-06,2.8166017727926373e-05,4.4459011405706406e-05
18,2.334010787308216e-06,7.499998901039362e-06,1.854199217632413e-05,3.804202424362302e-05
19,2.541986759752035e-06,7.125025149434805e-06,2.429200685583055e-05,3.674998879432678e-05
20,2.2500171326100826e-06,7.499998901039362e-06,1.8291000742465258e-05,4.341700696386397e-05
21,2.2909953258931637e-06,8.37500556372106e-06,2.258300082758069e-05,3.470899537205696e-05
22,2.374988980591297e-06,8.25000461190939e-06,2.316699828952551e-05,3.283401019871235e-05
23,2.9999937396496534e-06,6.541988113895059e-06,2.9708986403420568e-05,3.079199814237654e-05
