,LS,BST,LLRBT,BF
189,3.1837603555770096e-06,7.78235561308374e-07,1.1484410427937951e-06,2.3734936204422778e-06
378,5.896222711446772e-06,8.589140867916952e-07,1.2655209786250094e-06,2.440825994382826e-06
567,8.527768328315963e-06,8.996251336119453e-07,1.308563584034596e-06,2.5966615093564358e-06
756,1.0839310942491123e-05,9.247859557577913e-07,1.3558605713598908e-06,2.4865664447734663e-06
945,1.3064672660996813e-05,9.441757820324476e-07,1.339655067267563e-06,2.553715662167775e-06
1134,1.5256360152932824e-05,9.948147648791655e-07,1.3752674273804786e-06,2.6058116308285284e-06
1323,1.6905571993038812e-05,9.80201993274306e-07,1.4697785282063238e-06,2.516515984481901e-06
1512,1.8691974836230755e-05,9.942513841435039e-07,1.404493584707721e-06,2.5409673673844117e-06
1701,2.0454470340564094e-05,9.854577285229066e-07,1.463899079180502e-06,2.587126192013058e-06
1890,2.198088754485404e-05,9.94303119539736e-07,1.5317206377795804e-06,2.482834639489104e-06
2079,2.2627622804416497e-05,1.1581662239147983e-06,1.6173512360867147e-06,2.558942421749576e-06
2268,2.476980801300069e-05,1.1615287897031787e-06,1.4986103152804966e-06,2.5918647922455852e-06
2457,2.6406559221651575e-05,1.1947183387029336e-06,1.649778958948312e-06,2.5155132587298475e-06
2646,2.750080106075033e-05,1.1212326353415847e-06,1.6498155336519447e-06,2.4650235171216206e-06
2835,2.9334386328978618e-05,1.1819125838799898e-06,1.5922392122532933e-06,2.5281449886671173e-06
3024,3.0727502014146215e-05,1.1321498506164195e-06,1.6727845383158655e-06,2.616919452162169e-06
3213,3.153676550019396e-05,1.1812904721484819e-06,1.6352387973953277e-06,2.6786548818179636e-06
3402,3.197706955455141e-05,1.2717091685605296e-06,1.6883702483028173e-06,2.6997533485874395e-06
3591,3.3344171312210414e-05,1.142043299938834e-06,1.6299466049264467e-06,2.533524412525083e-06
3780,3.377985305349351e-05,1.2116360108564616e-06,1.6242033030854862e-06,2.661845710880439e-06
3969,3.580768617754375e-05,1.1375761610122586e-06,1.773190409064703e-06,2.5300941229242525e-06
4158,3.6335269244464645e-05,1.1249785012471567e-06,1.7565588836361646e-06,2.601330260395867e-06
