,LS,BST,LLRBT,BF
1,1.300001167692244e-05,5.4750009439885616e-05,1.7457990907132626e-05,4.4957996578887105e-05
2,1.7090060282498598e-06,3.249995643272996e-06,1.1791998986154795e-05,1.8749997252598405e-05
3,2.4579931050539017e-06,3.583001671358943e-06,1.9916013116016984e-05,1.750001683831215e-05
4,3.2910029403865337e-06,4.208995960652828e-06,9.583018254488707e-06,1.7290993127971888e-05
5,1.7909915186464787e-06,5.125009920448065e-06,1.6457983292639256e-05,1.5166995581239462e-05
6,1.9170111045241356e-06,4.458008334040642e-06,3.545900108292699e-05,1.550000160932541e-05
7,1.6249832697212696e-06,4.750007065013051e-06,2.908302121795714e-05,1.8292019376531243e-05
8,1.6249832697212696e-06,6.041984306648374e-06,1.7707992810755968e-05,1.8040998838841915e-05
9,1.9999861251562834e-06,3.1669915188103914e-06,1.6000005416572094e-05,1.7292011762037873e-05
10,1.8330174498260021e-06,5.54099096916616e-06,2.0749983377754688e-05,1.808302477002144e-05
11,1.7090060282498598e-06,6.374990334734321e-06,2.0500010577961802e-05,1.5375000657513738e-05
12,1.8749851733446121e-06,2.707995008677244e-06,1.783299376256764e-05,1.7417012713849545e-05
13,2.166023477911949e-06,5.0000089686363935e-06,2.1124986233189702e-05,1.8292019376531243e-05
14,1.9170111045241356e-06,5.874986527487636e-06,1.9583007087931037e-05,1.6125006368383765e-05
15,1.9590079318732023e-06,7.208989700302482e-06,3.3666990930214524e-05,1.7291982658207417e-05
16,2.249988028779626e-06,6.499991286545992e-06,5.037500523030758e-05,1.7167010810226202e-05
17,2.582994056865573e-06,5.66698145121336e-06,2.70830059889704e-05,1.7417012713849545e-05
18,2.249988028779626e-06,7.874972652643919e-06,1.9166996935382485e-05,1.3125012628734112e-05
19,2.3329921532422304e-06,7.374997949227691e-06,1.8457998521625996e-05,1.795799471437931e-05
20,2.8329959604889154e-06,7.95800588093698e-06,1.7749989638105035e-05,1.5459023416042328e-05
21,2.333021257072687e-06,8.750008419156075e-06,2.1500018192455173e-05,1.6125006368383765e-05
22,2.541986759752035e-06,8.457980584353209e-06,2.3041997337713838e-05,1.6250007320195436e-05
23,2.9590155463665724e-06,7.08398874849081e-06,3.012499655596912e-05,1.0832998668774962e-05
24,2.749991836026311e-06,5.499983672052622e-06,2.0790990674868226e-05,1.5875004464760423e-05
25,2.7920177672058344e-06,6.375019438564777e-06,2.0042003598064184e-05,1.6624981071799994e-05
26,2.875021891668439e-06,3.5840203054249287e-06,2.5749992346391082e-05,1.4791992725804448e-05
27,3.2910029403865337e-06,3.6249984987080097e-06,2.141698496416211e-05,1.3374985428526998e-05
28,3.083987394347787e-06,8.25000461190939e-06,1.8417020328342915e-05,1.5291996533051133e-05
29,2.8329959604889154e-06,9.499985026195645e-06,2.4416978703811765e-05,1.3167009456083179e-05
30,3.0410010367631912e-06,7.374997949227691e-06,3.212501178495586e-05,1.5416997484862804e-05
31,3.6249984987080097e-06,8.084025466814637e-06,2.449998282827437e-05,1.3290991773828864e-05
32,3.083987394347787e-06,8.37500556372106e-06,3.183301305398345e-05,1.666697789914906e-05
33,3.249995643272996e-06,7.374997949227691e-06,3.208400448784232e-05,1.8916995031759143e-05
34,3.04199056699872e-06,8.95801349543035e-06,3.100000321865082e-05,1.562500256113708e-05
35,3.875000402331352e-06,8.041999535635114e-06,2.9207993065938354e-05,1.025001984089613e-05
36,3.2920215744525194e-06,2.4042004952207208e-05,2.333297743462026e-05,1.550000160932541e-05
37,3.416003892198205e-06,2.166701597161591e-05,2.6958994567394257e-05,1.3249984476715326e-05
38,4.292000085115433e-06,1.0709016351029277e-05,3.429100615903735e-05,1.7875019693747163e-05
39,3.3339892979711294e-06,9.332987247034907e-06,3.241599188186228e-05,1.2792006600648165e-05
40,3.542023478075862e-06,8.084025466814637e-06,3.158298204652965e-05,1.3542012311518192e-05
41,3.916997229680419e-06,5.958980182185769e-06,2.9834016459062696e-05,1.095802872441709e-05
42,3.7080026231706142e-06,6.54099858365953e-06,4.2333005694672465e-05,1.6000005416572094e-05
43,3.749999450519681e-06,6.66698906570673e-06,3.1208008294925094e-05,1.0624993592500687e-05
44,3.749999450519681e-06,6.457994459196925e-06,2.6708003133535385e-05,1.4124991139397025e-05
45,4.3339969124644995e-06,1.0499992640689015e-05,2.9583985451608896e-05,1.9625003915280104e-05
46,3.958004526793957e-06,1.0374991688877344e-05,2.2958003683015704e-05,1.4084012946113944e-05
47,4.0000013541430235e-06,4.5000051613897085e-06,2.8040987672284245e-05,1.7624988686293364e-05
48,5.250010872259736e-06,9.875016985461116e-06,3.399999695830047e-05,1.4833000022917986e-05
49,4.1669991333037615e-06,9.99998883344233e-06,2.9583025025203824e-05,1.7291982658207417e-05
50,4.291010554879904e-06,1.0833988199010491e-05,2.333297743462026e-05,2.270899130962789e-05
51,5.250010872259736e-06,1.1417025234550238e-05,4.0125014493241906e-05,1.0832998668774962e-05
52,4.375004209578037e-06,5.1670067477971315e-06,2.0957988454028964e-05,1.7542013665661216e-05
53,4.458008334040642e-06,1.1833006283268332e-05,3.454199759289622e-05,2.0458013750612736e-05
54,4.958012141287327e-06,7.208000170066953e-06,3.358398680575192e-05,1.650000922381878e-05
55,4.62500611320138e-06,1.2499978765845299e-05,3.5874982131645083e-05,1.541702658869326e-05
56,4.417001036927104e-06,8.458009688183665e-06,3.145798109471798e-05,1.6667007002979517e-05
57,4.750007065013051e-06,3.8330035749822855e-06,2.662499900907278e-05,1.3249984476715326e-05
58,4.792003892362118e-06,7.458002073690295e-06,3.1750008929520845e-05,1.3250013580545783e-05
59,4.791014362126589e-06,6.749993190169334e-06,2.7291971491649747e-05,1.0957999620586634e-05
60,1.18750031106174e-05,6.290996680036187e-06,4.020801861770451e-05,1.070898724719882e-05
61,4.916975740343332e-06,4.499976057559252e-06,2.5124987587332726e-05,1.883399090729654e-05
62,4.791014362126589e-06,8.957984391599894e-06,3.433300298638642e-05,1.1166994227096438e-05
63,4.958012141287327e-06,8.041010005399585e-06,2.462498378008604e-05,1.0749994544312358e-05
64,5.208014044910669e-06,9.624985978007317e-06,3.1333998776972294e-05,1.0958989150822163e-05
65,5.250010872259736e-06,8.95801349543035e-06,3.4666998544707894e-05,1.1457974324002862e-05
66,1.0499992640689015e-05,9.99998883344233e-06,3.200001083314419e-05,1.0957999620586634e-05
67,5.6670105550438166e-06,4.083005478605628e-06,3.500000457279384e-05,1.5874975360929966e-05
68,5.332985892891884e-06,1.3166980352252722e-05,3.591700806282461e-05,1.300001167692244e-05
69,5.375011824071407e-06,1.0958989150822163e-05,2.9999995604157448e-05,1.3500015484169126e-05
70,6.167014362290502e-06,4.3330073822289705e-06,3.166601527482271e-05,1.3957993360236287e-05
71,5.707988748326898e-06,9.665993275120854e-06,2.954198862425983e-05,1.3167009456083179e-05
72,5.749985575675964e-06,1.1500000255182385e-05,2.2791005903854966e-05,1.662501017563045e-05
73,1.200000406242907e-05,8.790986612439156e-06,3.458300489000976e-05,1.362498733215034e-05
74,5.207984941080213e-06,5.04200579598546e-06,3.666698466986418e-05,1.087499549612403e-05
75,5.832989700138569e-06,6.999995093792677e-06,3.620798815973103e-05,1.3375014532357454e-05
76,9.833020158112049e-06,6.500020390376449e-06,3.241701051592827e-05,1.4417018974199891e-05
77,6.375019438564777e-06,8.749979315325618e-06,2.924998989328742e-05,1.3750017387792468e-05
78,5.999987479299307e-06,8.500006515532732e-06,4.179199459031224e-05,1.3832992408424616e-05
79,1.329201040789485e-05,9.58298915065825e-06,3.1082978239282966e-05,1.3458018656820059e-05
80,5.750014679506421e-06,9.292009053751826e-06,2.9167014872655272e-05,1.0666990419849753e-05
81,5.958980182185769e-06,1.1124997399747372e-05,3.120899782516062e-05,1.3374985428526998e-05
82,6.499991286545992e-06,9.583978680893779e-06,4.2166997445747256e-05,1.3834011042490602e-05
83,5.958980182185769e-06,1.0375020792707801e-05,3.5959004890173674e-05,1.3999990187585354e-05
84,6.082991603761911e-06,8.708011591807008e-06,3.4083001082763076e-05,1.1083000572398305e-05
85,7.208000170066953e-06,6.208021659404039e-06,2.8291018679738045e-05,1.0374991688877344e-05
86,6.541988113895059e-06,1.0249990737065673e-05,3.6165991332381964e-05,1.0749994544312358e-05
87,6.583024514839053e-06,1.0750023648142815e-05,4.254101077094674e-05,1.7000013031065464e-05
88,7.750000804662704e-06,5.917012458667159e-06,2.5084009394049644e-05,1.3500015484169126e-05
89,6.750022293999791e-06,8.458999218419194e-06,3.3374992199242115e-05,1.6082980437204242e-05
90,6.291986210271716e-06,4.959001671522856e-06,4.691601498052478e-05,1.09999964479357e-05
91,7.624999852851033e-06,1.1041003745049238e-05,3.1167000997811556e-05,1.3249984476715326e-05
92,6.95799826644361e-06,1.0624993592500687e-05,4.279200220480561e-05,1.0750023648142815e-05
93,6.667018169537187e-06,7.415976142510772e-06,3.845800529234111e-05,1.3459008187055588e-05
94,7.5830030255019665e-06,1.0125018889084458e-05,3.966697840951383e-05,9.008299093693495e-05
95,7.2499969974160194e-06,5.915993824601173e-06,2.258300082758069e-05,2.174999099224806e-05
96,6.917020073160529e-06,1.1416996130719781e-05,4.25000034738332e-05,1.720900763757527e-05
97,8.374976459890604e-06,7.875001756474376e-06,4.225000157020986e-05,1.09999964479357e-05
98,7.124996045604348e-06,8.000002708286047e-06,4.67080099042505e-05,1.5249999705702066e-05
99,7.499998901039362e-06,1.1750002158805728e-05,3.1916017178446054e-05,1.7707992810755968e-05
100,8.167000487446785e-06,9.790994226932526e-06,3.649998689070344e-05,1.575000351294875e-05
101,7.499998901039362e-06,1.170899486169219e-05,3.0041002901270986e-05,1.270900247618556e-05
102,7.374997949227691e-06,1.1416996130719781e-05,3.433300298638642e-05,1.6707985196262598e-05
103,8.750008419156075e-06,1.2665987014770508e-05,3.179200575686991e-05,1.5124998753890395e-05
104,7.624999852851033e-06,1.0042014764621854e-05,3.329198807477951e-05,1.087499549612403e-05
105,1.3832992408424616e-05,1.200000406242907e-05,3.32500203512609e-05,1.0957999620586634e-05
106,7.624999852851033e-06,1.087499549612403e-05,3.308401210233569e-05,1.4042016118764877e-05
107,7.2499969974160194e-06,9.37501317821443e-06,3.391600330360234e-05,1.09999964479357e-05
108,1.2249976862221956e-05,1.0499992640689015e-05,2.9291986720636487e-05,1.0374991688877344e-05
109,8.750008419156075e-06,8.917006198316813e-06,4.054099554196e-05,1.1042022379115224e-05
110,7.750000804662704e-06,1.1874974006786942e-05,4.012498538941145e-05,1.1083990102633834e-05
111,7.833004929125309e-06,8.66700429469347e-06,3.129200194962323e-05,1.0749994544312358e-05
112,9.207986295223236e-06,8.957984391599894e-06,4.0834012906998396e-05,2.012500772252679e-05
113,8.249975508078933e-06,1.4125020243227482e-05,7.28330051060766e-05,1.5208002878353e-05
114,8.333998266607523e-06,7.0420210249722e-06,3.549997927621007e-05,1.712498487904668e-05
115,9.042007150128484e-06,9.791023330762982e-06,4.195899236947298e-05,1.8167018424719572e-05
116,8.083006832748652e-06,6.457994459196925e-06,3.362499410286546e-05,1.5375000657513738e-05
117,8.58298153616488e-06,6.416987162083387e-06,2.77079816441983e-05,1.1083000572398305e-05
118,9.957992006093264e-06,7.291993824765086e-06,3.879101132042706e-05,1.533300383016467e-05
119,8.500006515532732e-06,1.2083008186891675e-05,3.1957984901964664e-05,1.5958998119458556e-05
120,7.750000804662704e-06,1.0417017620056868e-05,2.750000567175448e-05,1.129199517890811e-05
121,9.458017302677035e-06,7.916998583823442e-06,3.620798815973103e-05,1.4999997802078724e-05
122,8.125003660097718e-06,9.37501317821443e-06,3.399999695830047e-05,1.1333002476021647e-05
123,8.458999218419194e-06,6.832997314631939e-06,3.654099418781698e-05,1.5958008589223027e-05
124,9.95802110992372e-06,1.287501072511077e-05,2.9416987672448158e-05,1.4750025002285838e-05
125,8.37500556372106e-06,1.1666998034343123e-05,4.458299372345209e-05,1.1458992958068848e-05
126,7.750000804662704e-06,2.2249994799494743e-05,3.89580090995878e-05,1.129199517890811e-05
127,1.0459014447405934e-05,1.4791992725804448e-05,3.583298530429602e-05,1.1625001206994057e-05
128,9.042007150128484e-06,1.3958982890471816e-05,4.4917018385604024e-05,1.4707999071106315e-05
129,9.58298915065825e-06,8.37500556372106e-06,3.8708007195964456e-05,1.4707999071106315e-05
130,1.0792020475491881e-05,1.4249992091208696e-05,4.037498729303479e-05,1.0707997716963291e-05
