,LS,BST,LLRBT,BF
189,3.1832944646631496e-06,7.920878097722563e-07,1.0417808443222434e-06,2.4181287981347615e-06
378,5.826619031856161e-06,8.67804650157485e-07,1.1568436924573205e-06,9.224028913987749e-07
567,8.40706270670843e-06,9.116214815390493e-07,1.2439199287546885e-06,1.0785232821411086e-06
756,1.0881145290363956e-05,9.368888183642145e-07,1.299243902044217e-06,9.088167373877053e-07
945,2.5116837943408537e-05,9.502923124632157e-07,1.3150075245477738e-06,9.389763480103617e-07
1134,1.4790985322078912e-05,9.994172286071362e-07,1.3922699118340645e-06,9.137544879228423e-07
1323,1.6768393176180574e-05,9.897098248533972e-07,1.3572565245724053e-06,9.843130775411195e-07
1512,1.8572897784873297e-05,1.0194951602163802e-06,1.4221795606042404e-06,1.0547925528019256e-06
1701,2.0547755993902684e-05,1.0021246057601834e-06,1.3641596701286665e-06,9.23760507657372e-07
1890,2.1895699671879753e-05,9.97615060683579e-07,1.432700360347645e-06,8.921743020278598e-07
2079,2.261914004712716e-05,1.0550425627157777e-06,1.4711654992825394e-06,9.618003835576938e-07
2268,2.410487296944057e-05,1.1112344656310497e-06,1.5620326777116969e-06,9.501100957837947e-07
2457,2.7520390640764813e-05,1.0499905062190027e-06,1.5699298926330078e-06,9.20316937097579e-07
2646,3.087584692408083e-05,1.1060144666821585e-06,1.5393208227453566e-06,8.876159426183739e-07
2835,2.9513928665429218e-05,1.1472539376006077e-06,1.5782548003582233e-06,9.130051417207909e-07
3024,2.9225364549581063e-05,1.1937976590520061e-06,1.5529313812527908e-06,9.1321814971882e-07
3213,3.184317305701178e-05,1.1787291214621942e-06,1.6264376175000306e-06,9.36609523054725e-07
3402,3.3900611895059636e-05,1.074943729941178e-06,1.6439036752413446e-06,9.273674601791512e-07
3591,3.397883924254037e-05,1.1621420100809785e-06,1.5711443821275864e-06,1.0909539339807603e-06
3780,3.523363023697305e-05,1.1646013104553343e-06,1.6102383133246127e-06,9.436331798296866e-07
3969,3.548441879310295e-05,1.1452789036044424e-06,1.6336546732334915e-06,1.0441662636884582e-06
4158,3.529442678773861e-05,1.068068550762917e-06,1.5825485071560385e-06,9.579672115009039e-07
4347,3.7890146646665736e-05,1.1546798947549194e-06,1.5820340528964587e-06,9.854716503001544e-07
4536,3.870597702489499e-05,1.1290517345139192e-06,1.6074020195530232e-06,9.276928730445717e-07
4725,3.9659662518240167e-05,1.1059651076537343e-06,1.6176673464066939e-06,8.879506793898454e-07
4914,4.046538387587584e-05,1.2122109156409535e-06,1.6436469741165638e-06,9.410678827707921e-07
5103,4.1606390171624516e-05,1.1806049140665783e-06,1.6821695517304293e-06,8.967348508998205e-07
5292,4.2854089577203836e-05,1.1799668886809858e-06,1.6160550582812193e-06,8.700309490033109e-07
5481,4.393798021979869e-05,1.2048421034572322e-06,1.6847793856601512e-06,8.917581653137e-07
5670,4.140658481388327e-05,1.082696867551347e-06,1.6883040464337949e-06,9.236013604362213e-07
5859,4.237152824558557e-05,1.1656208950684432e-06,1.7479887294130178e-06,9.167748620870327e-07
6048,4.346929488430193e-05,1.135801099702169e-06,1.7046925682284006e-06,9.405356351234908e-07
6237,4.395529082036415e-05,1.2171282240727898e-06,1.7386541323770487e-06,9.55781636657108e-07
6426,4.4443395011203896e-05,1.1500297167654567e-06,1.7454662603761898e-06,8.955409316721996e-07
6615,4.58282266247915e-05,1.1501110099050977e-06,1.843059627732279e-06,9.294787748639873e-07
6804,4.583921919495654e-05,1.2427231685660028e-06,1.711192964832512e-06,9.468955269784008e-07
6993,4.643928355199857e-05,1.1220568665004241e-06,1.7004481617173333e-06,9.091562162144878e-07
7182,4.7700367851926166e-05,1.1650293183282292e-06,1.7223398280201838e-06,1.0099146278028232e-06
7371,4.784446459054229e-05,1.1522314776111088e-06,1.8697580880135162e-06,9.146695977948401e-07
