,LS,BST,LLRBT,BF
0,3.4159747883677483e-06,5.62501372769475e-06,3.433399251662195e-05,8.083300781436265e-05
1,1.9160215742886066e-06,3.541994374245405e-06,2.0500010577961802e-05,6.020901491865516e-05
2,1.500011421740055e-06,3.416993422433734e-06,1.0207993909716606e-05,4.570800228975713e-05
3,2.667016815394163e-06,4.291010554879904e-06,9.459006832912564e-06,4.4334010453894734e-05
4,1.7499842215329409e-06,4.3330073822289705e-06,1.7499987734481692e-05,4.745801561512053e-05
5,1.500011421740055e-06,4.917004844173789e-06,1.591700129210949e-05,4.4249987695366144e-05
6,1.7080164980143309e-06,4.91601531393826e-06,1.624997821636498e-05,4.033301956951618e-05
7,1.5840050764381886e-06,5.708017852157354e-06,1.087499549612403e-05,4.904199158772826e-05
8,1.6659905668348074e-06,6.749993190169334e-06,1.8499995348975062e-05,4.512499435804784e-05
9,1.7080164980143309e-06,2.415996277704835e-06,1.795799471437931e-05,4.266601172275841e-05
10,1.7499842215329409e-06,5.707988748326898e-06,1.6417005099356174e-05,3.7999998312443495e-05
11,1.9590079318732023e-06,3.1249946914613247e-06,2.1415995433926582e-05,3.6582991015166044e-05
12,1.8749851733446121e-06,4.750007065013051e-06,2.4541979655623436e-05,3.9000005926936865e-05
13,1.9999861251562834e-06,3.8330035749822855e-06,1.9708997569978237e-05,4.020900814794004e-05
14,4.292000085115433e-06,5.790992872789502e-06,2.0249979570508003e-05,3.5083998227491975e-05
15,2.2500171326100826e-06,7.459020707756281e-06,2.2916996385902166e-05,3.837500116787851e-05
16,2.1659943740814924e-06,5.084002623334527e-06,1.750001683831215e-05,3.4083001082763076e-05
17,2.2909953258931637e-06,6.416987162083387e-06,1.6375008272007108e-05,3.29999893438071e-05
18,2.4170149117708206e-06,6.459013093262911e-06,2.258300082758069e-05,4.054201417602599e-05
19,2.416985807940364e-06,4.791014362126589e-06,2.3959000827744603e-05,3.14170029014349e-05
20,2.3329921532422304e-06,4.542001988738775e-06,2.408298314549029e-05,3.579098847694695e-05
21,2.374988980591297e-06,7.374997949227691e-06,1.5708006685599685e-05,3.254201146773994e-05
22,2.7920177672058344e-06,8.124974556267262e-06,2.5333021767437458e-05,3.2750016544014215e-05
23,2.4170149117708206e-06,6.374990334734321e-06,1.8000020645558834e-05,3.724999260157347e-05
24,2.707995008677244e-06,5.62501372769475e-06,2.2624997654929757e-05,3.47500026691705e-05
25,2.4999899324029684e-06,7.208000170066953e-06,2.5332992663607e-05,3.429199568927288e-05
26,2.708024112507701e-06,7.2499969974160194e-06,2.416700590401888e-05,3.166601527482271e-05
27,2.874992787837982e-06,5.582987796515226e-06,2.3375003365799785e-05,3.350002225488424e-05
28,2.8329959604889154e-06,3.7919962778687477e-06,2.833400503732264e-05,3.404097515158355e-05
29,2.7500209398567677e-06,8.040980901569128e-06,2.7874979423359036e-05,3.304099664092064e-05
30,2.7919886633753777e-06,8.665985660627484e-06,3.058300353586674e-05,3.354201908223331e-05
31,2.9590155463665724e-06,4.375004209578037e-06,3.037499845959246e-05,3.38749960064888e-05
32,3.04199056699872e-06,7.374997949227691e-06,2.6166992029175162e-05,3.2042007660493255e-05
33,2.9589864425361156e-06,7.2499969974160194e-06,2.733300789259374e-05,3.8291997043415904e-05
34,2.91600008495152e-06,7.957976777106524e-06,3.15000070258975e-05,3.195900353603065e-05
35,3.249995643272996e-06,5.66698145121336e-06,2.691600820980966e-05,3.7582998629659414e-05
36,3.04199056699872e-06,5.707988748326898e-06,2.270899130962789e-05,3.254198236390948e-05
