,LS,BST,LLRBT,BF
0,1.3689482755480557e-07,1.9166689609613166e-07,3.102664684090729e-07,2.4296550364276273e-06
185,3.3556803027082473e-06,8.334491269475003e-07,1.1171549644081964e-06,2.3294972317771766e-06
370,6.4688443084495195e-06,9.313386217733725e-07,1.250411935979415e-06,2.410789047060278e-06
555,9.660987854174791e-06,1.042183817560793e-06,1.3048407074850087e-06,2.3855533346174917e-06
740,1.3264547515481096e-05,1.0197463663243645e-06,1.3366150627032333e-06,2.349340426308368e-06
925,1.6588180869552863e-05,1.0599160658776622e-06,1.4377057866338606e-06,2.3583412371199885e-06
1110,1.9675847671609884e-05,1.098896849926117e-06,1.5172876317242007e-06,2.2838048107170184e-06
1295,5.024993981217641e-05,1.1781830000990164e-06,1.5836709804850023e-06,2.306016757998855e-06
1480,2.6938005942219033e-05,1.1772076212672875e-06,1.5446105961252106e-06,2.3634172174994142e-06
1665,2.9581015947736252e-05,1.1214243147710184e-06,1.5429661335816623e-06,2.343990245124821e-06
1850,3.273700201059392e-05,1.1215041126679938e-06,1.6005869971912936e-06,2.337622973179325e-06
2035,3.55737592006068e-05,1.237734296752157e-06,1.6276464037118702e-06,2.348561314096965e-06
2220,3.9023646300897825e-05,1.2273779737019757e-06,1.6784016843970626e-06,2.3844265998469305e-06
2405,4.168563560847569e-05,1.241266716767205e-06,1.6928375474339643e-06,2.3208901023389686e-06
2590,4.4601008465829724e-05,1.202011545009296e-06,1.6482402100612264e-06,2.357490556186424e-06
2775,4.78985038940547e-05,1.2727376231667373e-06,1.751543695551403e-06,2.3864165275280764e-06
2960,5.0811092929974404e-05,1.1788311877945832e-06,1.727207419633387e-06,2.408914162281798e-06
3145,5.4214763329065314e-05,1.2143067278634382e-06,1.724955012782588e-06,2.3569523809699837e-06
3330,5.6696334872992895e-05,1.2833253029785161e-06,1.7418423902516791e-06,2.334446479660382e-06
3515,6.109589466252664e-05,1.2687708404974653e-06,1.81055903315134e-06,2.404274531093281e-06
3700,6.309050376689352e-05,1.2055218461131968e-06,1.7922104297872256e-06,2.3863220869332827e-06
3885,8.20608846116982e-05,1.3693502928993297e-06,1.7994649787305281e-06,2.3424108202970766e-06
4070,6.853674294388588e-05,1.414305489903333e-06,1.861815818226597e-06,2.478161835274018e-06
4255,7.048481754390437e-05,1.4093945896543494e-06,1.7874843842529375e-06,2.4355198267351733e-06
4440,7.361417943334053e-05,1.2733308126329692e-06,1.846092150743128e-06,2.415909692474188e-06
4625,7.637346134555244e-05,1.3160075802236385e-06,1.9666882565057057e-06,2.4080731149831223e-06
4810,7.893702676391588e-05,1.358165477248712e-06,1.9822235768148248e-06,2.389681325806732e-06
4995,8.182781850470554e-05,1.284471689509826e-06,1.939842691046929e-06,2.488629868971782e-06
5180,8.383876952735725e-05,1.459419043785935e-06,1.8815835243637819e-06,2.4240091549864876e-06
