,LS,BST,LLRBT,BF
0,1.1124997399747372e-05,1.624997821636498e-05,3.708299482241273e-05,0.0020593749941326678
1,1.7500133253633976e-06,3.3339892979711294e-06,1.7291982658207417e-05,1.8166989320889115e-05
2,1.333013642579317e-06,3.6249984987080097e-06,2.3917004000395536e-05,1.633400097489357e-05
3,1.374981366097927e-06,4.6670029405504465e-06,9.916024282574654e-06,2.2374995751306415e-05
4,1.4999823179095984e-06,4.5000051613897085e-06,2.2916996385902166e-05,1.4749995898455381e-05
5,1.4170072972774506e-06,5.082983989268541e-06,1.675001112744212e-05,1.8417020328342915e-05
6,1.4580145943909883e-06,5.04200579598546e-06,1.7332989955320954e-05,1.4583987649530172e-05
7,1.4590041246265173e-06,5.792011506855488e-06,1.1958996765315533e-05,1.7624988686293364e-05
8,1.6249832697212696e-06,6.791990017518401e-06,1.945902477018535e-05,1.5042023733258247e-05
9,1.6659905668348074e-06,2.375018084421754e-06,1.879199407994747e-05,1.8167018424719572e-05
10,1.6669800970703363e-06,5.874986527487636e-06,1.7375015886500478e-05,1.624997821636498e-05
11,1.7080164980143309e-06,3.082997864112258e-06,2.270800177939236e-05,1.429201802238822e-05
12,1.7500133253633976e-06,4.958012141287327e-06,2.62079993262887e-05,1.462499494664371e-05
13,1.8329883459955454e-06,4.04199818149209e-06,2.1167012164369226e-05,1.550000160932541e-05
14,1.916982000693679e-06,5.999987479299307e-06,2.1957996068522334e-05,1.6542006051167846e-05
15,1.9999861251562834e-06,7.499998901039362e-06,2.4582986952736974e-05,1.737498678267002e-05
16,2.042012056335807e-06,5.04200579598546e-06,1.8999999156221747e-05,1.2750009773299098e-05
17,3.1660019885748625e-06,6.583984941244125e-06,1.766698551364243e-05,2.4084001779556274e-05
18,2.6249908842146397e-06,6.667018169537187e-06,2.387500717304647e-05,1.5708006685599685e-05
19,2.6249908842146397e-06,4.917004844173789e-06,2.9041984817013144e-05,1.362498733215034e-05
20,2.2909953258931637e-06,4.5000051613897085e-06,2.5415996788069606e-05,1.4082994312047958e-05
21,2.333021257072687e-06,7.458002073690295e-06,1.6542006051167846e-05,1.4874996850267053e-05
22,2.334010787308216e-06,8.292001439258456e-06,2.6125024305656552e-05,1.645900192670524e-05
23,2.374988980591297e-06,6.417016265913844e-06,1.895800232887268e-05,1.1790980352088809e-05
24,2.708024112507701e-06,5.916983354836702e-06,2.4125009076669812e-05,1.6167003195732832e-05
25,2.6659981813281775e-06,7.208000170066953e-06,3.479098086245358e-05,1.720900763757527e-05
26,2.8329959604889154e-06,7.333001121878624e-06,2.7166999643668532e-05,1.4999997802078724e-05
27,2.7920177672058344e-06,5.750014679506421e-06,2.5541987270116806e-05,1.5291996533051133e-05
28,2.9579969123005867e-06,3.7910067476332188e-06,2.9457994969561696e-05,1.2208009138703346e-05
29,2.833025064319372e-06,8.25000461190939e-06,2.891701296903193e-05,1.329201040789485e-05
30,2.834014594554901e-06,8.875009370967746e-06,3.1791976653039455e-05,1.5792000340297818e-05
31,2.916989615187049e-06,4.417001036927104e-06,3.187498077750206e-05,1.3750017387792468e-05
32,3.082997864112258e-06,7.499998901039362e-06,2.7541012968868017e-05,1.2291973689571023e-05
33,3.0840164981782436e-06,7.458002073690295e-06,2.8999987989664078e-05,1.0417017620056868e-05
34,2.9999937396496534e-06,8.166010957211256e-06,3.7209014408290386e-05,1.0832998668774962e-05
35,3.374996595084667e-06,5.917012458667159e-06,3.004202153533697e-05,1.2416014214977622e-05
36,3.1249946914613247e-06,5.95799065195024e-06,2.516701351851225e-05,1.4290999388322234e-05
37,3.249995643272996e-06,6.62502134218812e-06,3.0625000363215804e-05,1.0458024917170405e-05
38,3.4999975468963385e-06,9.749986929818988e-06,2.995898830704391e-05,1.4125020243227482e-05
39,3.583001671358943e-06,6.792019121348858e-06,2.304100780747831e-05,1.3375014532357454e-05
40,3.6249984987080097e-06,7.333001121878624e-06,3.895899862982333e-05,1.2125005014240742e-05
41,3.541994374245405e-06,8.875009370967746e-06,3.4541008062660694e-05,1.6458012396469712e-05
42,3.6669953260570765e-06,8.291011909022927e-06,2.7417001547291875e-05,1.5208992408588529e-05
43,3.7080026231706142e-06,3.2910029403865337e-06,2.320797648280859e-05,1.2457981938496232e-05
44,3.7910067476332188e-06,6.499991286545992e-06,3.774999640882015e-05,1.3249984476715326e-05
45,3.7919962778687477e-06,7.458002073690295e-06,3.53749783243984e-05,1.4375022146850824e-05
46,3.8330035749822855e-06,9.166018571704626e-06,2.9542017728090286e-05,1.9416998839005828e-05
47,3.958004526793957e-06,9.584007784724236e-06,2.3999979021027684e-05,1.129199517890811e-05
48,3.958004526793957e-06,5.374982720240951e-06,3.574998117983341e-05,1.3750017387792468e-05
49,4.208006430417299e-06,8.417002391070127e-06,2.9457994969561696e-05,1.2040982255712152e-05
50,4.125002305954695e-06,3.999972250312567e-06,3.183298395015299e-05,1.4290999388322234e-05
51,4.250003257766366e-06,6.08398113399744e-06,3.583298530429602e-05,1.2250005966052413e-05
52,4.208006430417299e-06,9.917013812810183e-06,3.1333009246736765e-05,1.333298860117793e-05
53,4.542001988738775e-06,8.208007784560323e-06,2.9582995921373367e-05,1.2499978765845299e-05
54,4.458997864276171e-06,3.374996595084667e-06,4.1166989831253886e-05,1.2749980669468641e-05
55,4.5000051613897085e-06,1.0541989468038082e-05,3.179200575686991e-05,1.1083000572398305e-05
56,4.458008334040642e-06,9.207986295223236e-06,3.129200194962323e-05,1.2333999620750546e-05
57,4.6670029405504465e-06,9.249983122572303e-06,3.6083016311749816e-05,1.18750031106174e-05
58,4.542001988738775e-06,8.041999535635114e-06,3.412499791011214e-05,1.4250021195039153e-05
59,5.0000089686363935e-06,9.834009688347578e-06,3.4958007745444775e-05,1.3582990504801273e-05
60,4.791974788531661e-06,9.874987881630659e-06,3.8166006561368704e-05,1.3667013263329864e-05
61,4.790985258296132e-06,1.0207993909716606e-05,2.837498323060572e-05,1.1625001206994057e-05
62,5.0000089686363935e-06,5.62501372769475e-06,3.320901305414736e-05,1.0916992323473096e-05
63,4.541012458503246e-06,8.000002708286047e-06,3.749999450519681e-05,1.258301199413836e-05
64,5.125009920448065e-06,9.25001222640276e-06,3.354198997840285e-05,1.4290999388322234e-05
65,5.291978595778346e-06,3.875000402331352e-06,3.554200520738959e-05,1.1416996130719781e-05
66,5.0419766921550035e-06,6.125017534941435e-06,3.387502511031926e-05,1.0332994861528277e-05
67,5.292007699608803e-06,9.249983122572303e-06,2.983299782499671e-05,1.2500007869675756e-05
68,5.375011824071407e-06,8.167000487446785e-06,3.654099418781698e-05,1.4042016118764877e-05
69,5.416979547590017e-06,6.916990969330072e-06,2.933302312158048e-05,1.4707999071106315e-05
70,5.458015948534012e-06,4.208995960652828e-06,2.9499991796910763e-05,1.2750009773299098e-05
71,6.166985258460045e-06,9.125011274591088e-06,3.925000783056021e-05,1.058299676515162e-05
72,6.125017534941435e-06,5.8340083342045546e-06,3.21249826811254e-05,1.287501072511077e-05
73,5.583016900345683e-06,9.791983757168055e-06,3.683299291878939e-05,1.2750009773299098e-05
74,6.707996362820268e-06,6.62502134218812e-06,3.2458017813041806e-05,1.287501072511077e-05
75,6.33401214145124e-06,9.125011274591088e-06,2.7083995519205928e-05,1.3540993677452207e-05
76,6.207992555573583e-06,4.832982085645199e-06,2.9416987672448158e-05,1.1417025234550238e-05
77,6.54099858365953e-06,7.624999852851033e-06,3.3374992199242115e-05,1.4124991139397025e-05
78,6.167014362290502e-06,5.582987796515226e-06,4.704200546257198e-05,1.1833995813503861e-05
79,5.874986527487636e-06,5.083013093098998e-06,3.212501178495586e-05,1.0458024917170405e-05
80,5.958019755780697e-06,6.665999535471201e-06,3.670802107080817e-05,1.0499992640689015e-05
81,5.832989700138569e-06,9.833020158112049e-06,4.225000157020986e-05,9.875016985461116e-06
82,5.708017852157354e-06,7.499998901039362e-06,3.487500362098217e-05,1.2541015166789293e-05
83,6.416987162083387e-06,1.0749994544312358e-05,4.3791980715468526e-05,1.0499992640689015e-05
84,6.624992238357663e-06,1.1500000255182385e-05,3.166700480505824e-05,1.1665979400277138e-05
85,6.209011189639568e-06,7.2499969974160194e-06,3.820800338871777e-05,1.0124989785254002e-05
86,6.541988113895059e-06,8.333008736371994e-06,4.0834012906998396e-05,1.1541997082531452e-05
87,6.708985893055797e-06,5.749985575675964e-06,3.6792014725506306e-05,1.170899486169219e-05
88,6.792019121348858e-06,6.582995411008596e-06,3.195900353603065e-05,1.200000406242907e-05
89,6.166985258460045e-06,5.95799065195024e-06,3.579197800718248e-05,1.0000017937272787e-05
90,6.95799826644361e-06,1.0792020475491881e-05,3.662498784251511e-05,1.2666016118600965e-05
91,6.792019121348858e-06,9.916984708979726e-06,3.2459007343277335e-05,1.0958989150822163e-05
92,6.834015948697925e-06,6.708025466650724e-06,4.2917003156617284e-05,1.0332994861528277e-05
93,7.208000170066953e-06,4.8340007197111845e-06,3.783300053328276e-05,1.4749995898455381e-05
94,7.208989700302482e-06,1.0957999620586634e-05,4.516699118539691e-05,1.2667005648836493e-05
95,7.208000170066953e-06,9.417010005563498e-06,3.895899862982333e-05,1.2416014214977622e-05
96,7.833994459360838e-06,7.916009053587914e-06,3.345898585394025e-05,1.504199462942779e-05
97,7.291993824765086e-06,5.5000127758830786e-06,4.045802052132785e-05,1.0541989468038082e-05
98,7.541995728388429e-06,1.1083000572398305e-05,3.220798680558801e-05,1.0499992640689015e-05
99,7.374997949227691e-06,1.087499549612403e-05,4.5249995309859514e-05,1.0375020792707801e-05
100,7.291993824765086e-06,1.1958007235080004e-05,3.229198046028614e-05,1.1791998986154795e-05
101,7.374997949227691e-06,9.292009053751826e-06,4.1207997128367424e-05,1.0458985343575478e-05
102,8.041999535635114e-06,8.95900302566588e-06,4.079198697581887e-05,1.058299676515162e-05
103,8.082977728918195e-06,7.458002073690295e-06,3.6375015042722225e-05,1.1416006600484252e-05
104,8.041999535635114e-06,7.458002073690295e-06,2.937499084509909e-05,1.0624993592500687e-05
105,7.833994459360838e-06,4.0000013541430235e-06,4.008400719612837e-05,1.1500000255182385e-05
106,8.500006515532732e-06,7.99997360445559e-06,2.8834008844569325e-05,1.0541989468038082e-05
107,7.458991603925824e-06,7.584021659567952e-06,4.5833003241568804e-05,1.2792006600648165e-05
108,8.207978680729866e-06,8.625007467344403e-06,4.037498729303479e-05,1.0791001841425896e-05
109,8.500006515532732e-06,1.18750031106174e-05,3.816699609160423e-05,1.0082992957904935e-05
110,8.333998266607523e-06,5.499983672052622e-06,4.24169993493706e-05,1.1958996765315533e-05
111,8.333998266607523e-06,7.124996045604348e-06,3.804100560955703e-05,1.029198756441474e-05
112,8.249975508078933e-06,8.915987564250827e-06,3.620798815973103e-05,1.16249721031636e-05
113,8.458999218419194e-06,1.0457995813339949e-05,3.516700235195458e-05,1.0666990419849753e-05
114,8.333008736371994e-06,1.0333984391763806e-05,3.3666990930214524e-05,1.029099803417921e-05
115,8.37500556372106e-06,1.0834017302840948e-05,4.029198316857219e-05,1.0583986295387149e-05
116,8.542003342881799e-06,1.0124989785254002e-05,4.208300379104912e-05,1.025001984089613e-05
117,7.583992555737495e-06,7.208000170066953e-06,3.604101948440075e-05,1.1666008504107594e-05
118,8.95801349543035e-06,8.37500556372106e-06,4.437501775100827e-05,1.0332994861528277e-05
119,8.66700429469347e-06,1.09999964479357e-05,3.05419962387532e-05,1.1459022061899304e-05
120,8.500006515532732e-06,1.0209012543782592e-05,3.604200901463628e-05,1.0458985343575478e-05
121,8.749979315325618e-06,1.0082992957904935e-05,4.416599404066801e-05,1.0208023013547063e-05
122,9.167008101940155e-06,1.0624993592500687e-05,3.4500000765547156e-05,1.0541989468038082e-05
123,9.292009053751826e-06,1.0916002793237567e-05,3.7541991332545877e-05,1.0499992640689015e-05
