,LS,BST,LLRBT,BF
0,1.3184198605563116e-07,1.7971841729493862e-07,3.317287651001724e-07,8.425279969024822e-06
185,3.2049087420909093e-06,7.937382799872291e-07,1.1159796289108488e-06,8.880945110539777e-07
370,6.1821523912832e-06,8.804597699621675e-07,1.2677899559686354e-06,8.569727010956598e-07
555,9.337180324001323e-06,9.449322893788371e-07,1.564119598580473e-06,8.695372465758695e-07
740,1.2920397288943512e-05,9.668572088105417e-07,1.4362295602508094e-06,8.891459496760176e-07
925,1.5930498842312315e-05,1.0026691037170384e-06,1.642491957899012e-06,8.843819676992407e-07
1110,1.91671013086607e-05,1.1269058423424395e-06,1.4764452545365335e-06,8.777088652270923e-07
1295,2.920261508392153e-05,1.1247167269776174e-06,1.5053289906130335e-06,8.941058137821495e-07
1480,2.514579230834038e-05,1.174343014007793e-06,1.5060759871480388e-06,8.781099266910908e-07
1665,2.8560614243252288e-05,1.2253267303912328e-06,1.5116658717513494e-06,9.32999190216491e-07
1850,3.082237980721535e-05,1.2349838939914052e-06,1.5954061789403952e-06,9.22048225178631e-07
2035,3.432581154202376e-05,1.1910339646519872e-06,1.5979803993939124e-06,8.716660342392845e-07
2220,3.6897797419458904e-05,1.2099642013925889e-06,1.7050774276700862e-06,8.701572809881027e-07
2405,3.93645985451433e-05,1.3172552213841758e-06,1.669382209752883e-06,8.975775002442096e-07
2590,4.2489740571408714e-05,1.2783322818662733e-06,1.6663848463052867e-06,8.695410380840575e-07
2775,4.606956567448658e-05,1.2810458856369925e-06,1.7825948713142253e-06,8.605245379047519e-07
2960,4.835011475450368e-05,1.266713733699412e-06,2.5364148180607125e-06,8.994863857728763e-07
3145,5.08341484824879e-05,1.23074092932148e-06,1.5214042409126638e-05,9.032867479334594e-07
3330,5.388214083606326e-05,1.3531526495113012e-06,1.7724737392550487e-06,8.955498443865175e-07
3515,5.701873964659972e-05,1.3108191148745358e-06,1.8352769857802248e-06,8.926615161701627e-07
3700,5.912467043253021e-05,1.2512216259033307e-06,1.8142728688229524e-06,9.00452056207583e-07
3885,6.121157011692198e-05,1.3349073834358416e-06,1.8074306277045553e-06,1.0375062606100916e-06
4070,6.346757978696478e-05,1.2765445003132208e-06,1.8473010811390816e-06,8.950246724411162e-07
4255,6.597342253705367e-05,1.2802992682528058e-06,1.8245542481746695e-06,9.209018333071689e-07
4440,6.852418851799442e-05,1.305923834571256e-06,1.854664686674235e-06,8.830520881920916e-07
4625,7.091166683870001e-05,1.370036865610185e-06,1.8835380041134468e-06,8.763460049388605e-07
4810,7.522009023670278e-05,1.4258263079415358e-06,1.9111223422725677e-06,8.459636886014578e-07
4995,7.579934149403808e-05,1.3552279448683518e-06,1.9051427440290605e-06,8.544280757666181e-07
5180,7.801378896105351e-05,1.383644673939145e-06,1.93720114729239e-06,8.731415503820695e-07
5365,8.11133247644239e-05,1.3341751791229216e-06,1.917500080916723e-06,8.865676760468461e-07
5550,8.367584849528353e-05,1.4727059303176238e-06,1.9702513770567717e-06,9.251528295662698e-07
5735,8.513968658992388e-05,1.5091128570429228e-06,1.8677114051929034e-06,9.211999045924172e-07
5920,8.730039872024037e-05,1.4106042089299597e-06,1.912009357602908e-06,9.056849409441609e-07
6105,8.977726216154566e-05,1.4908522700702926e-06,1.9490500803131166e-06,9.073703143950722e-07
6290,9.191068788614432e-05,1.5262850728996713e-06,1.967767020687461e-06,9.035270174093749e-07
6475,9.450749391604455e-05,1.4428914377226605e-06,1.967141048025784e-06,9.189282892135168e-07
6660,9.686655195647799e-05,1.4834654722533643e-06,2.0631520801710835e-06,9.312389157883344e-07
6845,9.931167358011349e-05,1.4275776269341554e-06,1.951928710812754e-06,9.30861954432015e-07
