,LS,BST,LLRBT,BF
0,1.3485494808832166e-07,1.6438996380861474e-07,3.253425462940417e-07,8.676757175184855e-07
189,3.882316405748214e-06,7.421526536687252e-07,9.988227948854003e-07,8.189071016813364e-07
378,6.559187292181161e-06,8.43746633559397e-07,1.1324232130166177e-06,8.073774083098824e-07
567,9.703702376642769e-06,8.844514110407561e-07,1.2037229036416755e-06,8.106951969205787e-07
756,2.1914838713918463e-05,9.399170906137709e-07,1.264678510845801e-06,8.198392680000274e-07
945,1.6521076327873343e-05,9.468240490388297e-07,1.3017197355303331e-06,8.22889899467588e-07
1134,1.9810934291528795e-05,1.0511846604133282e-06,1.36360804840854e-06,8.204522160300558e-07
1323,3.0267132112944343e-05,1.0461412389429475e-06,1.3573321785111356e-06,8.224156031538861e-07
1512,2.568720802002578e-05,1.1170732974578892e-06,1.388616895157878e-06,8.216016197474588e-07
1701,2.8973534556934523e-05,1.2242448742612512e-06,1.3926304362013663e-06,8.541609720250062e-07
1890,3.1759639317596996e-05,1.1329426122572992e-06,1.4687139421291308e-06,8.554163510663384e-07
2079,3.479548902443072e-05,1.1987669912483031e-06,1.5016618438936565e-06,8.972219101777044e-07
2268,3.820924644802757e-05,1.1368033395003561e-06,1.535901656681928e-06,8.877894975706388e-07
2457,4.066153594459313e-05,1.1559937751655458e-06,1.5267431244698412e-06,8.788678491778603e-07
2646,4.4008974896940414e-05,1.2114511775023757e-06,1.527600640798449e-06,8.628198315192936e-07
2835,4.611831406716668e-05,1.1455677043851635e-06,1.5808107040890859e-06,9.563541330328776e-07
3024,5.126171147262831e-05,1.1265112424628176e-06,1.5882579951521454e-06,8.831347270501316e-07
3213,5.3716187681490126e-05,1.1542644949817877e-06,1.6056188892726914e-06,8.536994333353338e-07
3402,5.673728732140137e-05,1.1538160503457445e-06,1.607100920401377e-06,8.550082673019635e-07
3591,6.472028610873283e-05,1.1562387172747917e-06,1.62826701486056e-06,8.891882169820846e-07
3780,7.6930948085613e-05,1.160579476155204e-06,1.6946164963749844e-06,8.646553113133809e-07
3969,7.576572849765557e-05,1.168686799371803e-06,1.671660345457836e-06,8.784286430054302e-07
4158,6.498350942327957e-05,1.1694313821579338e-06,1.6879444726136162e-06,8.716578958470613e-07
4347,6.764577300108355e-05,1.2921586252509727e-06,1.6940741398192326e-06,8.817601825084982e-07
4536,7.022075756632407e-05,1.2616184059479231e-06,1.7325291698456768e-06,8.896551972870296e-07
4725,7.381484096703213e-05,1.2736247025789062e-06,1.7472781420369214e-06,9.007581270410927e-07
4914,7.554431316130923e-05,1.3555126924734186e-06,1.7677071192429974e-06,8.833239233087099e-07
5103,7.782548612064827e-05,1.320748359238336e-06,1.7294691770909987e-06,8.809345095085168e-07
5292,8.03002429359225e-05,1.2889558261414186e-06,1.7158649092830649e-06,8.915840603257401e-07
5481,8.35144796799612e-05,1.3179873455948103e-06,1.7214289849299357e-06,8.447932286632307e-07
5670,8.53171577269143e-05,1.3628667337956642e-06,1.7344500813974973e-06,8.322480252149318e-07
5859,8.765707217015907e-05,1.344707679140185e-06,1.7621660756733303e-06,8.430433621920577e-07
6048,9.093478570346199e-05,1.3527008833004793e-06,1.8375144295240624e-06,8.410151082372994e-07
6237,9.327385210380847e-05,1.3369491586564195e-06,1.7356339344378868e-06,8.249905124870599e-07
6426,9.559256879617076e-05,1.3440513690728523e-06,1.738860705491463e-06,8.57065432841693e-07
6615,9.833300202110902e-05,1.32068012811141e-06,1.9066844727211726e-06,9.191221741258824e-07
6804,9.977806418805187e-05,1.3716922808062592e-06,1.7570959908221293e-06,8.645717165680653e-07
6993,0.00010135296015538822,1.2094787388202658e-06,1.7829882749997148e-06,8.533872640478091e-07
7182,0.0001107523238356866,1.3962835329798382e-06,1.7908338399672317e-06,8.363862641565843e-07
7371,0.00011023549618276366,1.3890745889378386e-06,1.7614271534487194e-06,8.246661890127243e-07
7560,0.00015976552639494076,1.3698316435543222e-06,1.9112012430239435e-06,8.382495180831863e-07
7749,0.00012906566434198085,1.4345960877408539e-06,1.8225916033320198e-06,8.457670481704654e-07
7938,0.00011834216433889105,1.4730726866427501e-06,1.7869120854628058e-06,8.433704305047152e-07
