,LS
0,1.8359859113257945e-07
1000,1.460205793037564e-05
2000,2.756338622359007e-05
3000,4.106982835681156e-05
4000,5.30799366166809e-05
5000,6.543671788252915e-05
6000,7.650875057466948e-05
7000,8.776587794341569e-05
8000,0.00010044676185555582
9000,0.00011181840901785053
10000,0.00012234535726452956
11000,0.00013431187522195518
12000,0.00014650557147799997
13000,0.00015538197075875762
14000,0.0001692700975798856
15000,0.0001963868366526471
16000,0.00019445175539648427
17000,0.00023579698435333737
18000,0.00024071448796803956
19000,0.0002199614445211678
20000,0.00023074085935567828
21000,0.0002412640479430515
22000,0.00025054401921968363
23000,0.0002587672954680528
24000,0.0002690819121166427
25000,0.0002811613068740182
26000,0.00029093443012158577
27000,0.00030018707357975475
28000,0.00031050925296043915
29000,0.00031852318493641094
30000,0.0003268461869941708
31000,0.00033848890516603085
32000,0.0003466641995668221
33000,0.000355734281447591
34000,0.0003636690223854155
35000,0.00037183263823627747
36000,0.0003822872075500312
37000,0.00039089317281072034
38000,0.00039919820930974165
39000,0.00043829743636432996
40000,0.000413290370197824
41000,0.00042342036958891365
42000,0.00042641149551093943
43000,0.00044103827102411617
44000,0.0004486670464610104
45000,0.00047348779875559777
46000,0.0005861651358457197
47000,0.0004720718822220793
48000,0.00047253489263818807
49000,0.0004771262005211312
50000,0.000483717852141336
51000,0.000493096144620296
52000,0.0004991201119116
53000,0.0005064423478463795
54000,0.0005141645424444224
55000,0.0005199956198193992
56000,0.0005309265545573495
57000,0.0005356163808121889
58000,0.0005410344713444013
59000,0.0005481989422945365
60000,0.0005549745934991606
61000,0.0005599060333587155
62000,0.0005706327913208068
63000,0.0005725774837535839
64000,0.0005799193899369449
65000,0.0005873439179864669
66000,0.0005916398069376827
67000,0.0005978514189954918
68000,0.0006041584820558961
69000,0.0006100952836656974
70000,0.0006169723039963277
71000,0.0006204348752124196
72000,0.000626767257571667
73000,0.0006360909207718867
74000,0.0006416083486532621
75000,0.0006456449925697943
76000,0.0006501745660277652
77000,0.000675656364702999
78000,0.0006844286996040175
79000,0.0006794875746615619
80000,0.0006718099630617648
81000,0.0006796663411769945
82000,0.0006844124338252637
83000,0.0006876686172142261
84000,0.0006968634571703347
85000,0.0006995730969169023
86000,0.0007038503629052091
87000,0.0007116373021881221
88000,0.0007158255593600031
89000,0.0007207443814008361
90000,0.0007257200973278964
91000,0.0007320031433647393
92000,0.000734110353266475
93000,0.0007421028571354265
94000,0.0007451029227463555
95000,0.0007575000064539518
96000,0.0007574714423202756
97000,0.0007605477228846512
98000,0.000765664121947488
99000,0.0007707171605824473
